,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
216,294.csv : ,1,-10.00,-9.34,5,21
153,237.csv : ,1,-10.00,-9.15,11,31
232,308.csv : ,1,-10.01,-9.39,11,13
171,253.csv : ,1,-10.01,-8.92,21,45
102,191.csv : ,1,-10.01,-9.18,19,2
428,66.csv : ,1,-10.01,-10.01,1,33
305,374.csv : ,1,-10.03,-9.20,35,27
241,316.csv : ,1,-10.04,-9.18,11,40
427,65.csv : ,1,-10.04,-10.04,1,50
173,255.csv : ,1,-10.05,-8.93,26,5
289,36.csv : ,1,-10.06,-9.03,4,33
306,375.csv : ,1,-10.06,-9.44,32,10
53,147.csv : ,1,-10.06,-9.45,14,8
24,120.csv : ,1,-10.07,-9.39,17,27
134,22.csv : ,1,-10.09,-9.17,39,6
436,73.csv : ,1,-10.09,-8.83,7,6
351,415.csv : ,1,-10.10,-10.01,10,48
459,94.csv : ,1,-10.12,-9.59,21,13
362,425.csv : ,1,-10.14,-9.87,7,41
149,233.csv : ,1,-10.17,-10.08,4,6
267,34.csv : ,1,-10.17,-9.00,8,43
179,260.csv : ,1,-10.18,-9.59,5,11
167,25.csv : ,1,-10.18,-9.52,22,35
361,424.csv : ,1,-10.18,-9.73,24,45
415,54.csv : ,1,-10.18,-8.99,17,33
350,414.csv : ,1,-10.19,-9.33,14,50
258,331.csv : ,1,-10.21,-10.05,46,31
303,372.csv : ,1,-10.25,-8.96,5,4
160,243.csv : ,1,-10.26,-9.66,22,40
349,413.csv : ,1,-10.27,-9.62,30,32
438,75.csv : ,1,-10.27,-9.07,11,24
311,38.csv : ,1,-10.28,-9.59,4,2
406,465.csv : ,1,-10.28,-9.97,38,49
145,23.csv : ,1,-10.28,-9.37,39,27
334,40.csv : ,1,-10.31,-10.31,1,5
57,150.csv : ,1,-10.33,-9.18,10,9
161,244.csv : ,1,-10.33,-10.01,9,22
248,322.csv : ,1,-10.33,-9.45,13,39
328,395.csv : ,1,-10.36,-9.31,6,5
33,129.csv : ,1,-10.36,-9.99,12,46
119,206.csv : ,1,-10.37,-9.66,32,36
54,148.csv : ,1,-10.39,-9.21,25,19
329,396.csv : ,1,-10.40,-9.75,23,13
92,182.csv : ,1,-10.40,-9.70,32,48
416,55.csv : ,1,-10.41,-9.68,29,13
42,137.csv : ,1,-10.41,-9.83,40,39
5,103.csv : ,1,-10.41,-9.31,19,17
417,56.csv : ,1,-10.41,-9.21,13,8
137,222.csv : ,1,-10.43,-9.57,24,20
230,306.csv : ,1,-10.44,-9.69,21,27
135,220.csv : ,1,-10.46,-9.77,15,10
147,231.csv : ,1,-10.46,-9.67,13,24
55,149.csv : ,1,-10.48,-9.45,4,47
136,221.csv : ,1,-10.49,-9.45,19,2
277,349.csv : ,1,-10.49,-9.65,10,24
327,394.csv : ,1,-10.51,-9.73,21,26
3,101.csv : ,1,-10.51,-9.66,33,41
293,363.csv : ,1,-10.52,-10.52,2,8
162,245.csv : ,1,-10.53,-10.28,14,38
159,242.csv : ,1,-10.54,-10.13,9,46
39,134.csv : ,1,-10.55,-9.74,26,48
148,232.csv : ,1,-10.55,-9.53,23,11
426,64.csv : ,1,-10.57,-9.29,6,30
243,318.csv : ,1,-10.59,-10.30,6,8
41,136.csv : ,1,-10.59,-9.99,46,48
233,309.csv : ,1,-10.59,-9.98,30,26
320,388.csv : ,1,-10.60,-10.06,18,24
154,238.csv : ,1,-10.61,-10.18,2,40
249,323.csv : ,1,-10.61,-10.30,7,7
43,138.csv : ,1,-10.61,-9.72,43,34
231,307.csv : ,1,-10.62,-10.01,31,30
465,output.csv : 100.csv : ,1,-10.62,-9.92,44,22
4,102.csv : ,1,-10.62,-9.96,31,5
2,100.csv : ,1,-10.62,-9.92,44,22
122,209.csv : ,1,-10.63,-9.29,30,38
239,314.csv : ,1,-10.64,-9.65,13,28
357,420.csv : ,1,-10.64,-10.51,33,6
156,24.csv : ,1,-10.65,-9.41,34,13
124,210.csv : ,1,-10.66,-9.24,18,42
348,412.csv : ,1,-10.66,-10.00,35,9
6,104.csv : ,1,-10.68,-9.65,38,31
238,313.csv : ,1,-10.69,-9.61,10,25
38,133.csv : ,1,-10.70,-9.85,48,28
158,241.csv : ,1,-10.70,-10.34,4,21
