,Data1,Value,Value,Value,Value,Value
Output,,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
172,254.csv : ,1,-10.00,-8.59,24,31
361,424.csv : ,1,-10.01,-9.64,27,49
228,304.csv : ,1,-10.02,-9.25,16,20
315,383.csv : ,1,-10.02,-9.42,25,6
55,149.csv : ,1,-10.02,-8.89,11,19
156,24.csv : ,1,-10.02,-9.24,38,33
289,36.csv : ,1,-10.03,-9.66,5,17
234,31.csv : ,1,-10.04,-9.43,6,28
267,34.csv : ,1,-10.08,-10.08,1,42
24,120.csv : ,1,-10.09,-9.22,18,29
232,308.csv : ,1,-10.09,-9.16,17,27
127,213.csv : ,1,-10.11,-9.64,2,33
362,425.csv : ,1,-10.11,-9.87,10,12
137,222.csv : ,1,-10.12,-9.56,6,28
459,94.csv : ,1,-10.13,-9.66,23,1
351,415.csv : ,1,-10.14,-10.00,8,17
179,260.csv : ,1,-10.14,-9.48,13,23
177,259.csv : ,1,-10.18,-9.40,7,25
173,255.csv : ,1,-10.19,-9.04,27,16
277,349.csv : ,1,-10.19,-9.25,9,14
171,253.csv : ,1,-10.19,-8.99,25,23
258,331.csv : ,1,-10.21,-10.00,50,28
122,209.csv : ,1,-10.21,-9.27,28,46
126,212.csv : ,1,-10.22,-9.72,4,17
349,413.csv : ,1,-10.23,-9.59,22,41
415,54.csv : ,1,-10.23,-9.07,23,18
248,322.csv : ,1,-10.24,-9.63,4,7
418,57.csv : ,1,-10.25,-9.19,27,36
216,294.csv : ,1,-10.25,-9.86,7,9
136,221.csv : ,1,-10.27,-9.40,21,45
406,465.csv : ,1,-10.28,-9.99,36,49
350,414.csv : ,1,-10.28,-8.99,18,49
297,367.csv : ,1,-10.28,-9.39,3,46
238,313.csv : ,1,-10.32,-9.33,8,8
167,25.csv : ,1,-10.33,-9.45,22,12
145,23.csv : ,1,-10.34,-9.42,38,23
33,129.csv : ,1,-10.35,-9.83,24,28
160,243.csv : ,1,-10.35,-9.71,20,36
119,206.csv : ,1,-10.35,-9.47,31,5
278,35.csv : ,1,-10.36,-9.86,3,5
417,56.csv : ,1,-10.36,-9.26,25,25
298,368.csv : ,1,-10.38,-8.97,12,33
230,306.csv : ,1,-10.38,-9.65,27,28
92,182.csv : ,1,-10.40,-9.71,33,12
290,360.csv : ,1,-10.40,-9.36,22,24
6,104.csv : ,1,-10.42,-9.83,30,25
158,241.csv : ,1,-10.42,-9.93,2,20
42,137.csv : ,1,-10.44,-9.55,18,16
328,395.csv : ,1,-10.44,-9.51,8,28
57,150.csv : ,1,-10.44,-9.19,12,38
329,396.csv : ,1,-10.45,-9.99,28,31
41,136.csv : ,1,-10.46,-9.80,41,38
154,238.csv : ,1,-10.49,-9.92,4,33
147,231.csv : ,1,-10.50,-10.06,11,5
345,41.csv : ,1,-10.50,-9.41,5,1
3,101.csv : ,1,-10.51,-9.93,32,12
161,244.csv : ,1,-10.51,-9.91,9,4
162,245.csv : ,1,-10.51,-9.85,12,12
327,394.csv : ,1,-10.52,-9.86,29,28
235,310.csv : ,1,-10.53,-9.64,14,22
39,134.csv : ,1,-10.54,-9.71,33,34
178,26.csv : ,1,-10.54,-10.00,13,39
4,102.csv : ,1,-10.55,-9.77,30,23
124,210.csv : ,1,-10.56,-9.24,29,26
231,307.csv : ,1,-10.56,-9.91,30,11
233,309.csv : ,1,-10.58,-9.95,28,40
165,248.csv : ,1,-10.60,-9.62,11,38
243,318.csv : ,1,-10.60,-10.12,9,22
416,55.csv : ,1,-10.61,-9.83,45,42
150,234.csv : ,1,-10.62,-10.00,4,29
356,42.csv : ,1,-10.63,-9.76,2,32
357,420.csv : ,1,-10.64,-10.50,37,3
348,412.csv : ,1,-10.65,-9.96,31,29
43,138.csv : ,1,-10.66,-10.05,46,29
426,64.csv : ,1,-10.69,-9.56,9,32
239,314.csv : ,1,-10.69,-9.94,12,41
148,232.csv : ,1,-10.70,-9.67,22,33
38,133.csv : ,1,-10.70,-9.89,46,2
437,74.csv : ,1,-10.70,-9.97,22,7
342,407.csv : ,1,-10.71,-10.63,42,41
465,output.csv : 100.csv : ,1,-10.71,-9.80,45,33
2,100.csv : ,1,-10.71,-9.80,45,33
323,390.csv : ,1,-10.73,-9.79,12,10
240,315.csv : ,1,-10.74,-10.11,17,11
287,358.csv : ,1,-10.75,-9.90,15,26
322,39.csv : ,1,-10.76,-10.76,1,47
54,148.csv : ,1,-10.79,-9.32,5,45
354,418.csv : ,1,-10.81,-10.65,22,13
159,242.csv : ,1,-10.81,-10.04,4,8
164,247.csv : ,1,-10.84,-10.03,34,26
249,323.csv : ,1,-10.84,-10.23,5,15
352,416.csv : ,1,-10.85,-10.62,11,4
353,417.csv : ,1,-10.88,-10.18,21,41
89,18.csv : ,1,-10.90,-9.71,23,36
355,419.csv : ,1,-10.92,-10.78,14,39
144,229.csv : ,1,-10.93,-9.99,26,11
163,246.csv : ,1,-10.99,-10.57,22,16
320,388.csv : ,1,-11.00,-10.14,20,8
63,156.csv : ,1,-11.06,-10.51,19,36
321,389.csv : ,1,-11.07,-10.03,21,48
157,240.csv : ,1,-11.09,-10.22,6,10
166,249.csv : ,1,-11.09,-9.59,21,14
138,223.csv : ,1,-11.10,-9.92,9,26
299,369.csv : ,1,-11.12,-9.77,7,35
146,230.csv : ,1,-11.13,-10.20,6,18
288,359.csv : ,1,-11.14,-9.85,22,25
139,224.csv : ,1,-11.17,-10.19,20,4
250,324.csv : ,1,-11.18,-10.09,8,18
302,371.csv : ,1,-11.18,-9.94,15,46
61,154.csv : ,1,-11.29,-10.53,14,16
131,217.csv : ,1,-11.32,-9.32,14,26
236,311.csv : ,1,-11.34,-10.56,13,37
140,225.csv : ,1,-11.36,-10.52,14,18
454,9.csv : ,1,-11.37,-10.29,7,25
125,211.csv : ,1,-11.39,-10.63,6,23
62,155.csv : ,1,-11.43,-10.40,6,47
78,17.csv : ,1,-11.47,-11.05,12,14
155,239.csv : ,1,-11.51,-10.99,9,20
135,220.csv : ,1,-11.54,-10.22,4,33
432,7.csv : ,1,-11.57,-11.11,5,29
443,8.csv : ,1,-11.58,-10.70,9,37
67,16.csv : ,1,-11.60,-11.05,9,48
88,179.csv : ,1,-6.70,-6.45,24,42
209,288.csv : ,1,-6.72,-6.20,11,44
199,279.csv : ,1,-6.92,-6.85,49,27
90,180.csv : ,1,-7.00,-6.74,11,4
109,198.csv : ,1,-7.03,-6.64,14,30
