REC _TITLE1 TOTAL INTER INTRA RESTR VDW
001 134695375 -17.415 -13.811 -5.345 0.000 -13.200
002 134695375 -10.700 -8.725 -5.885 0.003 -11.598
003 134695375 -16.547 -15.556 -4.880 0.000 -13.965
004 134695375 -9.423 -12.392 -0.273 0.000 -12.361
005 134695375 -7.179 -5.816 -3.768 0.000 -10.333
006 134695375 -8.675 -9.806 -1.299 0.000 -9.293
007 134695375 -18.678 -19.777 -0.699 0.000 -14.536
008 134695375 -1.707 -0.871 -4.429 0.000 -7.917
009 134695375 -13.784 -13.910 -2.280 0.000 -8.214
010 134695375 -11.279 -9.329 -5.559 0.000 -11.013
011 134695375 -13.940 -11.083 -4.589 0.000 -11.899
012 134695375 -3.094 -7.894 -4.230 0.000 -10.653
013 134695375 -5.301 -12.708 -0.789 0.000 -11.474
014 134695375 -3.793 -9.628 -2.361 0.000 -8.367
015 134695375 -12.271 -20.058 -0.482 0.000 -14.874
016 134695375 -9.195 -10.201 -2.231 0.000 -10.908
017 134695375 -13.554 -13.813 -2.874 0.000 -11.661
018 134695375 -9.236 -14.304 -2.476 0.000 -12.351
019 134695375 -8.197 -4.963 -6.367 0.000 -8.981
020 134695375 -12.904 -12.786 -2.506 0.000 -13.895
021 134695375 -14.087 -12.165 -4.373 0.000 -7.991
022 134695375 -10.692 -13.706 -4.522 0.000 -10.600
023 134695375 -8.289 -6.293 -3.730 0.000 -6.530
024 134695375 -13.662 -9.737 -5.662 0.000 -13.068
025 134695375 -11.932 -10.683 -3.182 0.194 -11.298
026 134695375 -4.950 -5.853 -0.835 0.000 -2.668
027 134695375 -10.321 -12.790 -5.069 0.000 -11.857
028 134695375 -16.209 -14.828 -3.136 0.000 -11.095
029 134695375 -17.229 -14.243 -4.747 0.000 -12.966
030 134695375 -13.006 -15.979 -0.813 0.000 -15.325
031 134695375 -11.082 -15.450 -5.318 0.000 -12.259
032 134695375 -9.898 -11.915 -1.766 0.000 -11.556
033 134695375 -19.791 -15.007 -6.549 0.000 -11.909
034 134695375 -11.343 -13.261 -3.181 0.000 -11.617
035 134695375 -20.314 -14.665 -7.402 0.000 -10.387
036 134695375 -8.676 -9.148 -3.322 0.000 -10.864
037 134695375 -19.908 -16.285 -6.955 0.000 -14.042
038 134695375 -13.354 -14.645 -2.012 0.000 -13.166
039 134695375 -15.868 -20.644 2.985 0.028 -11.647
040 134695375 -16.023 -12.164 -5.596 0.000 -13.986
041 134695375 -14.359 -16.296 -1.865 0.000 -11.032
042 134695375 -7.071 -5.051 -5.157 0.000 -7.210
043 134695375 -7.308 -11.426 0.524 0.000 -11.059
044 134695375 -12.411 -10.128 -4.678 0.000 -9.947
045 134695375 -9.577 -9.041 -2.268 0.000 -7.553
046 134695375 -4.905 -13.884 -0.625 0.000 -10.061
047 134695375 -17.882 -15.553 -4.936 0.000 -13.382
048 134695375 -9.877 -12.596 -0.898 0.000 -11.011
049 134695375 -12.867 -11.895 -4.220 0.000 -12.268
050 134695375 -10.956 -12.289 -1.806 0.000 -14.443
051 134695375 -14.284 -14.737 -3.450 0.000 -14.340
052 134695375 -8.458 -5.549 -4.645 0.000 -7.526
053 134695375 -10.544 -13.937 0.228 0.000 -11.832
054 134695375 -11.261 -10.420 -3.911 0.000 -11.842
055 134695375 -10.154 -9.528 -2.379 0.000 -11.110
056 134695375 -12.793 -12.296 -2.266 0.000 -6.397
057 134695375 -15.156 -15.772 -3.002 0.023 -13.658
058 134695375 -14.200 -15.852 -2.232 0.000 -10.844
059 134695375 -18.646 -16.484 -4.552 0.000 -9.863
060 134695375 -14.845 -11.692 -6.390 0.000 -14.397
061 134695375 -13.565 -13.098 -2.860 0.000 -10.218
062 134695375 -11.149 -8.951 -3.961 0.000 -11.118
063 134695375 -12.400 -11.121 -3.067 0.038 -13.394
064 134695375 -18.343 -16.524 -3.611 0.000 -14.462
065 134695375 -9.480 -8.365 -4.345 0.000 -9.326
066 134695375 -7.457 -14.296 -1.404 0.000 -14.804
067 134695375 -12.954 -12.300 -3.893 0.000 -12.071
068 134695375 -4.546 -3.994 -2.301 0.000 -5.764
069 134695375 -11.501 -11.989 -4.637 0.000 -9.361
070 134695375 -11.594 -12.036 -1.294 0.000 -15.922
071 134695375 -16.297 -13.734 -4.311 0.000 -12.174
072 134695375 -7.444 -10.259 -0.978 0.000 -11.914
073 134695375 -9.851 -8.911 -3.343 0.000 -10.754
074 134695375 -11.603 -9.457 -4.535 0.000 -9.483
075 134695375 -12.851 -10.480 -4.105 0.000 -10.342
076 134695375 -7.750 -13.943 -2.761 0.000 -15.122
077 134695375 -17.907 -15.243 -4.407 0.000 -13.064
078 134695375 -7.817 -7.019 -2.712 0.144 -12.866
079 134695375 -2.830 -7.090 -3.933 0.000 -10.666
080 134695375 -11.364 -13.957 -2.512 0.000 -11.938
081 134695375 -12.058 -15.267 -4.339 0.013 -12.733
082 134695375 -14.577 -16.318 -1.496 0.000 -14.034
083 134695375 -16.779 -15.576 -3.597 0.000 -11.025
084 134695375 -13.537 -14.422 -3.004 0.000 -12.057
085 134695375 -10.214 -9.445 -4.592 0.000 -12.802
086 134695375 -18.011 -20.298 -0.123 0.000 -12.974
087 134695375 -13.905 -13.543 -2.100 0.000 -10.773
088 134695375 -13.981 -11.405 -4.311 0.000 -8.686
089 134695375 -18.294 -16.376 -5.518 0.000 -15.804
090 134695375 -15.954 -15.732 -3.404 0.000 -10.279
091 134695375 -8.548 -7.991 -2.944 0.000 -7.636
092 134695375 -5.855 -11.890 -2.183 0.000 -10.955
093 134695375 -10.769 -11.757 -2.249 0.000 -9.056
094 134695375 -2.248 -6.049 -4.384 0.000 -9.403
095 134695375 -9.061 -8.087 -3.369 0.000 -9.324
096 134695375 -13.219 -14.040 -2.320 0.000 -12.201
097 134695375 -20.488 -19.667 -3.249 0.000 -11.867
098 134695375 -16.697 -16.438 -2.016 0.000 -13.922
099 134695375 -15.570 -17.171 -1.992 0.000 -12.674
100 134695375 -15.187 -12.452 -4.487 0.000 -10.485
101 129878031 -17.139 -15.781 -3.757 0.000 -17.267
102 129878031 -19.794 -22.692 -2.101 0.000 -15.347
103 129878031 -10.691 -11.771 -2.319 0.000 -15.875
104 129878031 -12.201 -10.524 -4.063 0.000 -12.168
105 129878031 -15.745 -12.385 -5.109 0.000 -13.648
106 129878031 -20.760 -18.924 -3.604 0.000 -13.170
