LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
134695375_entry_00001_conf_01,-63.746,-49.746,-3.54145,-24.3237,-0.239432,-9.909,-18.9817,-2.77157,1004634,2.16509
134695375_entry_00002_conf_01,-64.4721,-46.4721,-3.58178,-24.6007,-0.24308,-10.0345,-17.7324,-2.93055,1458905,3.43773
134695375_entry_00003_conf_01,-61.7486,-43.7486,-3.43048,-23.5615,-0.232812,-9.61066,-16.6932,-2.80676,1565279,3.53824
129878031_entry_00004_conf_01,-65.0433,-49.0433,-3.82608,-25.2961,-0.260944,-10.3352,-19.0735,-3.25217,1303265,2.69214
129878031_entry_00005_conf_01,-63.2563,-45.2563,-3.72096,-24.6011,-0.253774,-10.0512,-17.6007,-3.0122,1631089,3.61346
129878031_entry_00006_conf_01,-69.8995,-51.8995,-4.11174,-27.1847,-0.280426,-11.1068,-20.1843,-3.32855,1464438,3.25615
118707521_entry_00007_conf_01,-43.5535,-25.5535,-1.24439,-13.3148,-0.0902712,-5.55305,-7.81197,-1.24439,1790068,6.07605
118707521_entry_00008_conf_01,-55.0971,-37.0971,-1.5742,-16.8438,-0.114197,-7.02486,-11.341,-1.48911,1758093,5.81768
118707521_entry_00009_conf_01,-63.5522,-45.5522,-1.81578,-19.4286,-0.131721,-8.10288,-13.9258,-1.67243,1910268,6.46923
91820057_entry_00010_conf_01,-60.4107,-46.4107,-3.17951,-22.6393,-0.201193,-9.02153,-17.3927,-2.62655,1173425,2.54487
91820057_entry_00011_conf_01,-62.3003,-46.3003,-3.27896,-23.3474,-0.207486,-9.30372,-17.3513,-2.83183,1401312,3.08228
91820057_entry_00012_conf_01,-63.2611,-47.2611,-3.32953,-23.7075,-0.210686,-9.44721,-17.7114,-2.87551,1373782,3.0588
