,Label,Molecule,Output,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
8,118707521,3,454,1,-11.76,-10.51,3,44
358,ZINC000101135603,120,288,1,-11.57,-10.26,19,29
238,118328,80,155,1,-11.55,-10.59,13,3
16,76325328,6,78,1,-11.54,-10.92,13,12
154,2733787,52,62,1,-11.35,-10.98,12,22
40,52944903,14,345,1,-11.28,-10.91,2,4
310,ZINC000015205840,104,236,1,-11.24,-10.52,11,12
229,129618,77,146,1,-11.18,-9.9,20,2
216,202260,73,131,1,-11.17,-9.38,9,11
222,198514,75,138,1,-11.11,-9.9,18,39
