,Label,Molecule,ECR,Molecule_par,Molecule_impar
79,118328,80,0.15842826414176828,160,159
13,52944903,14,0.15816944064944544,28,27
12,52944904,13,0.15650243538262662,26,25
5,76325328,6,0.14669568100175875,12,11
2,118707521,3,0.14331152326553284,6,5
122,ZINC000101361998,123,0.1398791788529325,246,245
51,2733787,52,0.13001311895092854,104,103
138,ZINC000257347638,139,0.10456960587404536,278,277
129,ZINC000106382957,130,0.10046607684286007,260,259
24,44341508,25,0.09573569302066091,50,49
11,52948856,12,0.09057341014178416,24,23
80,112106,81,0.07891141367474495,162,161
116,ZINC000100656214,117,0.07810976765004185,234,233
105,ZINC000015205949,106,0.0724939626409611,212,211
119,ZINC000101135603,120,0.07086301455993514,240,239
139,ZINC000257347639,140,0.06753030938209419,280,279
120,ZINC000101136391,121,0.06551698791173466,242,241
81,102416,82,0.06243984951051881,164,163
35,12600646,36,0.06167919652356901,72,71
117,ZINC000100815672,118,0.06061727526557382,236,235
78,122253,79,0.05971709859552306,158,157
74,198514,75,0.05932916458559748,150,149
1,129878031,2,0.05729152894838625,4,3
72,202260,73,0.05682122853111908,146,145
123,ZINC000102205030,124,0.05672946245106601,248,247
131,ZINC000106384102,132,0.05670023244261191,264,263
15,49859685,16,0.05426053925770065,32,31
97,ZINC000003956714,98,0.054193783487721706,196,195
102,ZINC000015205814,103,0.053232746000912115,206,205
69,408523,70,0.05077558641691903,140,139
46,5317448,47,0.048853359834513985,94,93
76,129618,77,0.048664445774736796,154,153
107,ZINC000019893747,108,0.048476485207416015,216,215
141,ZINC000307565252,142,0.04832864909795148,284,283
103,ZINC000015205840,104,0.04750485293474234,208,207
101,ZINC000013545464,102,0.04631686312582813,204,203
100,ZINC000012364260,101,0.045061109004311616,202,201
30,24847493,31,0.04424576534537045,62,61
106,ZINC000015205956,107,0.041726925592563996,214,213
82,99461,83,0.04120935526960104,166,165
98,ZINC000004027857,99,0.04035638752983658,198,197
54,449462,55,0.03971259663740439,110,109
33,16738680,34,0.037741789661784486,68,67
84,90220,85,0.03770167946349978,170,169
19,45933887,20,0.03750194714354213,40,39
48,4282259,49,0.03687261206752089,98,97
135,ZINC000257346145,136,0.036094260970998826,272,271
118,ZINC000101073479,119,0.03555376511637101,238,237
42,6713972,43,0.0352829809765797,86,85
134,ZINC000252694384,135,0.03524402629265485,270,269
111,ZINC000044021353,112,0.03413162939216038,224,223
128,ZINC000106382931,129,0.032735472803693474,258,257
114,ZINC000082114392,115,0.032132478709976514,230,229
44,6323218,45,0.031982576355972875,90,89
22,45266741,23,0.031412793777694036,46,45
99,ZINC000004027859,100,0.031118063602873593,200,199
45,5462244,46,0.03077961030922988,92,91
49,3052142,50,0.03074522439929306,100,99
8,57339290,9,0.029986486790131182,18,17
40,7067772,41,0.029922474513497048,82,81
29,25243937,30,0.029703991434292594,60,59
125,ZINC000102974493,126,0.02948873479574337,252,251
96,ZINC000001471333,97,0.029427812749637135,194,193
153,ZINC000616589990,154,0.027996582207309766,308,307
109,ZINC000032106887,110,0.027886140969943102,220,219
31,24779679,32,0.027114749370375568,64,63
113,ZINC000077269504,114,0.027085692051663945,228,227
27,42612215,28,0.027005207936802392,56,55
151,ZINC000616583702,152,0.026871551185713386,304,303
4,90659182,5,0.026846234049384608,10,9
154,ZINC000616591357,155,0.0265814809865267,310,309
70,312829,71,0.025758286381494414,142,141
137,ZINC000257346903,138,0.025369080459218315,276,275
130,ZINC000106382965,131,0.024910455465593586,262,261
145,ZINC000575124622,146,0.024614164696909413,292,291
104,ZINC000015205946,105,0.024352922055256625,210,209
32,22833605,33,0.024132780104816773,66,65
86,82398,87,0.024089151997285285,174,173
21,45266822,22,0.023151223487419114,44,43
136,ZINC000257346492,137,0.022957796505651672,274,273
68,433580,69,0.022866133726358918,138,137
115,ZINC000100342293,116,0.022800275973531202,232,231
56,447448,57,0.022748903130090987,114,113
50,2801971,51,0.021264694915246404,102,101
26,44119773,27,0.020384894955441157,54,53
147,ZINC000616582453,148,0.020287767217637757,296,295
108,ZINC000019898298,109,0.018815220232153033,218,217
92,18897,93,0.01731113858419071,186,185
20,45357367,21,0.01596932820000545,42,41
16,49802606,17,0.015580076125121323,34,33
52,2733335,53,0.015552852145633206,106,105
