,Label,Molecule,ECR,Molecule_primera,Molecule_segunda,Molecule_tercera
12,52944904,13,0.19763178283351415,39,38,37
5,76325328,6,0.1770376545219447,18,17,16
2,118707521,3,0.1680845158526028,9,8,7
122,ZINC000101361998,123,0.15730628526198445,369,368,367
13,52944903,14,0.15346493243281353,42,41,40
79,118328,80,0.1523545111544478,240,239,238
51,2733787,52,0.12538117707176719,156,155,154
11,52948856,12,0.1196543603237704,36,35,34
24,44341508,25,0.11644328580834641,75,74,73
129,ZINC000106382957,130,0.10067962693230398,390,389,388
80,112106,81,0.0977659078229978,243,242,241
119,ZINC000101135603,120,0.09330872758416124,360,359,358
131,ZINC000106384102,132,0.09215552440331226,396,395,394
139,ZINC000257347639,140,0.08792717866024707,420,419,418
138,ZINC000257347638,139,0.08402253050082124,417,416,415
104,ZINC000015205946,105,0.08038510677523025,315,314,313
120,ZINC000101136391,121,0.07126792748771761,363,362,361
103,ZINC000015205840,104,0.06711535629454204,312,311,310
78,122253,79,0.06611012063423283,237,236,235
101,ZINC000013545464,102,0.06521070435255331,306,305,304
116,ZINC000100656214,117,0.06078581207548187,351,350,349
128,ZINC000106382931,129,0.058017925859524054,387,386,385
43,6420074,44,0.053116081850611035,132,131,130
81,102416,82,0.050795175485326416,246,245,244
47,5284365,48,0.050328483371281645,144,143,142
1,129878031,2,0.05000088227200848,6,5,4
117,ZINC000100815672,118,0.04950363426998517,354,353,352
102,ZINC000015205814,103,0.049023567597306826,309,308,307
86,82398,87,0.04596355530905353,261,260,259
123,ZINC000102205030,124,0.04594481093774596,372,371,370
72,202260,73,0.04577303433577689,219,218,217
96,ZINC000001471333,97,0.04481250716400051,291,290,289
76,129618,77,0.043768396516426326,231,230,229
84,90220,85,0.043061868201202363,255,254,253
77,127132,78,0.042610056119757767,234,233,232
58,445621,59,0.041850524311716014,177,176,175
69,408523,70,0.04181045332476425,210,209,208
90,24154,91,0.04180838542696981,273,272,271
141,ZINC000307565252,142,0.04068512965510295,426,425,424
42,6713972,43,0.04049045869876281,129,128,127
106,ZINC000015205956,107,0.03896856526647395,321,320,319
74,198514,75,0.035761166474252835,225,224,223
100,ZINC000012364260,101,0.035537967114070305,303,302,301
105,ZINC000015205949,106,0.035521142217945424,318,317,316
54,449462,55,0.03552018392743494,165,164,163
66,439213,67,0.03491689848454018,201,200,199
125,ZINC000102974493,126,0.03444271729985575,378,377,376
134,ZINC000252694384,135,0.03416802245968384,405,404,403
135,ZINC000257346145,136,0.03359336270197629,408,407,406
50,2801971,51,0.03351730561901585,153,152,151
73,198515,74,0.03346501721369887,222,221,220
48,4282259,49,0.032178384645661896,147,146,145
22,45266741,23,0.03203954592304688,69,68,67
145,ZINC000575124622,146,0.03153286632182153,438,437,436
20,45357367,21,0.031155469162799074,63,62,61
98,ZINC000004027857,99,0.030883825242424598,297,296,295
113,ZINC000077269504,114,0.030633128293931666,342,341,340
114,ZINC000082114392,115,0.030463710572308803,345,344,343
118,ZINC000101073479,119,0.02956570546087365,357,356,355
70,312829,71,0.029419654953248584,213,212,211
130,ZINC000106382965,131,0.02940872589676464,393,392,391
82,99461,83,0.029236311446934282,249,248,247
147,ZINC000616582453,148,0.028620956434351034,444,443,442
136,ZINC000257346492,137,0.0277763825950503,411,410,409
107,ZINC000019893747,108,0.027607839791508586,324,323,322
99,ZINC000004027859,100,0.02719689564644585,300,299,298
49,3052142,50,0.026042643490794295,150,149,148
27,42612215,28,0.025915189242496292,84,83,82
97,ZINC000003956714,98,0.02566173494756591,294,293,292
137,ZINC000257346903,138,0.024822649245423156,414,413,412
154,ZINC000616591357,155,0.02399236383690942,465,464,463
109,ZINC000032106887,110,0.023957916491922037,330,329,328
46,5317448,47,0.023793054876828913,141,140,139
7,57339292,8,0.023346858223609376,24,23,22
111,ZINC000044021353,112,0.020297511809989413,336,335,334
19,45933887,20,0.019616658707117148,60,59,58
34,12917651,35,0.01931509449905075,105,104,103
21,45266822,22,0.019173176663402854,66,65,64
40,7067772,41,0.018930563267935123,123,122,121
88,35717,89,0.018888876909997944,267,266,265
151,ZINC000616583702,152,0.0184744992476654,456,455,454
8,57339290,9,0.018275734830698786,27,26,25
35,12600646,36,0.017067761267025684,108,107,106
60,441038,61,0.016246500453269554,183,182,181
108,ZINC000019898298,109,0.01615869322897917,327,326,325
87,82313,88,0.01604677841644557,264,263,262
110,ZINC000032106889,111,0.015987498753807356,333,332,331
115,ZINC000100342293,116,0.015958677362810647,348,347,346
44,6323218,45,0.015467646320858194,135,134,133
0,134695375,1,0.014577109641084865,3,2,1
52,2733335,53,0.014494303530304196,159,158,157
45,5462244,46,0.013945490271145344,138,137,136
56,447448,57,0.013811703328945733,171,170,169
132,ZINC000164373873,133,0.013774444023300123,399,398,397
33,16738680,34,0.011956751120569636,102,101,100
31,24779679,32,0.011842657743393803,96,95,94
9,54758653,10,0.011641625891169342,30,29,28
89,29327,90,0.011485278532328598,270,269,268
26,44119773,27,0.010947771111019366,81,80,79
67,439174,68,0.010118647732559908,204,203,202
16,49802606,17,0.010081939836519248,51,50,49
68,433580,69,0.009845470548733049,207,206,205
4,90659182,5,0.009829575965847106,15,14,13
55,448882,56,0.00982441451231452,168,167,166
36,12302999,37,0.00871241936823755,111,110,109
18,45934204,19,0.008410816220244324,57,56,55
148,ZINC000616582683,149,0.008257527442242367,447,446,445
124,ZINC000102863660,125,0.008088252602067579,375,374,373
32,22833605,33,0.007827590633610007,99,98,97
93,5300,94,0.0076453125708278065,282,281,280
30,24847493,31,0.0066942085044186675,93,92,91
149,ZINC000616582813,150,0.006649366885976993,450,449,448
152,ZINC000616583781,153,0.006600477065628179,459,458,457
17,46174147,18,0.006179509112748911,54,53,52
29,25243937,30,0.005996178637922888,90,89,88
23,44630437,24,0.005725588028899732,72,71,70
63,440235,64,0.005595076652287321,192,191,190
15,49859685,16,0.005233862158634732,48,47,46
85,84265,86,0.0051084838827721215,258,257,256
94,899,95,0.005056559450606718,285,284,283
91,24139,92,0.0048814887856176315,276,275,274
146,ZINC000575124647,147,0.0045367051453544735,441,440,439
39,9816401,40,0.004510108589921335,120,119,118
28,25243963,29,0.0043050456580720885,87,86,85
64,440049,65,0.004118776593377438,195,194,193
127,ZINC000106381125,128,0.003989296178928146,384,383,382
153,ZINC000616589990,154,0.003702260157655547,462,461,460
3,91820057,4,0.003662736930342001,12,11,10
14,51351654,15,0.0032362922304918504,45,44,43
150,ZINC000616582904,151,0.0032213260226836554,453,452,451
83,96523,84,0.002972464410076379,252,251,250
10,54758613,11,0.0026976632047438403,33,32,31
65,439281,66,0.0026283626938050537,198,197,196
53,644170,54,0.0025562306604310836,162,161,160
61,440552,62,0.002524914820168895,186,185,184
62,440271,63,0.002484036738072959,189,188,187
71,254124,72,0.002467363490162639,216,215,214
121,ZINC000101178654,122,0.002189023584314902,366,365,364
112,ZINC000056871016,113,0.0019956655321684553,339,338,337
37,11908605,38,0.0018986442020675089,114,113,112
25,44229083,26,0.0018418970038584278,78,77,76
75,193108,76,0.0017917841697050727,228,227,226
57,446101,58,0.0017324116660383565,174,173,172
38,11096158,39,0.0015642601710198693,117,116,115
140,ZINC000307008534,141,0.0012012659158637548,423,422,421
6,57376616,7,0.0009846606810464053,21,20,19
133,ZINC000196304985,134,0.0007993933469131715,402,401,400
92,18897,93,0.0006614927001816942,279,278,277
41,6971258,42,0.000536687519960774,126,125,124
126,ZINC000105341667,127,0.0005184894462095142,381,380,379
95,739,96,0.0005090379654932922,288,287,286
143,ZINC000394934764,144,0.00044327481971424083,432,431,430
59,441477,60,0.00035889867818229425,180,179,178
142,ZINC000383920275,143,0.00028020510979890635,429,428,427
144,ZINC000396869768,145,0.0001529341280728717,435,434,433
