,Label,Molecule,ECR,Molecule_par,Molecule_impar
79,118328,80,0.15842826414176828,160,159
13,52944903,14,0.15816944064944544,28,27
12,52944904,13,0.15650243538262662,26,25
5,76325328,6,0.14669568100175875,12,11
2,118707521,3,0.14331152326553284,6,5
122,ZINC000101361998,123,0.1398791788529325,246,245
51,2733787,52,0.13001311895092854,104,103
138,ZINC000257347638,139,0.10456960587404536,278,277
129,ZINC000106382957,130,0.10046607684286007,260,259
24,44341508,25,0.09573569302066091,50,49
11,52948856,12,0.09057341014178416,24,23
80,112106,81,0.07891141367474495,162,161
116,ZINC000100656214,117,0.07810976765004185,234,233
105,ZINC000015205949,106,0.0724939626409611,212,211
119,ZINC000101135603,120,0.07086301455993514,240,239
139,ZINC000257347639,140,0.06753030938209419,280,279
120,ZINC000101136391,121,0.06551698791173466,242,241
81,102416,82,0.06243984951051881,164,163
35,12600646,36,0.06167919652356901,72,71
117,ZINC000100815672,118,0.06061727526557382,236,235
