,Label,Molecule,ECR,Molecule_primera,Molecule_segunda,Molecule_tercera
12,52944904,13,0.19763178283351415,39,38,37
5,76325328,6,0.1770376545219447,18,17,16
2,118707521,3,0.1680845158526028,9,8,7
122,ZINC000101361998,123,0.15730628526198445,369,368,367
13,52944903,14,0.15346493243281353,42,41,40
79,118328,80,0.1523545111544478,240,239,238
51,2733787,52,0.12538117707176719,156,155,154
11,52948856,12,0.1196543603237704,36,35,34
24,44341508,25,0.11644328580834641,75,74,73
129,ZINC000106382957,130,0.10067962693230398,390,389,388
80,112106,81,0.0977659078229978,243,242,241
119,ZINC000101135603,120,0.09330872758416124,360,359,358
131,ZINC000106384102,132,0.09215552440331226,396,395,394
139,ZINC000257347639,140,0.08792717866024707,420,419,418
138,ZINC000257347638,139,0.08402253050082124,417,416,415
104,ZINC000015205946,105,0.08038510677523025,315,314,313
120,ZINC000101136391,121,0.07126792748771761,363,362,361
103,ZINC000015205840,104,0.06711535629454204,312,311,310
78,122253,79,0.06611012063423283,237,236,235
101,ZINC000013545464,102,0.06521070435255331,306,305,304
