,Label,Molecule,TOTAL,INTER,INTRA,RESTR,VDW
9235,5317448,47,-27.771,-28.414,-1.768,0.0,-13.311
7038,12600646,36,-25.866999999999997,-23.188000000000002,-4.478,0.0,-14.495999999999999
3065,49859685,16,-25.491999999999997,-16.319000000000003,-10.965,0.0,-16.683
24172,ZINC000101136391,121,-25.083000000000002,-23.311,-5.4270000000000005,0.0,-16.942999999999998
10997,449462,55,-24.16,-25.509,-2.365,0.0,-13.905999999999999
3925,45933887,20,-23.956999999999997,-24.024,-1.6869999999999998,0.0,-12.22
15921,118328,80,-23.785,-21.304000000000002,-4.995,0.113,-21.685
235,129878031,2,-23.478,-22.569000000000003,-4.797,0.0,-14.488
22899,ZINC000082114392,115,-23.31,-21.301,-5.64,0.341,-12.368
4479,45266741,23,-23.162,-22.616999999999997,-2.938,0.0,-10.462
