,Label_ad,Molecule_ad,Label_vin,Molecule_vin,Label_smin,Molecule_smin,Label_plan,Molecule_plan,Label_rdoc,Molecule_rdoc
0,118707521,3,76325328,6,ZINC000101361998,123,52944903,14,52944904,13
1,ZINC000101135603,120,118707521,3,76325328,6,52944904,13,6420074,44
2,118328,80,ZINC000101361998,123,52948856,12,ZINC000101361998,123,76325328,6
3,76325328,6,118328,80,118707521,3,52948856,12,24154,91
4,2733787,52,52944904,13,118328,80,ZINC000106382957,130,445621,59
5,52944903,14,44341508,25,52944904,13,122253,79,ZINC000101136391,121
6,ZINC000015205840,104,ZINC000257347638,139,52944903,14,112106,81,449462,55
7,129618,77,52944903,14,2733787,52,127132,78,118707521,3
8,202260,73,52948856,12,44341508,25,ZINC000106384102,132,439213,67
9,198514,75,2733787,52,112106,81,ZINC000013545464,102,ZINC000082114392,115
10,52944904,13,ZINC000257347639,140,ZINC000257347638,139,ZINC000106382931,129,45266741,23
11,102416,82,ZINC000077269504,114,ZINC000106384102,132,ZINC000100656214,117,6713972,43
12,99461,83,ZINC000575124622,146,90220,85,44341508,25,129878031,2
13,312829,71,ZINC000004027857,99,ZINC000102205030,124,ZINC000100815672,118,ZINC000015205946,105
14,ZINC000101361998,123,ZINC000101135603,120,198515,74,118328,80,5317448,47
15,ZINC000019893747,108,ZINC000106382957,130,ZINC000252694384,135,ZINC000101135603,120,5284365,48
16,44341508,25,ZINC000032106887,110,ZINC000015205814,103,ZINC000015205840,104,45357367,21
17,ZINC000257347639,140,ZINC000257346492,137,ZINC000015205946,105,2801971,51,ZINC000015205956,107
18,ZINC000106382957,130,ZINC000004027859,100,122253,79,ZINC000616582453,148,45933887,20
19,ZINC000257347638,139,ZINC000012364260,101,ZINC000257347639,140,408523,70,ZINC000101073479,119
20,ZINC000015205946,105,ZINC000100815672,118,3052142,50,ZINC000307565252,142,35717,89
21,ZINC000102205030,124,112106,81,4282259,49,129878031,2,ZINC000257347639,140
22,57339290,9,ZINC000616591357,155,5284365,48,2733787,52,ZINC000106382957,130
23,ZINC000257346145,136,ZINC000257346145,136,ZINC000015205949,106,ZINC000101136391,121,ZINC000013545464,102
24,112106,81,ZINC000015205814,103,ZINC000100656214,117,82398,87,82313,88
25,6323218,45,ZINC000106384102,132,ZINC000106382931,129,12600646,36,ZINC000164373873,133
26,12917651,35,ZINC000106382965,131,ZINC000106382965,131,ZINC000015205946,105,ZINC000001471333,97
27,408523,70,ZINC000106382931,129,ZINC000001471333,97,202260,73,42612215,28
28,ZINC000257346903,138,ZINC000001471333,97,42612215,28,ZINC000616583702,152,ZINC000106384102,132
29,57339292,8,ZINC000100656214,117,82398,87,ZINC000003956714,98,57339292,8
30,ZINC000015205814,103,ZINC000032106889,111,ZINC000102974493,126,ZINC000252694384,135,441038,61
31,16738680,34,ZINC000257346903,138,408523,70,2733335,53,44119773,27
