,LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
368,ZINC000101361998_entry_00369_conf_01,-86.1547,-62.1547,-2.97085,-28.0422,-0.213561,-11.6599,-20.2306,-2.61075,3886977,17.3519
158,2733335_entry_00159_conf_01,-81.4698,-63.4698,-4.5261,-31.0866,-0.306004,-12.6641,-24.2183,-3.3945800000000004,1897838,6.53136
36,52944904_entry_00037_conf_01,-78.6695,-50.6695,-2.2477,-24.0501,-0.163011,-10.0294,-15.4902,-2.01717,5031968,25.9234
71,44630437_entry_00072_conf_01,-78.5639,-62.5639,-4.91024,-31.1781,-0.33397899999999997,-12.7269,-24.8285,-3.5710900000000003,1558149,4.7983199999999995
292,ZINC000003956714_entry_00293_conf_01,-77.9832,-59.9832,-3.54469,-27.8309,-0.250486,-11.5061,-21.406999999999996,-2.99935,2272344,8.00033
107,12600646_entry_00108_conf_01,-77.8985,-59.8985,-3.8949300000000004,-28.6981,-0.248323,-11.4646,-22.0668,-3.11594,1955150,6.90021
352,ZINC000100815672_entry_00353_conf_01,-76.7933,-56.7933,-3.07173,-26.2629,-0.210218,-10.7425,-19.423,-2.64804,2693588,10.5198
261,82313_entry_00262_conf_01,-76.4892,-64.4892,-5.09928,-31.0148,-0.34577600000000003,-12.6473,-26.1491,-3.8244599999999997,990777,2.8434
65,45266822_entry_00066_conf_01,-76.3007,-54.3007,-3.05203,-26.0945,-0.197498,-10.4763,-18.5706,-2.6310599999999997,3308567,13.1529
169,447448_entry_00170_conf_01,-75.7599,-57.7599,-4.4564699999999995,-29.4639,-0.303937,-12.038,-22.4635,-3.44363,1912367,6.21571
153,2733787_entry_00154_conf_01,-75.5739,-59.5739,-2.79903,-25.1913,-0.199215,-10.4397,-19.858,-2.43787,2140976,8.23455
351,ZINC000100815672_entry_00352_conf_01,-75.5013,-57.5013,-3.02005,-25.8211,-0.206681,-10.5618,-19.6652,-2.6034900000000003,2406227,9.07215
37,52944904_entry_00038_conf_01,-75.3675,-47.3675,-2.1533599999999997,-23.0406,-0.156495,-9.61515,-14.4807,-1.98335,4933460,25.4409
121,7067772_entry_00122_conf_01,-75.3351,-57.3351,-4.1852800000000006,-28.7457,-0.282962,-11.7105,-21.8774,-3.13896,2001348,6.87573
404,ZINC000252694384_entry_00405_conf_01,-75.1656,-47.1656,-3.2680700000000003,-26.4308,-0.22544,-10.8398,-16.585,-2.7839099999999997,4456763,17.7974
274,24139_entry_00275_conf_01,-74.9572,-62.9572,-4.99715,-30.3937,-0.338851,-12.394,-25.5279,-3.7478599999999997,985073,2.80992
361,ZINC000101136391_entry_00362_conf_01,-74.8822,-58.8822,-3.9411699999999996,-28.0626,-0.277034,-11.5815,-22.0665,-3.25575,1706360,5.719869999999999
273,24139_entry_00274_conf_01,-74.8778,-62.8778,-4.99185,-30.3615,-0.338492,-12.3809,-25.4957,-3.74389,971128,2.77323
154,2733787_entry_00155_conf_01,-74.8598,-60.8598,-2.77259,-24.9533,-0.19733299999999998,-10.3411,-20.2866,-2.41483,1813646,6.818569999999999
