Number,Molecule,Affinity
0,Lig100,-5.10182381
1,Lig100,-4.88299036
2,Lig100,-4.77065372
3,Lig100,-4.42559195
4,Lig100,-4.42318964
5,Lig100,-4.19477034
6,Lig100,-4.14469671
7,Lig100,-3.99244881
8,Lig100,-3.98699784
9,Lig100,-3.95456123
10,Lig100,-3.95206046
11,Lig100,-3.87633777
12,Lig100,-3.87284923
13,Lig100,-3.79458117
14,Lig100,-3.74380422
15,Lig100,-3.72605872
16,Lig100,-3.6899519
17,Lig100,-3.54064441
18,Lig100,-3.51712823
19,Lig100,-3.45383978
20,Lig100,-3.43187165
21,Lig100,-3.38525176
22,Lig100,-3.35890317
23,Lig100,-3.3414762000000002
24,Lig100,-3.28292894
25,Lig100,-3.27512813
26,Lig100,-3.22237825
27,Lig100,-3.14219832
28,Lig100,-3.11618471
29,Lig100,-3.05460048
30,Lig100,-3.02566838
31,Lig100,-3.00899911
32,Lig100,-3.00542903
33,Lig100,-2.98522997
34,Lig100,-2.96883035
35,Lig100,-2.96312547
36,Lig100,-2.95046902
37,Lig100,-2.90487885
38,Lig100,-2.88472533
39,Lig100,-2.86993003
40,Lig100,-2.8621192000000004
41,Lig100,-2.82018805
42,Lig100,-2.81546402
43,Lig100,-2.81445479
44,Lig100,-2.79257751
45,Lig100,-2.69451284
46,Lig100,-2.6572361
47,Lig100,-2.6552937
48,Lig100,-2.60404468
49,Lig100,-2.56475949
50,Lig101,-5.53879881
51,Lig101,-5.37107563
52,Lig101,-4.5225668
53,Lig101,-4.51958609
54,Lig101,-4.44797182
55,Lig101,-4.44153881
56,Lig101,-4.43811369
57,Lig101,-4.39547729
58,Lig101,-4.39340067
59,Lig101,-4.36274958
60,Lig101,-4.35442066
61,Lig101,-4.30952215
62,Lig101,-4.22839212
63,Lig101,-4.14378548
64,Lig101,-4.09589005
65,Lig101,-4.0806756
66,Lig101,-4.02279949
67,Lig101,-4.01463079
68,Lig101,-3.95241356
69,Lig101,-3.93754745
70,Lig101,-3.92512059
71,Lig101,-3.89102602
72,Lig101,-3.88021731
73,Lig101,-3.87986684
74,Lig101,-3.86552501
75,Lig101,-3.7852962
76,Lig101,-3.77075052
77,Lig101,-3.75309944
78,Lig101,-3.74360919
79,Lig101,-3.67805171
80,Lig101,-3.6283144999999997
81,Lig101,-3.57885456
82,Lig101,-3.54005599
83,Lig101,-3.53380132
84,Lig101,-3.4926063999999997
85,Lig101,-3.46955776
86,Lig101,-3.46776056
87,Lig101,-3.45053339
88,Lig101,-3.43278146
89,Lig101,-3.34887457
90,Lig101,-3.33115625
91,Lig101,-3.33105779
92,Lig101,-3.30588102
93,Lig101,-3.2673223
94,Lig101,-3.23702931
95,Lig101,-3.18850589
96,Lig101,-3.11723685
