Number,Molecule,affinity_(kcal/mol),rmsd_lb,rmsd_ub
0,Lig100,-5.9,0.0,0.0
1,Lig100,-5.7,1.956,4.614
2,Lig100,-5.7,3.373,6.872000000000001
3,Lig100,-5.6,1.9869999999999999,4.073
4,Lig100,-5.4,1.926,5.737
5,Lig100,-5.4,2.137,5.901
6,Lig100,-5.2,2.8560000000000003,5.579
7,Lig100,-5.1,1.882,2.07
8,Lig100,-5.1,4.262,6.2829999999999995
9,Lig100,-5.1,6.6339999999999995,7.784
10,Lig100,-5.0,2.128,4.325
11,Lig100,-5.0,2.229,4.133
12,Lig100,-5.0,4.177,6.117000000000001
13,Lig100,-4.9,3.065,4.865
14,Lig100,-4.8,5.541,8.152000000000001
15,Lig100,-4.8,6.026,7.465
16,Lig100,-4.6,4.125,5.4639999999999995
17,Lig100,-4.6,2.49,3.574
18,Lig100,-4.6,6.38,9.022
19,Lig100,-4.5,5.447,7.652
20,Lig101,-5.7,0.0,0.0
21,Lig101,-5.6,2.146,5.669
22,Lig101,-5.6,1.923,4.588
23,Lig101,-5.5,2.4219999999999997,6.111000000000001
24,Lig101,-5.2,2.2430000000000003,3.3739999999999997
25,Lig101,-5.2,4.091,6.085
26,Lig101,-5.0,2.061,4.042
27,Lig101,-5.0,2.148,3.8710000000000004
28,Lig101,-5.0,2.162,4.186
29,Lig101,-5.0,3.364,5.343999999999999
30,Lig101,-4.9,2.6910000000000003,4.8389999999999995
31,Lig101,-4.8,4.122,6.794
32,Lig101,-4.7,2.452,5.104
33,Lig101,-4.7,3.312,6.023
34,Lig101,-4.7,2.248,4.747
35,Lig101,-4.7,5.422999999999999,7.684
36,Lig101,-4.6,2.186,3.625
37,Lig101,-4.6,2.26,3.216
38,Lig101,-4.5,2.263,4.303999999999999
39,Lig101,-4.5,6.612,8.466000000000001
40,Lig102,-5.7,0.0,0.0
41,Lig102,-5.6,2.167,5.678999999999999
42,Lig102,-5.6,1.915,4.581
43,Lig102,-5.6,2.365,6.093
44,Lig102,-5.2,4.128,6.135
45,Lig102,-5.2,2.221,3.325
46,Lig102,-5.1,2.051,2.801
47,Lig102,-5.0,2.177,4.309
48,Lig102,-5.0,2.052,3.5
49,Lig102,-4.9,2.733,4.88
50,Lig102,-4.9,2.395,4.003
51,Lig102,-4.8,4.48,7.004
52,Lig102,-4.8,2.146,2.58
53,Lig102,-4.7,2.7489999999999997,4.806
54,Lig102,-4.7,3.139,5.492000000000001
55,Lig102,-4.6,4.034,5.475
56,Lig102,-4.6,4.052,6.861000000000001
57,Lig102,-4.5,7.494,10.187999999999999
58,Lig102,-4.5,6.175,8.207
59,Lig102,-4.5,5.47,7.9270000000000005
60,Lig103,-5.5,0.0,0.0
61,Lig103,-5.5,1.7519999999999998,2.641
62,Lig103,-5.4,2.784,5.444
63,Lig103,-5.3,2.234,3.5260000000000002
64,Lig103,-5.3,1.973,4.618
65,Lig103,-5.1,2.426,5.111000000000001
66,Lig103,-5.1,1.922,4.513
67,Lig103,-5.0,2.013,4.617
68,Lig103,-4.9,2.02,4.221
69,Lig103,-4.9,1.8230000000000002,4.695
70,Lig103,-4.7,2.984,5.532
71,Lig103,-4.7,2.801,4.488
72,Lig103,-4.6,2.688,5.867999999999999
73,Lig103,-4.6,2.0869999999999997,4.365
74,Lig103,-4.6,2.5980000000000003,4.939
75,Lig103,-4.5,2.013,5.103
76,Lig103,-4.5,2.263,5.154
77,Lig103,-4.4,6.832000000000001,10.402999999999999
78,Lig103,-4.4,2.483,5.327999999999999
79,Lig103,-4.4,2.539,5.317
80,Lig104,-5.4,0.0,0.0
81,Lig104,-5.3,1.848,4.052
82,Lig104,-5.2,1.7730000000000001,4.572
83,Lig104,-5.2,2.175,4.731
84,Lig104,-5.2,1.79,4.763
85,Lig104,-5.0,1.9869999999999999,5.0169999999999995
86,Lig104,-5.0,2.1,4.566
87,Lig104,-4.9,1.7209999999999999,5.16
88,Lig104,-4.9,2.199,4.69
89,Lig104,-4.8,2.73,5.4
90,Lig104,-4.8,2.259,3.612
91,Lig104,-4.7,3.4730000000000003,5.928
92,Lig104,-4.7,1.931,5.522
93,Lig104,-4.6,2.443,5.728
94,Lig104,-4.5,2.231,4.104
95,Lig104,-4.5,3.002,6.107
96,Lig104,-4.5,1.848,2.431
97,Lig104,-4.3,2.825,6.082999999999999
98,Lig104,-4.3,6.058,8.13
99,Lig104,-4.2,5.4079999999999995,8.202
100,Lig105,-6.0,0.0,0.0
101,Lig105,-6.0,3.715,6.388
102,Lig105,-5.6,2.864,6.111000000000001
103,Lig105,-5.5,2.557,5.038
104,Lig105,-5.5,2.081,5.343
105,Lig105,-5.4,1.751,3.9389999999999996
106,Lig105,-5.3,4.592,6.865
107,Lig105,-5.2,2.082,4.629
108,Lig105,-5.2,7.063,9.352
109,Lig105,-5.2,2.667,4.738
110,Lig105,-5.1,9.22,11.357999999999999
111,Lig105,-5.0,2.385,5.367999999999999
112,Lig105,-5.0,2.305,3.19
113,Lig105,-5.0,2.524,5.314
114,Lig105,-5.0,2.823,3.989
115,Lig105,-4.9,7.013999999999999,9.814
116,Lig105,-4.8,3.2510000000000003,4.745
117,Lig105,-4.8,2.431,5.181
118,Lig105,-4.7,2.366,4.939
119,Lig105,-4.7,4.011,6.492999999999999
120,Lig106,-6.7,0.0,0.0
121,Lig106,-6.3,5.39,8.318999999999999
122,Lig106,-6.0,3.609,4.183
123,Lig106,-5.8,2.645,3.3139999999999996
124,Lig106,-5.8,1.8559999999999999,2.25
125,Lig106,-5.6,6.034,9.042
126,Lig106,-5.3,2.424,2.947
127,Lig106,-5.2,2.457,3.054
128,Lig106,-5.2,2.987,6.922000000000001
129,Lig106,-5.2,4.013,5.117
130,Lig106,-5.1,2.9960000000000004,3.9410000000000003
131,Lig106,-5.0,3.202,3.926
132,Lig106,-4.8,11.302999999999999,12.45
133,Lig106,-4.8,4.191,5.117
134,Lig106,-4.7,4.251,5.1339999999999995
135,Lig106,-4.7,3.636,6.831
136,Lig106,-4.7,3.5669999999999997,4.529
137,Lig106,-4.6,4.823,6.8629999999999995
138,Lig106,-4.5,5.256,6.314
139,Lig106,-4.5,4.237,5.394
140,Lig107,-5.4,0.0,0.0
141,Lig107,-5.2,7.834,9.738999999999999
142,Lig107,-5.2,5.0089999999999995,7.046
143,Lig107,-5.1,7.931,9.531
144,Lig107,-4.8,8.333,9.808
145,Lig107,-4.7,2.813,6.244
146,Lig107,-4.7,2.8680000000000003,6.379
147,Lig107,-4.6,3.159,6.263
148,Lig107,-4.6,3.653,6.5089999999999995
149,Lig107,-4.6,7.949,9.644
150,Lig107,-4.5,8.621,10.288
151,Lig107,-4.5,6.4670000000000005,7.9510000000000005
152,Lig107,-4.4,4.906000000000001,7.265
153,Lig107,-4.4,2.9939999999999998,4.699
154,Lig107,-4.3,3.036,4.525
155,Lig107,-4.3,5.781000000000001,7.545
156,Lig107,-4.3,9.352,10.435
157,Lig107,-4.2,3.785,6.66
158,Lig107,-4.2,3.627,5.48
159,Lig107,-4.1,3.285,6.9110000000000005
160,Lig108,-6.4,0.0,0.0
161,Lig108,-5.7,1.913,2.951
162,Lig108,-5.7,6.067,8.612
163,Lig108,-5.6,4.205,7.439
164,Lig108,-5.3,5.545,8.467
165,Lig108,-5.2,4.971,7.744
166,Lig108,-5.0,2.03,2.517
167,Lig108,-4.9,7.181,9.382
168,Lig108,-4.8,5.115,6.921
169,Lig108,-4.7,4.258,7.0760000000000005
170,Lig108,-4.7,6.079,8.237
171,Lig108,-4.7,3.325,7.071000000000001
172,Lig108,-4.7,4.587,7.452999999999999
173,Lig108,-4.6,1.735,2.043
174,Lig108,-4.5,3.6319999999999997,7.52
175,Lig108,-4.5,6.319,9.148
176,Lig108,-4.4,6.001,9.107000000000001
177,Lig108,-4.4,4.413,5.606
178,Lig108,-4.4,4.917,6.854
179,Lig108,-4.3,1.9969999999999999,2.279
180,Lig109,-5.7,0.0,0.0
181,Lig109,-5.6,1.5919999999999999,1.933
182,Lig109,-5.5,1.8030000000000002,3.3510000000000004
183,Lig109,-5.3,1.819,3.0389999999999997
184,Lig109,-5.1,1.942,4.002
185,Lig109,-4.9,1.6780000000000002,2.226
186,Lig109,-4.9,1.75,2.299
187,Lig109,-4.7,8.117,9.601
188,Lig109,-4.6,1.719,3.138
189,Lig109,-4.6,1.921,2.9939999999999998
190,Lig109,-4.5,2.162,3.964
191,Lig109,-4.4,2.191,4.207
192,Lig109,-4.2,2.322,4.06
193,Lig109,-4.2,5.8020000000000005,7.546
194,Lig109,-4.2,3.262,4.8660000000000005
195,Lig109,-4.2,2.437,3.2310000000000003
196,Lig109,-4.2,2.326,3.6519999999999997
197,Lig109,-4.2,2.952,4.5969999999999995
198,Lig109,-4.1,6.035,7.54
199,Lig109,-4.1,2.793,4.292
200,Lig10,-6.8,0.0,0.0
201,Lig10,-6.2,4.137,7.827999999999999
202,Lig10,-5.9,2.8339999999999996,4.359
203,Lig10,-5.8,3.714,7.266
204,Lig10,-5.7,3.1910000000000003,6.689
205,Lig10,-5.6,3.884,7.3870000000000005
206,Lig10,-5.5,2.2569999999999997,3.373
207,Lig10,-5.5,1.541,2.449
208,Lig10,-5.4,3.656,6.916
209,Lig10,-5.2,2.59,3.4960000000000004
210,Lig10,-5.2,3.877,6.303
211,Lig10,-5.2,3.4730000000000003,6.867000000000001
212,Lig10,-5.2,2.327,2.8280000000000003
213,Lig10,-5.1,2.162,3.5860000000000003
214,Lig10,-5.1,3.8810000000000002,6.325
215,Lig10,-5.1,3.283,7.1
216,Lig10,-4.9,5.271,8.27
217,Lig10,-4.9,7.358,9.198
218,Lig10,-4.9,4.357,7.2170000000000005
219,Lig10,-4.9,8.449,10.33
220,Lig110,-5.8,0.0,0.0
221,Lig110,-5.7,1.499,1.8319999999999999
222,Lig110,-5.6,1.795,3.383
223,Lig110,-5.3,1.831,3.0439999999999996
224,Lig110,-5.1,1.96,4.024
225,Lig110,-5.0,1.3330000000000002,1.671
226,Lig110,-5.0,2.22,3.4210000000000003
227,Lig110,-4.7,2.0669999999999997,3.477
228,Lig110,-4.6,1.868,2.9930000000000003
229,Lig110,-4.5,3.1830000000000003,5.197
230,Lig110,-4.4,2.15,4.216
231,Lig110,-4.4,9.708,10.277000000000001
232,Lig110,-4.4,2.059,3.2889999999999997
233,Lig110,-4.3,2.154,3.4
234,Lig110,-4.1,3.077,4.442
235,Lig110,-4.1,3.134,4.753
236,Lig110,-4.0,2.403,4.085
237,Lig110,-4.0,6.182,7.63
238,Lig110,-3.9,6.624,8.445
239,Lig110,-3.8,2.5780000000000003,3.775
240,Lig111,-5.2,0.0,0.0
241,Lig111,-5.1,2.281,4.143
242,Lig111,-5.1,2.032,3.117
243,Lig111,-5.0,2.474,3.9210000000000003
244,Lig111,-4.9,1.786,3.1630000000000003
245,Lig111,-4.9,2.488,3.9419999999999997
246,Lig111,-4.6,2.386,3.205
247,Lig111,-4.6,1.69,2.0869999999999997
248,Lig111,-4.5,2.002,3.3710000000000004
249,Lig111,-4.4,2.367,4.362
250,Lig111,-4.4,2.431,4.0889999999999995
251,Lig111,-4.2,2.75,4.534
252,Lig111,-4.2,9.376,10.645999999999999
253,Lig111,-4.2,3.0810000000000004,4.453
254,Lig111,-4.2,2.582,3.835
255,Lig111,-4.1,4.085,5.696000000000001
256,Lig111,-4.1,5.959,7.603
257,Lig111,-4.0,3.37,5.067
258,Lig111,-4.0,2.112,2.7
259,Lig111,-3.9,5.752999999999999,7.999
260,Lig112,-6.0,0.0,0.0
261,Lig112,-5.8,1.8,4.917
262,Lig112,-5.5,2.11,4.7410000000000005
263,Lig112,-5.3,2.804,4.306
264,Lig112,-5.0,3.0010000000000003,5.409
265,Lig112,-4.8,3.784,6.829
266,Lig112,-4.8,3.798,5.941
267,Lig112,-4.8,5.205,6.563
268,Lig112,-4.7,4.841,8.324
269,Lig112,-4.7,3.957,6.3229999999999995
270,Lig112,-4.6,7.15,9.29
271,Lig112,-4.6,3.287,5.563
272,Lig112,-4.6,3.157,4.22
273,Lig112,-4.6,8.219,9.357999999999999
274,Lig112,-4.4,4.29,6.553999999999999
275,Lig112,-4.3,2.983,4.194
276,Lig112,-4.3,2.8339999999999996,5.907
277,Lig112,-4.2,5.369,8.205
278,Lig112,-4.2,4.803999999999999,8.061
279,Lig112,-4.1,6.007000000000001,8.537
280,Lig113,-5.8,0.0,0.0
281,Lig113,-5.0,3.622,6.465
282,Lig113,-4.9,2.076,4.707
283,Lig113,-4.8,2.7689999999999997,4.4239999999999995
284,Lig113,-4.8,5.9910000000000005,8.732000000000001
