,Label,Molecule,Output,cluster_rank,lowest_binding_energy,mean_binding_energy,num_in_clus,run
15,76325328,6,67,1,-11.6,-11.05,9,48
7,118707521,3,443,1,-11.58,-10.7,9,37
219,198515,74,135,1,-11.54,-10.22,4,33
238,118328,80,155,1,-11.51,-10.99,9,20
154,2733787,52,62,1,-11.43,-10.4,6,47
210,312829,71,125,1,-11.39,-10.63,6,23
224,198514,75,140,1,-11.36,-10.52,14,18
310,ZINC000015205840,104,236,1,-11.34,-10.56,13,37
216,202260,73,131,1,-11.32,-9.32,14,26
370,ZINC000102205030,124,302,1,-11.18,-9.94,15,46
323,ZINC000019893747,108,250,1,-11.18,-10.09,8,18
358,ZINC000101135603,120,288,1,-11.14,-9.85,22,25
229,129618,77,146,1,-11.13,-10.2,6,18
368,ZINC000101361998,123,299,1,-11.12,-9.77,7,35
248,99461,83,166,1,-11.09,-9.59,21,14
388,ZINC000106382957,130,321,1,-11.07,-10.03,21,48
245,102416,82,163,1,-10.99,-10.57,22,16
418,ZINC000257347639,140,355,1,-10.92,-10.78,14,39
416,ZINC000257347638,139,353,1,-10.88,-10.18,21,41
241,112106,81,159,1,-10.81,-10.04,4,8
