,Label,Molecule,ECR,Molecule_par,Molecule_impar
13,52944903,14,0.17850412682297787,28,27
11,52948856,12,0.16481055688986004,24,23
2,118707521,3,0.14738911079157774,6,5
89,29327,90,0.13485558524028812,180,179
79,118328,80,0.133523582522903,160,159
5,76325328,6,0.13114292930370755,12,11
12,52944904,13,0.12748339709653342,26,25
122,ZINC000101361998,123,0.10710700764961335,246,245
51,2733787,52,0.10142368993064299,104,103
87,82313,88,0.0998624902002195,176,175
20,45357367,21,0.09558544420583487,42,41
40,7067772,41,0.09541582765273271,82,81
28,25243963,29,0.0930854089634276,58,57
119,ZINC000101135603,120,0.09279853685821167,240,239
118,ZINC000101073479,119,0.08679937465461415,238,237
138,ZINC000257347638,139,0.08292611017763464,278,277
1,129878031,2,0.07941612869364592,4,3
23,44630437,24,0.0793153379487059,48,47
80,112106,81,0.0767555935644767,162,161
48,4282259,49,0.06699576905249138,98,97
63,440235,64,0.0666621352477717,128,127
35,12600646,36,0.060723664035999256,72,71
22,45266741,23,0.060000612419496696,46,45
21,45266822,22,0.05947772662436567,44,43
56,447448,57,0.058955895698309335,114,113
111,ZINC000044021353,112,0.05476913501717304,224,223
47,5284365,48,0.053741659536728194,96,95
24,44341508,25,0.05192693298815217,50,49
58,445621,59,0.050943439279855465,118,117
66,439213,67,0.04959538672466523,134,133
91,24139,92,0.048351660821622414,184,183
81,102416,82,0.046713326780732596,164,163
129,ZINC000106382957,130,0.04561313019969414,260,259
115,ZINC000100342293,116,0.04468725993902129,232,231
75,193108,76,0.043979915424364094,152,151
52,2733335,53,0.04305245536102137,106,105
117,ZINC000100815672,118,0.04239296001307876,236,235
43,6420074,44,0.04183204876509502,88,87
139,ZINC000257347639,140,0.04009512157192835,280,279
116,ZINC000100656214,117,0.03890049546825237,234,233
42,6713972,43,0.0380708510514373,86,85
107,ZINC000019893747,108,0.037867921923926226,216,215
14,51351654,15,0.036449136443806165,30,29
0,134695375,1,0.035576112133077556,2,1
134,ZINC000252694384,135,0.03377664449650581,270,269
7,57339292,8,0.03335133124507243,16,15
72,202260,73,0.03259129230450062,146,145
113,ZINC000077269504,114,0.03111038079149584,228,227
103,ZINC000015205840,104,0.031038331881103276,208,207
74,198514,75,0.030596902435261402,150,149
16,49802606,17,0.030479399863915138,34,33
130,ZINC000106382965,131,0.030145503891841337,262,261
82,99461,83,0.02910936301562332,166,165
59,441477,60,0.0290432749395103,120,119
10,54758613,11,0.028422482608513343,22,21
104,ZINC000015205946,105,0.02815266135851124,210,209
131,ZINC000106384102,132,0.027578680228004256,264,263
30,24847493,31,0.02692621520932844,62,61
67,439174,68,0.02688911755420734,136,135
45,5462244,46,0.026718682541827625,92,91
8,57339290,9,0.025696377742948317,18,17
141,ZINC000307565252,142,0.025689601339953575,284,283
120,ZINC000101136391,121,0.024999189635199755,242,241
19,45933887,20,0.02425758757215056,40,39
65,439281,66,0.024129249093434744,132,131
27,42612215,28,0.02408706774733016,56,55
128,ZINC000106382931,129,0.024045493141437353,258,257
84,90220,85,0.02402698650905752,170,169
98,ZINC000004027857,99,0.02387002207619636,198,197
102,ZINC000015205814,103,0.023624539698915484,206,205
62,440271,63,0.023038277222548816,126,125
70,312829,71,0.022204127203420413,142,141
100,ZINC000012364260,101,0.022179463517259267,202,201
135,ZINC000257346145,136,0.021951454388049067,272,271
78,122253,79,0.02163634593305008,158,157
57,446101,58,0.021297219825897003,116,115
99,ZINC000004027859,100,0.0212923675379221,200,199
64,440049,65,0.021206068470622678,130,129
76,129618,77,0.02096376201481291,154,153
110,ZINC000032106889,111,0.020835041325799466,222,221
46,5317448,47,0.020354228606064517,94,93
108,ZINC000019898298,109,0.019906832866317097,218,217
44,6323218,45,0.019753623146270494,90,89
38,11096158,39,0.019621473150804522,78,77
26,44119773,27,0.019280325411904605,54,53
137,ZINC000257346903,138,0.01841910346280255,276,275
73,198515,74,0.01837689179248332,148,147
50,2801971,51,0.016681018170320226,102,101
148,ZINC000616582683,149,0.016427045716384345,298,297
31,24779679,32,0.015448535904399317,64,63
150,ZINC000616582904,151,0.014561002604414883,302,301
36,12302999,37,0.01450633539068087,74,73
136,ZINC000257346492,137,0.014359057325965778,274,273
105,ZINC000015205949,106,0.01408460640231805,212,211
93,5300,94,0.013947313392680906,188,187
60,441038,61,0.013847739781521706,122,121
97,ZINC000003956714,98,0.013656793041903023,196,195
37,11908605,38,0.013473711677453183,76,75
145,ZINC000575124622,146,0.013347969756936308,292,291
32,22833605,33,0.01267381470843802,66,65
34,12917651,35,0.01228709980565094,70,69
154,ZINC000616591357,155,0.011796265279174085,310,309
96,ZINC000001471333,97,0.01133183599749113,194,193
125,ZINC000102974493,126,0.010858419393040292,252,251
17,46174147,18,0.010642262371187412,36,35
101,ZINC000013545464,102,0.010346012777989466,204,203
109,ZINC000032106887,110,0.01004446376820786,220,219
33,16738680,34,0.009909600963113713,68,67
88,35717,89,0.009813369365880616,178,177
147,ZINC000616582453,148,0.009162006002104761,296,295
53,644170,54,0.009047318998698596,108,107
49,3052142,50,0.008606148207571652,100,99
69,408523,70,0.008261404818792915,140,139
77,127132,78,0.008257688602711508,156,155
152,ZINC000616583781,153,0.00801224031285636,306,305
3,91820057,4,0.007940421673863853,8,7
86,82398,87,0.00708936724867577,174,173
25,44229083,26,0.007021430633370449,52,51
18,45934204,19,0.006517543576476239,38,37
90,24154,91,0.006352967736128616,182,181
123,ZINC000102205030,124,0.005837799277688318,248,247
127,ZINC000106381125,128,0.005569799554262584,256,255
15,49859685,16,0.005342054749992758,32,31
85,84265,86,0.005257124951707469,172,171
92,18897,93,0.005252754900420544,186,185
140,ZINC000307008534,141,0.005227535892785065,282,281
83,96523,84,0.004983515421818207,168,167
94,899,95,0.00486520759484573,190,189
106,ZINC000015205956,107,0.004673723224108545,214,213
95,739,96,0.004611527382473252,192,191
68,433580,69,0.004220182954823904,138,137
149,ZINC000616582813,150,0.003956999658011733,300,299
39,9816401,40,0.003947195685303865,80,79
54,449462,55,0.0038795369232712293,110,109
9,54758653,10,0.0035781086537624335,20,19
29,25243937,30,0.0033766299089633468,60,59
144,ZINC000396869768,145,0.003312642468052857,290,289
6,57376616,7,0.0030592884848106372,14,13
146,ZINC000575124647,147,0.0028861826808393625,294,293
151,ZINC000616583702,152,0.0028137974019525865,304,303
41,6971258,42,0.002682884888945814,84,83
153,ZINC000616589990,154,0.00242027974486614,308,307
4,90659182,5,0.0022112761739550737,10,9
121,ZINC000101178654,122,0.0017371166306431381,244,243
132,ZINC000164373873,133,0.0015757066299388728,266,265
