,Label,Molecule,ECR,Molecule_primera,Molecule_segunda,Molecule_tercera
12,52944904,13,0.17057901583823312,39,38,37
5,76325328,6,0.1507280729155744,18,17,16
51,2733787,52,0.14205812191917913,156,155,154
2,118707521,3,0.13015403125455183,9,8,7
79,118328,80,0.12107231633540227,240,239,238
52,2733335,53,0.11593330377061035,159,158,157
13,52944903,14,0.11570609632017395,42,41,40
122,ZINC000101361998,123,0.10044724489500766,369,368,367
11,52948856,12,0.09855521602561437,36,35,34
23,44630437,24,0.09809720910405025,72,71,70
89,29327,90,0.09652656404782242,270,269,268
56,447448,57,0.09007123645424275,171,170,169
87,82313,88,0.0891889810075216,264,263,262
47,5284365,48,0.08628811848047109,144,143,142
40,7067772,41,0.08598858978470261,123,122,121
80,112106,81,0.08569620732172784,243,242,241
24,44341508,25,0.08274078457699491,75,74,73
0,134695375,1,0.08165719986052118,3,2,1
35,12600646,36,0.0809972052138408,108,107,106
91,24139,92,0.07591945885142874,276,275,274
