,Label,TOTAL_SCORE,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,Molecule,Conformation
0,52944903,-84.1483,-25.9748,-0.17996900000000002,14,01
1,ZINC000101135603,-80.8392,-26.3121,-0.20137,120,01
2,4282259,-78.4517,-28.4356,-0.263879,49,01
3,7067772,-77.6327,-29.6224,-0.291591,41,01
4,82313,-76.6003,-31.0599,-0.346279,88,01
5,ZINC000101361998,-76.5119,-24.9036,-0.189658,123,01
6,52948856,-76.495,-23.1668,-0.154341,12,01
7,44630437,-76.2931,-30.2769,-0.324326,24,01
8,ZINC000100815672,-76.1927,-26.0575,-0.208573,118,01
9,29327,-75.7072,-28.8877,-0.28544,90,01
10,52944904,-75.4962,-23.08,-0.156763,13,01
11,2733335,-75.4408,-28.7861,-0.284435,53,01
12,129878031,-75.3248,-29.2947,-0.302191,2,01
13,ZINC000100656214,-75.2785,-26.8656,-0.241798,117,01
14,25243963,-75.1761,-28.1727,-0.25128,29,01
15,440235,-74.9634,-28.093000000000004,-0.24966,64,01
16,445621,-74.28399999999998,-32.4465,-0.412272,59,01
17,102416,-74.1615,-25.7104,-0.216654,82,01
19,ZINC000101073479,-73.9855,-26.8168,-0.248856,119,01
20,ZINC000106382931,-73.8849,-26.3683,-0.234337,129,01
