,Label,Molecule,TOTAL,INTER,INTRA,RESTR,VDW
4592,45266741,23,-32.857,-28.996,-2.872,0.0,-14.0
8184,7067772,41,-32.58,-28.732,-4.297,0.0,-16.465
11312,447448,57,-32.409,-28.465,-3.45,0.0,-16.695999999999998
13233,439213,67,-31.101999999999997,-28.986,-1.587,0.0,-13.995999999999999
4174,45357367,21,-30.958000000000002,-31.496,0.968,0.0,-16.593
18214,24139,92,-30.564,-28.913,-1.12,0.0,-15.774000000000001
17949,29327,90,-30.12,-26.028000000000002,-3.639,0.0,-16.755
7126,12600646,36,-29.838,-28.27,-0.44299999999999995,0.0,-18.758
223,129878031,2,-28.773000000000003,-24.82,-3.802,0.0,-16.819000000000003
23671,ZINC000101073479,119,-28.704,-25.101,-4.196000000000001,0.0,-19.546
17546,82313,88,-27.944000000000003,-26.261,-0.579,0.0,-16.015
11904,441477,60,-27.936,-23.866999999999997,-3.0589999999999997,0.0,-12.527000000000001
4738,44630437,24,-27.755,-26.267,-0.451,0.0,-14.345999999999998
11628,445621,59,-27.680999999999997,-26.039,-0.605,0.0,-13.66
198,134695375,1,-27.599,-24.95,-1.526,0.0,-16.127
8401,6713972,43,-27.233,-28.0,1.2229999999999999,0.0,-16.239
5518,42612215,28,-27.189,-27.35,0.613,0.0,-14.74
12911,440049,65,-27.151,-25.963,-0.14400000000000002,0.0,-12.495
15122,193108,76,-27.034000000000002,-24.418000000000003,-2.532,0.0,-16.464000000000002
7636,11096158,39,-26.924,-26.896,0.198,0.0,-13.364
