,Label,Molecule,Affinity
1207,52944904,13,-8.22799397
1255,52944903,14,-8.20754623
1113,52948856,12,-8.12395096
242,118707521,3,-7.948771000000002
482,76325328,6,-7.47345257
8629,29327,90,-7.28359842
4935,2733787,52,-7.07988787
2322,44341508,25,-7.03557491
7695,118328,80,-6.88225651
2710,25243963,29,-6.7446003
4574,5284365,48,-6.70338058
10829,ZINC000044021353,112,-6.67540312
1943,45357367,21,-6.66824532
6140,440235,64,-6.6423254
11472,ZINC000101073479,119,-6.54608727
7745,112106,81,-6.53422213
8441,82313,88,-6.39216042
99,129878031,2,-6.39153051
681,57339292,8,-6.33351278
2891,24847493,31,-6.32636547
