,Label_ad,Molecule_ad,Label_vin,Molecule_vin,Label_smin,Molecule_smin,Label_plan,Molecule_plan,Label_rdoc,Molecule_rdoc
0,52948856,12,118707521,3,52944904,13,52944903,14,45266741,23
1,118707521,3,76325328,6,52944903,14,ZINC000101135603,120,7067772,41
2,76325328,6,ZINC000257347638,139,52948856,12,4282259,49,447448,57
3,ZINC000106382957,130,52944903,14,118707521,3,7067772,41,439213,67
4,52944903,14,52948856,12,76325328,6,82313,88,45357367,21
5,118328,80,118328,80,29327,90,ZINC000101361998,123,24139,92
6,ZINC000019893747,108,ZINC000101361998,123,2733787,52,52948856,12,29327,90
7,2733787,52,52944904,13,44341508,25,44630437,24,12600646,36
8,202260,73,29327,90,118328,80,ZINC000100815672,118,129878031,2
9,198514,75,2733787,52,25243963,29,29327,90,ZINC000101073479,119
10,99461,83,45266822,22,5284365,48,52944904,13,82313,88
11,ZINC000257347638,139,ZINC000077269504,114,ZINC000044021353,112,2733335,53,441477,60
12,5462244,46,25243963,29,45357367,21,129878031,2,44630437,24
13,ZINC000015205840,104,ZINC000100342293,116,440235,64,ZINC000100656214,117,445621,59
14,ZINC000101361998,123,ZINC000101135603,120,ZINC000101073479,119,25243963,29,134695375,1
15,57339290,9,45357367,21,112106,81,440235,64,6713972,43
16,312829,71,ZINC000044021353,112,82313,88,445621,59,42612215,28
17,ZINC000101135603,120,ZINC000004027857,99,129878031,2,102416,82,440049,65
18,129618,77,ZINC000307565252,142,57339292,8,ZINC000101073479,119,193108,76
19,ZINC000257346145,136,112106,81,24847493,31,ZINC000106382931,129,11096158,39
