,Label,Molecule,affinity_(kcal/mol),rmsd_lb,rmsd_ub
300,76325328,6,-8.1,0.0,0.0
818,52944903,14,-7.8,1.6269999999999998,2.5860000000000003
758,52944904,13,-7.6,0.0,0.0
4745,118328,80,-7.6,0.0,0.0
120,118707521,3,-7.5,0.0,0.0
3092,2733787,52,-7.5,0.0,0.0
5324,29327,90,-7.4,0.0,0.0
678,52948856,12,-7.4,0.0,0.0
1456,44341508,25,-7.3,0.0,0.0
8336,ZINC000257347639,140,-7.3,0.0,0.0
0,134695375,1,-7.2,0.0,0.0
4785,112106,81,-7.1,0.0,0.0
8276,ZINC000257347638,139,-7.1,0.0,0.0
3152,2733335,53,-7.1,0.0,0.0
5942,ZINC000004027859,100,-7.0,0.0,0.0
6878,ZINC000100342293,116,-7.0,0.0,0.0
8673,ZINC000575124622,146,-7.0,0.0,0.0
6779,ZINC000077269504,114,-7.0,0.0,0.0
1257,45266822,22,-7.0,0.0,0.0
7298,ZINC000101361998,123,-7.0,0.0,0.0
