LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
134695375_entry_00001_conf_01,-59.345,-45.345,-3.29694,-22.6443,-0.222902,-9.22487,-17.3023,-2.6975,1108218,2.43939
134695375_entry_00002_conf_01,-58.7324,-44.7324,-3.26291,-22.4106,-0.220601,-9.12966,-17.0686,-2.66966,1029541,2.2115
129878031_entry_00003_conf_01,-64.7321,-46.7321,-3.80777,-25.1751,-0.259695,-10.2857,-18.1747,-3.08248,1640798,3.68167
129878031_entry_00004_conf_01,-65.169,-47.169,-3.83347,-25.345,-0.261448,-10.3551,-18.3446,-2.96223,1527171,3.39186
118707521_entry_00005_conf_01,-44.9409,-26.9409,-1.28403,-13.7389,-0.0931467,-5.72994,-8.23612,-1.28403,1712149,5.83407
118707521_entry_00006_conf_01,-61.1987,-43.1987,-1.74853,-18.7091,-0.126843,-7.8028,-13.2063,-1.65402,1836492,6.24001
91820057_entry_00007_conf_01,-58.967,-42.967,-3.10353,-22.0983,-0.196385,-8.80594,-16.1022,-2.68032,1335038,2.97694
91820057_entry_00008_conf_01,-58.1767,-44.1767,-3.06193,-21.8021,-0.193753,-8.68792,-16.5555,-2.6444,1225020,2.53272
90659182_entry_00009_conf_01,-61.3385,-45.3385,-3.4077,-23.405,-0.233008,-9.57075,-17.2999,-2.92088,1324586,2.77537
90659182_entry_00010_conf_01,-59.2253,-43.2253,-3.29029,-22.5987,-0.224981,-9.24102,-16.4935,-2.69206,1218241,2.61191
76325328_entry_00011_conf_01,-38.5406,-20.5406,-1.10116,-11.7823,-0.0798811,-4.91391,-6.27947,-1.07057,1694873,5.78305
76325328_entry_00012_conf_01,-55.7069,-37.7069,-1.59162,-17.0302,-0.115461,-7.1026,-11.5274,-1.50559,1526414,5.1446
57376616_entry_00013_conf_01,-63.5994,-49.5994,-4.23996,-25.7883,-0.287507,-10.516,-20.1116,-3.34734,857855,1.66612
57376616_entry_00014_conf_01,-61.4178,-49.4178,-4.09452,-24.9037,-0.277645,-10.1553,-20.0379,-3.07089,781130,1.42145
57339292_entry_00015_conf_01,-59.3533,-39.3533,-2.96766,-21.8659,-0.202412,-8.93391,-14.4979,-2.47305,1999534,5.13409
57339292_entry_00016_conf_01,-56.6484,-36.6484,-2.83242,-20.8694,-0.193188,-8.52677,-13.5014,-2.26593,1928385,4.95822
57339290_entry_00017_conf_01,-60.9086,-40.9086,-2.6482,-21.4175,-0.181673,-8.76763,-14.3849,-2.43635,2331798,6.20227
57339290_entry_00018_conf_01,-62.6217,-40.6217,-2.72268,-22.0199,-0.186782,-9.01422,-14.284,-2.40853,2674657,7.4164
54758653_entry_00019_conf_01,-55.9295,-41.9295,-2.94366,-20.9599,-0.186948,-8.36246,-15.7134,-2.54225,1209893,2.58489
54758653_entry_00020_conf_01,-61.6265,-47.6265,-3.2435,-23.0949,-0.20599,-9.21426,-17.8483,-2.8012,1215489,2.56421
54758613_entry_00021_conf_01,-60.1163,-46.1163,-3.16402,-22.529,-0.200213,-8.97757,-17.2824,-2.61375,1155027,2.475
54758613_entry_00022_conf_01,-56.738,-42.738,-2.98621,-21.2629,-0.188962,-8.47307,-16.0163,-2.579,1173921,2.48573
52948856_entry_00023_conf_01,-77.3551,-47.3551,-2.14875,-23.4273,-0.156077,-9.77474,-14.3417,-1.98346,5295204,20.7735
52948856_entry_00024_conf_01,-83.8877,-53.8877,-2.33021,-25.4057,-0.169257,-10.6002,-16.3201,-2.20757,5284585,20.8946
52944904_entry_00025_conf_01,-84.6176,-56.6176,-2.41765,-25.8685,-0.175703,-10.7953,-17.3086,-2.22678,4654981,17.5962
52944904_entry_00026_conf_01,-80.2283,-52.2283,-2.29224,-24.5266,-0.166938,-10.2424,-15.9667,-2.16833,4614504,17.3102
52944903_entry_00027_conf_01,-84.1522,-58.1522,-2.47507,-25.976,-0.179978,-10.8422,-17.9504,-2.21453,4365794,15.7983
52944903_entry_00028_conf_01,-88.634,-62.634,-2.60688,-27.3594,-0.189563,-11.4196,-19.3338,-2.46205,4141782,15.0091
51351654_entry_00029_conf_01,-59.6342,-45.6342,-3.72714,-23.6658,-0.230938,-9.36473,-18.1099,-2.83972,975007,2.02665
51351654_entry_00030_conf_01,-62.0606,-48.0606,-3.87879,-24.6288,-0.240334,-9.74576,-19.0729,-3.10303,1002827,2.07462
49859685_entry_00031_conf_01,-67.1483,-51.1483,-3.53412,-25.1643,-0.224447,-10.0399,-19.1682,-2.91949,1282354,2.91841
49859685_entry_00032_conf_01,-59.7414,-43.7414,-3.14428,-22.3884,-0.199689,-8.9324,-16.3923,-2.84483,1312774,2.89039
49802606_entry_00033_conf_01,-64.0306,-48.0306,-3.55726,-24.4323,-0.232681,-9.84417,-18.3271,-2.78394,1202623,2.6362
49802606_entry_00034_conf_01,-68.2841,-52.2841,-3.79356,-26.0553,-0.248138,-10.4981,-19.9501,-3.10382,1172473,2.60462
46174147_entry_00035_conf_01,-63.694,-47.694,-3.53856,-24.3038,-0.241048,-9.92584,-18.1987,-2.76931,1185248,2.74507
46174147_entry_00036_conf_01,-64.2735,-50.2735,-3.57075,-24.5249,-0.243241,-10.0161,-19.1829,-3.21368,1170851,2.5059
45934204_entry_00037_conf_01,-58.2364,-40.2364,-2.91182,-21.4545,-0.199259,-8.77544,-14.8232,-2.42651,1787260,4.26132
45934204_entry_00038_conf_01,-59.3312,-41.3312,-2.96656,-21.8578,-0.203006,-8.94043,-15.2266,-2.69687,1583921,3.72848
45933887_entry_00039_conf_01,-60.4757,-48.4757,-5.03964,-26.4152,-0.335637,-10.7072,-21.1737,-3.5574,672043,1.22969
45933887_entry_00040_conf_01,-57.3067,-45.3067,-4.77556,-25.031,-0.319838,-10.1652,-19.7895,-3.58167,659550,1.18927
45357367_entry_00041_conf_01,-64.6641,-50.6641,-3.59245,-24.674,-0.243804,-10.0644,-19.332,-2.81148,1064475,2.29811
45357367_entry_00042_conf_01,-59.3853,-45.3853,-3.29918,-22.6597,-0.223053,-9.23114,-17.3177,-2.58197,1001693,2.22316
45266822_entry_00043_conf_01,-62.3679,-40.3679,-2.49472,-21.3295,-0.161434,-8.56326,-13.8056,-2.15062,2835667,7.97147
45266822_entry_00044_conf_01,-64.8195,-42.8195,-2.59278,-22.1679,-0.16778,-8.89987,-14.6441,-2.31498,2673714,7.52748
45266741_entry_00045_conf_01,-62.6965,-50.6965,-5.22471,-27.3852,-0.34992,-11.1212,-22.1437,-3.68803,668263,1.20609
45266741_entry_00046_conf_01,-60.0143,-48.0143,-5.00119,-26.2137,-0.333076,-10.6255,-20.9722,-3.33413,657869,1.21572
44630437_entry_00047_conf_01,-58.699,-44.699,-3.66869,-23.2947,-0.249532,-9.50888,-17.7388,-2.93495,946916,1.86462
44630437_entry_00048_conf_01,-68.0232,-54.0232,-4.25145,-26.995,-0.28917,-11.0193,-21.4391,-3.40116,972056,1.92833
44341508_entry_00049_conf_01,-69.7794,-51.7794,-2.58442,-23.2598,-0.184903,-9.65605,-17.2598,-2.40619,1937087,5.14459
44341508_entry_00050_conf_01,-72.9758,-54.9758,-2.70281,-24.3253,-0.193373,-10.0984,-18.3253,-2.51641,2014404,5.36502
44229083_entry_00051_conf_01,-59.9675,-43.9675,-3.15618,-22.4732,-0.200445,-8.96621,-16.4771,-2.72579,1321371,2.9617
44229083_entry_00052_conf_01,-61.7779,-45.7779,-3.25147,-23.1516,-0.206496,-9.23689,-17.1555,-2.80809,1371790,3.14134
44119773_entry_00053_conf_01,-60.2207,-46.2207,-4.01471,-24.4183,-0.272233,-9.95736,-18.7416,-3.16951,915730,1.81788
44119773_entry_00054_conf_01,-57.3715,-45.3715,-3.82477,-23.263,-0.259353,-9.48626,-18.3973,-2.86858,750042,1.37651
42612215_entry_00055_conf_01,-59.0348,-41.0348,-3.27971,-22.526,-0.225124,-9.22316,-15.6577,-2.56673,1565587,3.81027
42612215_entry_00056_conf_01,-61.5359,-43.5359,-3.41866,-23.4803,-0.234662,-9.61391,-16.6121,-2.79709,1426357,3.50819
25243963_entry_00057_conf_01,-60.4971,-46.4971,-3.18406,-22.6717,-0.202215,-9.0454,-17.4251,-2.63031,1174775,2.5158
25243963_entry_00058_conf_01,-62.8426,-48.8426,-3.3075,-23.5506,-0.210055,-9.39609,-18.3041,-2.73229,1241527,2.67667
25243937_entry_00059_conf_01,-60.5705,-44.5705,-3.18792,-22.6992,-0.202461,-9.05637,-16.7031,-2.6335,1290747,2.94863
25243937_entry_00060_conf_01,-60.0649,-44.0649,-3.16131,-22.5097,-0.20077,-8.98077,-16.5136,-2.73022,1350914,3.0399
24847493_entry_00061_conf_01,-63.1811,-41.1811,-3.15905,-23.2761,-0.201407,-9.29858,-15.1712,-2.747,2209003,5.70701
24847493_entry_00062_conf_01,-63.6474,-41.6474,-3.18237,-23.4479,-0.202894,-9.3672,-15.343,-2.76728,2059005,5.42624
24779679_entry_00063_conf_01,-63.1372,-43.1372,-3.00653,-22.8847,-0.206118,-9.36617,-15.6355,-2.63071,2084457,5.30646
24779679_entry_00064_conf_01,-69.1176,-49.1176,-3.29131,-25.0524,-0.225642,-10.2533,-17.8032,-2.7647,1988945,4.96647
22833605_entry_00065_conf_01,-57.5939,-41.5939,-3.38788,-22.3989,-0.230166,-9.13969,-16.1763,-2.61791,1360986,2.98025
22833605_entry_00066_conf_01,-59.4012,-43.4012,-3.49419,-23.1018,-0.236436,-9.41386,-16.8792,-2.70005,1370413,3.03353
16738680_entry_00067_conf_01,-58.7873,-40.7873,-2.93936,-21.6574,-0.201144,-8.85846,-15.0262,-2.55597,1764819,4.26117
16738680_entry_00068_conf_01,-58.4278,-40.4278,-2.92139,-21.525,-0.199914,-8.80429,-14.8937,-2.54034,1680496,4.04801
12917651_entry_00069_conf_01,-61.3493,-45.3493,-3.06747,-22.6013,-0.209911,-9.24453,-16.7068,-2.55622,1500979,3.47166
12917651_entry_00070_conf_01,-61.5556,-43.5556,-3.07778,-22.6773,-0.210616,-9.27561,-16.046,-2.56482,1759037,4.27216
12600646_entry_00071_conf_01,-61.4835,-43.4835,-3.07417,-22.6507,-0.195368,-9.03906,-16.0194,-2.56181,1544440,3.77551
12600646_entry_00072_conf_01,-61.2507,-43.2507,-3.06254,-22.565,-0.194628,-9.00484,-15.9337,-2.55211,1540187,3.80291
12302999_entry_00073_conf_01,-57.9024,-45.9024,-4.8252,-25.2912,-0.323163,-10.2708,-20.0497,-3.40602,669324,1.21151
12302999_entry_00074_conf_01,-59.671,-47.671,-4.97258,-26.0637,-0.331171,-10.5648,-20.8222,-3.31505,661611,1.21892
11908605_entry_00075_conf_01,-58.9389,-46.9389,-3.92926,-23.8986,-0.266439,-9.74542,-19.0328,-3.27438,820851,1.52116
11908605_entry_00076_conf_01,-62.5358,-48.5358,-4.16905,-25.357,-0.282699,-10.3402,-19.6803,-3.29136,968324,1.93165
11096158_entry_00077_conf_01,-58.5656,-46.5656,-3.90437,-23.7472,-0.264751,-9.68369,-18.8814,-3.25364,792993,1.45365
11096158_entry_00078_conf_01,-60.4136,-46.4136,-4.02757,-24.4965,-0.273105,-9.98925,-18.8198,-3.17966,943938,1.90759
9816401_entry_00079_conf_01,-61.1257,-45.1257,-3.59563,-23.7724,-0.24428,-9.70015,-17.5499,-2.91075,1349839,3.0125
9816401_entry_00080_conf_01,-59.3277,-43.3277,-3.48986,-23.0732,-0.236143,-9.40222,-16.8506,-2.69671,1235448,2.7658
7067772_entry_00081_conf_01,-62.4951,-44.4951,-3.47195,-23.8464,-0.235626,-9.72685,-16.9781,-2.84069,1490026,3.48982
7067772_entry_00082_conf_01,-63.9788,-45.9788,-3.55438,-24.4125,-0.240307,-9.94518,-17.5442,-2.78169,1491469,3.53871
6971258_entry_00083_conf_01,-59.0384,-47.0384,-3.9359,-23.9389,-0.266889,-9.76188,-19.0732,-2.95192,806784,1.50038
6971258_entry_00084_conf_01,-59.3035,-45.3035,-3.95356,-24.0464,-0.268087,-9.8057,-18.3697,-3.12123,942894,1.87423
6713972_entry_00085_conf_01,-61.408,-43.408,-3.41156,-23.4315,-0.230651,-9.54556,-16.5633,-2.66991,1612635,3.86417
6713972_entry_00086_conf_01,-60.9018,-42.9018,-3.38343,-23.2384,-0.22875,-9.46688,-16.3701,-2.64791,1513406,3.66292
6420074_entry_00087_conf_01,-63.2436,-49.2436,-3.51353,-24.132,-0.238448,-9.84334,-18.79,-3.0116,1096920,2.4021
6420074_entry_00088_conf_01,-59.2178,-45.2178,-3.28988,-22.5958,-0.22327,-9.21676,-17.2538,-2.69172,1036407,2.29441
6323218_entry_00089_conf_01,-59.0395,-41.0395,-2.95197,-21.7503,-0.202007,-8.89646,-15.1191,-2.56693,1738238,4.21348
6323218_entry_00090_conf_01,-62.6075,-46.6075,-3.13038,-23.0648,-0.214216,-9.43412,-17.1704,-2.60865,1535869,3.57695
5462244_entry_00091_conf_01,-58.4457,-40.4457,-2.92229,-21.5316,-0.199976,-8.80699,-14.9003,-2.54112,1681559,4.08036
5462244_entry_00092_conf_01,-63.2372,-47.2372,-3.16186,-23.2968,-0.21637,-9.529,-17.4023,-2.87442,1493230,3.44417
5317448_entry_00093_conf_01,-62.8768,-50.8768,-5.23973,-27.464,-0.348963,-11.1323,-22.2225,-3.69864,668230,1.23112
5317448_entry_00094_conf_01,-60.0709,-48.0709,-5.00591,-26.2384,-0.335266,-10.6555,-20.9969,-3.53358,672255,1.21409
5284365_entry_00095_conf_01,-64.4403,-42.4403,-3.22201,-23.74,-0.205421,-9.4839,-15.6351,-2.80175,2214398,5.80193
5284365_entry_00096_conf_01,-67.1906,-45.1906,-3.35953,-24.7532,-0.213503,-9.87809,-16.6483,-2.68762,2601449,6.91466
4282259_entry_00097_conf_01,-70.3865,-54.3865,-3.35174,-25.5123,-0.236751,-10.5461,-19.7129,-3.06028,1394835,3.28054
4282259_entry_00098_conf_01,-69.3718,-53.3718,-3.30342,-25.1445,-0.233338,-10.394,-19.3452,-3.01617,1302489,3.03923
3052142_entry_00099_conf_01,-60.4902,-36.4902,-2.16036,-19.9204,-0.142734,-8.05315,-12.0168,-2.08587,3640305,10.6913
3052142_entry_00100_conf_01,-58.7967,-34.7967,-2.09988,-19.3628,-0.138738,-7.8277,-11.4591,-2.02747,3591091,10.5921
2801971_entry_00101_conf_01,-62.935,-46.935,-2.86068,-22.4604,-0.20215,-9.28581,-16.7503,-2.62229,1660299,3.84976
2801971_entry_00102_conf_01,-68.75,-52.75,-3.125,-24.5357,-0.220828,-10.1438,-18.8256,-2.75,1496654,3.47785
2733787_entry_00103_conf_01,-70.7616,-54.7616,-2.6208,-23.5872,-0.18653,-9.77495,-18.2539,-2.44006,1627036,4.36556
2733787_entry_00104_conf_01,-68.6565,-52.6565,-2.54283,-22.8855,-0.180981,-9.48415,-17.5522,-2.45202,1734044,4.69439
2733335_entry_00105_conf_01,-60.9685,-42.9685,-3.38714,-23.2638,-0.22987,-9.48924,-16.3955,-2.7713,1587240,3.70366
2733335_entry_00106_conf_01,-60.0391,-42.0391,-3.33551,-22.9092,-0.226366,-9.34459,-16.0409,-2.72905,1523487,3.57299
644170_entry_00107_conf_01,-61.9608,-47.9608,-4.13072,-25.1239,-0.2801,-10.2451,-19.4472,-3.2611,931582,1.88365
