LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
134695375_entry_00001_conf_01,-67.7773,-53.7773,-3.7654,-25.8619,-0.254574,-10.5356,-20.5199,-2.82405,1425763,4.51332
134695375_entry_00002_conf_01,-66.6489,-52.6489,-3.70272,-25.4313,-0.250336,-10.3602,-20.0893,-2.89778,1327005,4.269
129878031_entry_00003_conf_01,-75.3248,-57.3248,-4.43087,-29.2947,-0.302191,-11.9689,-22.2943,-3.27499,1943216,6.1621
129878031_entry_00004_conf_01,-71.8954,-53.8954,-4.22914,-27.9609,-0.288433,-11.4239,-20.9605,-3.26797,1985838,6.24668
118707521_entry_00005_conf_01,64.9046,82.9046,1.85442,19.842,0.134525,8.27531,25.3448,1.85442,1744913,8.07824
118707521_entry_00006_conf_01,-34.7598,-16.7598,-0.993136,-10.6264,-0.0720448,-4.43185,-5.12364,-0.965549,1997781,9.73658
91820057_entry_00007_conf_01,-64.7694,-48.7694,-3.40891,-24.2727,-0.21571,-9.67244,-18.2766,-2.94406,1828279,5.76173
91820057_entry_00008_conf_01,-64.0139,-50.0139,-3.36915,-23.9896,-0.213194,-9.55963,-18.743,-2.78321,1640930,4.99053
90659182_entry_00009_conf_01,-64.9293,-48.9293,-3.60718,-24.7752,-0.246649,-10.131,-18.67,-2.95133,1653167,5.06111
90659182_entry_00010_conf_01,-63.4397,-47.4397,-3.52443,-24.2068,-0.24099,-9.89861,-18.1016,-2.88362,1635374,4.93436
76325328_entry_00011_conf_01,80.4227,98.4227,2.29779,24.5861,0.166688,10.2539,30.0889,2.23396,1708452,7.90124
76325328_entry_00012_conf_01,15.9058,33.9058,0.454451,4.86256,0.0329671,2.02798,10.3654,0.454451,1745048,7.98816
57376616_entry_00013_conf_01,-64.6807,-50.6807,-4.31205,-26.2267,-0.292395,-10.6948,-20.55,-3.59337,1128952,3.29055
57376616_entry_00014_conf_01,-63.2093,-51.2093,-4.21396,-25.6301,-0.285744,-10.4515,-20.7644,-3.16047,1024243,2.77326
57339292_entry_00015_conf_01,-69.2123,-49.2123,-3.46061,-25.498,-0.236034,-10.4179,-18.13,-2.76849,2424464,8.81682
57339292_entry_00016_conf_01,-65.467,-45.467,-3.27335,-24.1183,-0.223262,-9.85417,-16.7502,-2.61868,2397427,8.59115
57339290_entry_00017_conf_01,-65.6077,-45.6077,-2.85251,-23.0699,-0.195689,-9.44405,-16.0372,-2.42992,2743203,10.267
57339290_entry_00018_conf_01,-61.3335,-39.3335,-2.66667,-21.5669,-0.18294,-8.82879,-13.831,-2.27161,3027875,11.674
54758653_entry_00019_conf_01,-62.6031,-48.6031,-3.2949,-23.4609,-0.209254,-9.36027,-18.2143,-2.72187,1516815,4.61621
54758653_entry_00020_conf_01,-66.069,-52.069,-3.47732,-24.7598,-0.22084,-9.8785,-19.5132,-2.87257,1470233,4.53372
54758613_entry_00021_conf_01,-68.0337,-54.0337,-3.58072,-25.4961,-0.226581,-10.1599,-20.2495,-2.95799,1506241,4.56469
54758613_entry_00022_conf_01,-67.9554,-53.9554,-3.5766,-25.4667,-0.22632,-10.1482,-20.2201,-2.95458,1479028,4.55525
52948856_entry_00023_conf_01,-72.0929,-42.0929,-2.00258,-21.8336,-0.145459,-9.1098,-12.748,-1.84854,5022719,26.8798
52948856_entry_00024_conf_01,-76.495,-46.495,-2.12486,-23.1668,-0.154341,-9.66606,-14.0812,-1.91237,4990028,26.1642
52944904_entry_00025_conf_01,-75.4962,-47.4962,-2.15703,-23.08,-0.156763,-9.63158,-14.5201,-1.98674,4359164,22.2535
52944904_entry_00026_conf_01,-73.2431,-45.2431,-2.09266,-22.3912,-0.152403,-9.35067,-13.8313,-1.92745,4590470,23.2018
52944903_entry_00027_conf_01,-71.6654,-45.6654,-2.10781,-22.1216,-0.153272,-9.23338,-14.0959,-1.9369,4364133,21.589
52944903_entry_00028_conf_01,-84.1483,-58.1483,-2.47495,-25.9748,-0.179969,-10.8417,-17.9492,-2.27428,4669789,22.7935
51351654_entry_00029_conf_01,-61.105,-47.105,-3.81907,-24.2496,-0.236634,-9.59571,-18.6936,-3.05525,1243857,3.70383
51351654_entry_00030_conf_01,-70.7171,-56.7171,-4.41982,-28.0641,-0.273858,-11.1052,-22.5082,-3.36748,1298775,3.92817
49859685_entry_00031_conf_01,-59.2407,-43.2407,-3.11793,-22.2008,-0.198016,-8.85755,-16.2047,-2.69276,1608893,5.1468
49859685_entry_00032_conf_01,-57.1634,-41.1634,-3.0086,-21.4223,-0.191072,-8.54694,-15.4262,-2.72206,1671333,5.26512
49802606_entry_00033_conf_01,-71.9132,-55.9132,-3.99518,-27.44,-0.261326,-11.056,-21.3349,-3.12666,1511625,4.77118
49802606_entry_00034_conf_01,-60.9694,-44.9694,-3.38719,-23.2642,-0.221557,-9.37353,-17.159,-2.65084,1557456,4.84887
46174147_entry_00035_conf_01,-65.3402,-49.3402,-3.63001,-24.932,-0.247278,-10.1824,-18.8268,-2.84088,1587816,5.31174
46174147_entry_00036_conf_01,-69.5465,-55.5465,-3.8637,-26.537,-0.263197,-10.8379,-21.195,-3.02376,1444719,4.6893
45934204_entry_00037_conf_01,-61.6536,-43.6536,-3.08268,-22.7134,-0.210952,-9.29038,-16.0821,-2.5689,2204774,7.38514
45934204_entry_00038_conf_01,-62.2549,-44.2549,-3.11275,-22.9349,-0.213009,-9.38099,-16.3037,-2.59396,1984275,6.68462
45933887_entry_00039_conf_01,-71.9833,-59.9833,-5.99861,-31.4416,-0.399504,-12.7447,-26.2001,-4.23431,876588,2.35984
45933887_entry_00040_conf_01,-69.516,-57.516,-5.793,-30.3639,-0.387981,-12.3309,-25.1224,-3.862,885436,2.31396
45357367_entry_00041_conf_01,-70.9489,-56.9489,-3.9416,-27.0721,-0.267499,-11.0426,-21.7301,-3.08473,1320951,4.14846
45357367_entry_00042_conf_01,-71.0791,-57.0791,-3.94884,-27.1218,-0.266976,-11.0489,-21.7798,-3.0904,1277524,4.14792
45266822_entry_00043_conf_01,-70.2161,-48.2161,-2.80864,-24.0136,-0.181749,-9.64084,-16.4897,-2.42124,3317157,12.6266
45266822_entry_00044_conf_01,-73.6029,-51.6029,-2.94412,-25.1718,-0.190515,-10.1059,-17.6479,-2.53803,3390583,13.0384
45266741_entry_00045_conf_01,-71.4663,-59.4663,-5.95552,-31.2158,-0.398865,-12.6768,-25.9743,-4.2039,857374,2.3009
45266741_entry_00046_conf_01,-71.4182,-59.4182,-5.95151,-31.1948,-0.396367,-12.6446,-25.9533,-4.20107,842078,2.26644
44630437_entry_00047_conf_01,-76.2931,-62.2931,-4.76832,-30.2769,-0.324326,-12.359,-24.721,-3.63301,1332800,3.84788
44630437_entry_00048_conf_01,-70.7039,-56.7039,-4.419,-28.0589,-0.300566,-11.4536,-22.503,-3.36685,1214850,3.49685
44341508_entry_00049_conf_01,-67.4515,-49.4515,-2.49821,-22.4838,-0.178735,-9.33392,-16.4838,-2.17586,2228554,8.4233
44341508_entry_00050_conf_01,-67.9918,-49.9918,-2.51822,-22.6639,-0.180166,-9.40868,-16.6639,-2.19328,2314303,8.6967
44229083_entry_00051_conf_01,-66.6992,-50.6992,-3.51048,-24.9959,-0.222946,-9.97272,-18.9998,-2.89996,1821962,5.8877
44229083_entry_00052_conf_01,-63.1719,-47.1719,-3.32484,-23.6741,-0.211156,-9.44533,-17.678,-2.74661,1752502,5.65917
44119773_entry_00053_conf_01,-68.5252,-54.5252,-4.56835,-27.7856,-0.309774,-11.3305,-22.1089,-3.42626,1140270,3.33345
44119773_entry_00054_conf_01,-67.8865,-55.8865,-4.52577,-27.5266,-0.306887,-11.2249,-22.6609,-3.39433,1007703,2.80236
42612215_entry_00055_conf_01,-67.5002,-49.5002,-3.75001,-25.7561,-0.257406,-10.5457,-18.8879,-2.81251,1977305,6.74816
42612215_entry_00056_conf_01,-67.2898,-49.2898,-3.73832,-25.6759,-0.256604,-10.5129,-18.8076,-2.92564,1838699,6.21416
