Ligand,Affinity
Lig100,-5.2747612
Lig100,-5.00581741
Lig100,-4.80276346
Lig100,-4.78555202
Lig100,-4.7808733
Lig100,-4.76923513
Lig100,-4.74694347
Lig100,-4.57327175
Lig100,-4.53436804
Lig100,-4.49584436
Lig100,-4.28815031
Lig100,-4.17862558
Lig100,-4.02464867
Lig100,-4.01232195
Lig100,-3.96323323
Lig100,-3.95005965
Lig100,-3.91250587
Lig100,-3.90688848
Lig100,-3.87401962
Lig100,-3.83554649
Lig100,-3.83275557
Lig100,-3.8183856
Lig100,-3.70808053
Lig100,-3.65688944
Lig100,-3.64260435
Lig100,-3.62428761
Lig100,-3.54272413
Lig100,-3.51707649
Lig100,-3.51226354
Lig100,-3.46755862
Lig100,-3.45771837
Lig100,-3.43775725
Lig100,-3.41256642
Lig100,-3.36373091
Lig100,-3.35246658
Lig100,-3.3412528
Lig100,-3.32854223
Lig100,-3.31799459
Lig100,-3.28912234
Lig100,-3.28567004
Lig100,-3.26155496
Lig100,-3.23756504
Lig100,-3.20850968
Lig100,-3.17841148
Lig100,-3.17678738
Lig100,-3.16121244
Lig100,-3.15449834
Lig100,-3.12353206
Lig100,-3.12018228
Lig100,-3.00849533
Lig101,-6.04153728
Lig101,-5.78829193
Lig101,-5.45979929
Lig101,-5.36960649
Lig101,-5.20831108
Lig101,-5.0789032
Lig101,-4.97317505
Lig101,-4.80413818
Lig101,-4.75487947
Lig101,-4.72138166
Lig101,-4.67770958
Lig101,-4.60966921
Lig101,-4.59307051
Lig101,-4.55866003
Lig101,-4.55093718
Lig101,-4.53063011
Lig101,-4.52244997
Lig101,-4.40462065
Lig101,-4.39270449
Lig101,-4.38302898
Lig101,-4.36874485
Lig101,-4.33550787
Lig101,-4.32949018
Lig101,-4.23232365
Lig101,-4.17225885
Lig101,-4.12827492
Lig101,-4.11951733
Lig101,-4.07795095
Lig101,-4.06150341
Lig101,-4.01020908
Lig101,-4.00766563
Lig101,-4.00739765
Lig101,-4.00588274
Lig101,-3.97038937
