,Ligand,affinity_(kcal/mol),rmsd_lb,rmsd_ub
0,Lig100,-5.4,0.0,0.0
1,Lig100,-5.3,7.69,11.008
2,Lig100,-5.3,6.15,10.238
3,Lig100,-5.3,6.385,10.475
4,Lig100,-5.2,8.799,12.204
5,Lig100,-5.2,7.843999999999999,11.649000000000001
6,Lig100,-5.0,1.524,1.6569999999999998
7,Lig100,-5.0,7.902,11.315
8,Lig100,-4.9,6.475,8.999
9,Lig100,-4.9,3.429,5.561
10,Lig100,-4.8,6.836,9.96
11,Lig100,-4.7,1.7919999999999998,2.17
12,Lig100,-4.6,2.204,4.916
13,Lig100,-4.6,8.492,12.258
14,Lig100,-4.5,1.651,4.624
15,Lig100,-4.4,8.868,12.28
16,Lig100,-4.4,8.179,11.554
17,Lig100,-4.4,3.217,5.985
18,Lig100,-4.3,5.218999999999999,9.122
19,Lig101,-6.5,0.0,0.0
20,Lig101,-6.1,1.9469999999999998,2.705
21,Lig101,-6.1,5.252000000000001,8.941
22,Lig101,-6.1,1.261,4.081
23,Lig101,-5.9,4.467,7.136
24,Lig101,-5.9,6.121,9.103
25,Lig101,-5.8,4.0360000000000005,7.565
26,Lig101,-5.8,8.683,11.042
27,Lig101,-5.8,9.216000000000001,12.1
28,Lig101,-5.7,7.233,10.552999999999999
29,Lig101,-5.7,8.412,11.718
30,Lig101,-5.7,3.28,6.69
31,Lig101,-5.7,5.38,9.043
32,Lig101,-5.2,9.387,12.472000000000001
33,Lig101,-5.2,3.484,5.7
34,Lig101,-5.1,6.317,9.902000000000001
35,Lig101,-5.1,8.38,11.172
36,Lig101,-5.1,7.356,10.513
37,Lig101,-5.1,8.432,11.659
38,Lig101,-5.1,8.639,10.925999999999998
39,Lig102,-6.2,0.0,0.0
40,Lig102,-6.1,1.985,2.88
41,Lig102,-5.9,2.929,6.461
42,Lig102,-5.8,3.0210000000000004,5.419
43,Lig102,-5.8,7.531000000000001,10.195
44,Lig102,-5.8,2.891,4.4319999999999995
45,Lig102,-5.8,3.2539999999999996,6.742000000000001
46,Lig102,-5.7,3.1830000000000003,4.295
47,Lig102,-5.6,3.5669999999999997,5.7989999999999995
48,Lig102,-5.6,2.512,4.3839999999999995
49,Lig102,-5.6,5.979,9.305
50,Lig102,-5.6,2.12,5.935
51,Lig102,-5.6,2.315,4.737
52,Lig102,-5.5,2.524,5.706
53,Lig102,-5.3,2.523,4.251
54,Lig102,-5.3,3.6319999999999997,5.065
55,Lig102,-5.3,2.613,4.207
56,Lig102,-5.3,9.836,11.777000000000001
