Ligand,affinity_(kcal/mol),rmsd_lb,rmsd_ub
Lig100,-5.4,0.000,0.000
Lig100,-5.3,7.690,11.008
Lig100,-5.3,6.150,10.238
Lig100,-5.3,6.385,10.475
Lig100,-5.2,8.799,12.204
Lig100,-5.2,7.844,11.649
Lig100,-5.0,1.524,1.657
Lig100,-5.0,7.902,11.315
Lig100,-4.9,6.475,8.999
Lig100,-4.9,3.429,5.561
Lig100,-4.8,6.836,9.960
Lig100,-4.7,1.792,2.170
Lig100,-4.6,2.204,4.916
Lig100,-4.6,8.492,12.258
Lig100,-4.5,1.651,4.624
Lig100,-4.4,8.868,12.280
Lig100,-4.4,8.179,11.554
Lig100,-4.4,3.217,5.985
Lig100,-4.3,5.219,9.122
Lig101,-6.5,0.000,0.000
Lig101,-6.1,1.947,2.705
Lig101,-6.1,5.252,8.941
Lig101,-6.1,1.261,4.081
Lig101,-5.9,4.467,7.136
Lig101,-5.9,6.121,9.103
Lig101,-5.8,4.036,7.565
Lig101,-5.8,8.683,11.042
Lig101,-5.8,9.216,12.100
Lig101,-5.7,7.233,10.553
Lig101,-5.7,8.412,11.718
Lig101,-5.7,3.280,6.690
Lig101,-5.7,5.380,9.043
Lig101,-5.2,9.387,12.472
Lig101,-5.2,3.484,5.700
Lig101,-5.1,6.317,9.902
Lig101,-5.1,8.380,11.172
Lig101,-5.1,7.356,10.513
Lig101,-5.1,8.432,11.659
Lig101,-5.1,8.639,10.926
Lig102,-6.2,0.000,0.000
Lig102,-6.1,1.985,2.880
Lig102,-5.9,2.929,6.461
Lig102,-5.8,3.021,5.419
Lig102,-5.8,7.531,10.195
Lig102,-5.8,2.891,4.432
Lig102,-5.8,3.254,6.742
Lig102,-5.7,3.183,4.295
Lig102,-5.6,3.567,5.799
Lig102,-5.6,2.512,4.384
Lig102,-5.6,5.979,9.305
Lig102,-5.6,2.120,5.935
Lig102,-5.6,2.315,4.737
Lig102,-5.5,2.524,5.706
Lig102,-5.3,2.523,4.251
Lig102,-5.3,3.632,5.065
Lig102,-5.3,2.613,4.207
Lig102,-5.3,9.836,11.777
Lig102,-5.2,9.002,10.213
Lig102,-5.1,2.578,4.049
Lig103,-7.0,0.000,0.000
Lig103,-6.8,1.704,2.035
Lig103,-6.8,3.160,4.706
Lig103,-6.7,2.971,4.576
Lig103,-6.6,4.259,6.730
Lig103,-6.6,4.215,7.574
Lig103,-6.5,2.423,2.654
Lig103,-6.5,3.321,7.666
Lig103,-6.5,4.535,8.093
