REC _TITLE1 TOTAL INTER INTRA RESTR VDW
001 134695375 -3.608 -8.978 -2.170 0.000 -9.574
002 134695375 -5.660 -4.684 -2.725 0.000 -9.058
003 134695375 -8.611 -8.892 -1.458 0.000 -7.976
004 134695375 -10.933 -10.971 -3.103 0.000 -10.162
005 134695375 -12.201 -10.455 -4.893 0.000 -11.068
006 134695375 -9.009 -10.141 -2.751 0.000 -13.851
007 134695375 -10.502 -11.471 -2.346 0.082 -11.817
008 134695375 -9.395 -13.855 -2.124 0.000 -13.182
009 134695375 -14.154 -11.228 -4.668 0.000 -10.717
010 134695375 -11.241 -12.165 -2.214 0.000 -10.893
011 134695375 -7.094 -7.168 -3.180 0.003 -11.754
012 134695375 -15.991 -20.442 -3.270 0.184 -14.704
013 134695375 -9.970 -10.882 -2.823 0.000 -10.556
014 134695375 -9.015 -15.418 -2.638 0.000 -10.964
015 134695375 -6.776 -13.118 -2.755 0.000 -10.822
016 134695375 -8.491 -10.645 -2.946 0.000 -13.373
017 134695375 -10.379 -10.334 -3.638 0.000 -9.363
018 134695375 -10.395 -10.255 -3.375 0.000 -8.667
019 134695375 -15.002 -16.272 -2.543 0.000 -12.637
020 134695375 -15.615 -13.816 -3.534 0.000 -9.240
021 134695375 -14.283 -12.285 -3.742 0.000 -12.702
022 134695375 -12.130 -11.795 -3.928 0.000 -13.122
023 134695375 -8.803 -9.556 -3.137 0.000 -9.811
024 134695375 -13.406 -11.474 -4.326 0.000 -12.666
025 134695375 -11.121 -11.441 -2.858 0.000 -13.077
026 134695375 -10.983 -11.594 -2.642 0.000 -12.658
027 134695375 -13.101 -12.579 -3.119 0.000 -14.371
028 134695375 -19.356 -19.495 -1.648 0.035 -14.550
029 134695375 -13.919 -14.565 -2.721 0.000 -13.514
030 134695375 -10.569 -9.819 -4.644 0.000 -13.138
031 134695375 -7.252 -9.342 -1.802 0.000 -8.919
032 134695375 -7.565 -13.823 -2.825 0.000 -11.758
033 134695375 -15.879 -16.642 -2.369 0.000 -13.679
034 134695375 -10.728 -12.450 -2.161 0.000 -11.318
035 134695375 -13.068 -12.726 -2.078 0.000 -9.795
