_TITLE1 TOTAL INTER INTRA RESTR VDW
134695375 -27.599 -24.950 -1.526 0.000 -16.127
129878031 -28.773 -24.820 -3.802 0.000 -16.819
118707521 -25.541 -18.783 -5.793 0.000 -22.102
91820057 -18.605 -19.562 0.944 0.000 -16.376
90659182 -21.217 -20.570 -0.589 0.000 -14.229
76325328 -23.373 -25.037 1.879 0.000 -21.688
57376616 -22.776 -19.672 -3.907 0.000 -12.195
57339292 -20.641 -17.805 -2.898 0.000 -15.384
57339290 -17.965 -9.213 -9.484 0.000 -14.316
54758653 -19.456 -17.327 -1.742 0.000 -22.374
54758613 -25.103 -23.011 -0.987 0.000 -18.287
52948856 -15.409 -3.562 -11.669 0.000 -18.798
52944904 -16.877 -14.276 -3.301 0.000 -26.628
52944903 -23.969 -13.460 -9.482 0.000 -23.218
51351654 -25.791 -24.159 -1.635 0.000 -15.968
49859685 -23.030 -12.733 -11.018 0.000 -16.119
49802606 -26.100 -24.684 -1.418 0.000 -15.646
46174147 -18.548 -20.055 1.997 0.000 -16.743
45934204 -19.311 -8.989 -9.365 0.000 -14.458
45933887 -25.430 -24.953 -0.343 0.000 -11.804
45357367 -30.958 -31.496 0.968 0.000 -16.593
45266822 -17.368 -15.251 -1.089 0.000 -19.078
45266741 -32.857 -28.996 -2.872 0.000 -14.000
44630437 -27.755 -26.267 -0.451 0.000 -14.346
44341508 -22.323 -19.603 -2.478 0.000 -24.949
44229083 -21.326 -18.433 -1.763 0.000 -13.629
44119773 -26.884 -25.200 -0.583 0.000 -14.791
42612215 -27.189 -27.350 0.613 0.000 -14.740
25243963 -25.064 -22.744 -2.121 0.000 -17.928
25243937 -18.164 -6.811 -10.410 0.000 -10.586
24847493 -16.784 -14.672 -1.987 0.009 -15.605
24779679 -14.497 -11.698 -3.703 0.000 -13.555
22833605 -23.973 -18.052 -4.905 0.000 -15.249
16738680 -21.323 -15.949 -4.399 0.000 -15.092
12917651 -20.116 -16.254 -2.867 0.000 -13.518
12600646 -29.838 -28.270 -0.443 0.000 -18.758
12302999 -25.071 -22.456 -1.619 0.000 -13.984
11908605 -25.384 -22.833 -2.023 0.000 -11.732
11096158 -26.924 -26.896 0.198 0.000 -13.364
9816401 -21.057 -16.997 -3.659 0.000 -14.118
7067772 -32.580 -28.732 -4.297 0.000 -16.465
