REC _TITLE1 TOTAL INTER INTRA RESTR VDW
001 134695375 -23.142 -22.087 -1.550 0.000 -16.191
002 134695375 -26.565 -25.633 -1.509 0.000 -15.579
003 134695375 -23.334 -20.538 -2.254 0.000 -17.825
004 134695375 -18.272 -15.312 -3.552 0.000 -11.139
005 134695375 -23.508 -20.825 -2.459 0.000 -16.354
006 134695375 -18.525 -15.832 -2.685 0.000 -14.921
007 134695375 -24.261 -20.527 -2.752 0.000 -16.698
008 134695375 -23.021 -21.113 -2.525 0.000 -16.616
009 134695375 -18.215 -15.056 -3.000 0.000 -14.197
010 134695375 -16.842 -15.013 -1.759 0.000 -14.018
011 134695375 -21.371 -17.831 -3.237 0.000 -16.234
012 134695375 -21.150 -20.793 -0.348 0.000 -15.249
013 134695375 -22.517 -17.886 -5.161 0.000 -15.452
014 134695375 -22.127 -19.209 -1.876 0.000 -14.997
015 134695375 -13.780 -17.661 3.109 0.000 -12.451
016 134695375 -18.957 -15.183 -3.685 0.000 -8.294
017 134695375 -23.748 -20.976 -2.761 0.000 -16.556
018 134695375 -19.097 -17.998 -1.826 0.000 -15.984
019 134695375 -22.915 -17.199 -5.311 0.000 -16.723
020 134695375 -17.924 -14.167 -4.407 0.000 -13.864
021 134695375 -21.495 -19.844 -2.201 0.000 -16.278
022 134695375 -13.309 -11.293 -2.756 0.000 -15.201
023 134695375 -24.805 -21.052 -3.296 0.000 -15.847
024 134695375 -5.640 -5.233 -0.906 0.000 -10.680
025 134695375 -22.754 -18.150 -4.453 0.000 -16.305
026 134695375 -21.119 -18.063 -2.990 0.000 -16.270
027 134695375 -22.152 -18.337 -2.786 0.000 -16.911
028 134695375 -21.396 -17.369 -3.578 0.000 -15.486
029 134695375 -19.549 -17.956 -1.632 0.000 -16.507
030 134695375 -7.464 -4.722 -2.514 0.000 -7.610
031 134695375 -21.309 -17.956 -3.937 0.000 -16.365
032 134695375 -10.768 -8.938 -2.553 0.000 -10.366
