,q_2c,d_2c,f_2c,ECR,Molecule
5,0.04524187090179797,0.04093653765389909,0.0475614712250357,0.13373987978073276,6
2,0.0475614712250357,0.03894003915357024,0.033516002301781964,0.1200175126803879,3
138,0.03894003915357024,0.033516002301781964,0.03523440448593567,0.10769044594128788,139
35,0.03523440448593567,0.01933705117272506,0.026102288838050804,0.08067374449671152,36
129,0.008688697172522257,0.031881407581088664,0.03894003915357024,0.07951014390718117,130
24,0.007113703579325679,0.03032653298563167,0.04093653765389909,0.07837677421885644,25
141,0.011728514404689883,0.009134176202636733,0.04524187090179797,0.06610456150912458,142
139,0.03032653298563167,0.022466448205861078,0.008688697172522257,0.061481678364015004,140
47,0.031881407581088664,0.0003723291535462169,0.028847490519024334,0.06110122725365921,48
137,0.01664355418490398,0.0012995564389377673,0.04303539882125289,0.060978509445094635,138
122,0.017496887455557768,0.0370409110340859,0.0012361763235169694,0.05577397481316063,123
14,0.021370746597436336,8.30778636586967e-05,0.027440581804701318,0.04889440626579635,15
13,0.002142606343352009,0.04524187090179797,0.0012995564389377673,0.04868403368408775,14
79,0.0005283602191926328,0.0475614712250357,0.0001672982728735636,0.048257129717101895,80
12,0.0019387103915861005,0.04303539882125289,0.001509869171115925,0.04648397838395491,13
80,0.013626589651700629,0.027440581804701318,0.0037136789107166937,0.04478085036711864,81
10,0.04303539882125289,5.5688757392240165e-05,0.0001014715318147867,0.04319255911045991,11
17,0.027440581804701318,0.0002258290471306333,0.014325239843009504,0.041991650694841454,18
3,0.04093653765389909,0.00013697224093841843,2.3802206451113468e-05,0.04109731210128863,4
113,0.00017587583874560642,0.0017542177050422513,0.0370409110340859,0.03897100457787375,114
1,0.0074784309611317535,0.015831838468952662,0.015059710595610107,0.03836998002569452,2
51,0.0012995564389377673,0.03523440448593567,0.001668663498016304,0.03820262442288974,52
62,0.0370409110340859,0.00011214338597429017,0.0004780800965271752,0.03763113451658736,63
107,0.01933705117272506,0.009602495431037706,0.006436745179390212,0.03537629178315298,108
119,0.0004780800965271752,0.023618327637050733,0.011156508007421491,0.035252915740999397,120
0,0.033516002301781964,0.0004547638550847908,0.0008711187319746757,0.03484188488884143,1
117,0.005824207888674849,0.018393972058572117,0.009134176202636733,0.0333523561498837,118
11,0.0020381101989183107,0.028847490519024334,0.0014362319827119717,0.03232183270065462,12
87,3.377693875969222e-05,7.902610843681085e-05,0.031881407581088664,0.03199421062828517,88
74,0.015059710595610107,0.01664355418490398,6.154559513367405e-05,0.03176481037564776,75
116,0.0007882208242427243,0.026102288838050804,0.004535897664470626,0.031426407326764154,117
89,0.00024957969534551087,0.0004780800965271752,0.03032653298563167,0.031054192777504357,90
109,0.010612398691337153,0.0019387103915861005,0.018393972058572117,0.03094508114149537,110
63,0.028847490519024334,0.00020433857192320333,0.0011758872928004553,0.03022771638374799,64
131,0.0067667641618306355,0.013626589651700629,0.009602495431037706,0.029995849244568974,132
105,0.0014362319827119717,0.024829265189570477,0.0018441583700620008,0.028109655542344448,106
27,0.026102288838050804,0.001668663498016304,0.00023740754997057388,0.02800835988603768,28
42,0.022466448205861078,0.004314679324968524,0.0010639868219188583,0.027845114352748463,43
40,0.023618327637050733,0.0024893534183931974,0.0007497788410238852,0.026857459896467817,41
81,0.00353256065302148,0.020328482987029956,0.0027511610028203614,0.026612204642871798,82
