,q_3n,d_3n,f_3n,ECR,Molecule
5,0.04524187090179797,0.04524187090179797,0.04093653765389909,0.13142027945749504,6
2,0.0475614712250357,0.04093653765389909,0.03523440448593567,0.12373241336487045,3
51,0.001668663498016304,0.04303539882125289,0.0475614712250357,0.09226553354430489,52
79,0.00225246011967789,0.03894003915357024,0.03894003915357024,0.08013253842681838,80
12,0.0037136789107166937,0.0475614712250357,0.024829265189570477,0.07610441532532287,13
138,0.03523440448593567,0.01009482589973277,0.027440581804701318,0.07276981219036976,139
139,0.03032653298563167,0.015059710595610107,0.023618327637050733,0.06900457121829251,140
24,0.005824207888674849,0.021370746597436336,0.0370409110340859,0.06423586552019708,25
47,0.0370409110340859,0.024829265189570477,0.0005839283485197721,0.06245410457217614,48
57,0.04303539882125289,3.924320406554658e-05,0.018393972058572117,0.06146861408389055,58
13,0.0012995564389377673,0.03523440448593567,0.022466448205861078,0.05900040913073452,14
122,0.021370746597436336,0.033516002301781964,3.0562638056478614e-05,0.05491731153727478,123
11,0.001366186122364628,0.031881407581088664,0.021370746597436336,0.054618340300889634,12
52,0.013626589651700629,0.0370409110340859,0.000962735088769346,0.051630235774555874,53
40,0.024829265189570477,0.023618327637050733,0.0010639868219188583,0.04951157964854007,41
136,0.006122821412649095,0.00026237591995906923,0.04303539882125289,0.04942059615386105,137
0,0.027440581804701318,0.020328482987029956,0.0003204666723128192,0.0480895314640441,1
113,0.00014399495790441214,0.001587281818903397,0.04524187090179797,0.04697314767860578,114
42,0.023618327637050733,0.011156508007421491,0.011728514404689883,0.046503350049162104,43
141,0.014325239843009504,0.0001066740885018854,0.03032653298563167,0.04475844691714306,142
22,0.012962013032294575,0.01664355418490398,0.013626589651700629,0.04323215686889918,23
3,0.04093653765389909,0.0007882208242427243,4.793175768470099e-05,0.04177269023582651,4
62,0.03894003915357024,0.00033689734995427336,2.1537127028784376e-05,0.039298473630553304,63
110,0.008688697172522257,0.0005025917872316793,0.028847490519024334,0.03803877947877827,111
20,0.028847490519024334,0.00786185831568138,0.0001302920259204249,0.03683964086062613,21
135,0.0011758872928004553,0.0008711187319746757,0.033516002301781964,0.035563008326557094,136
109,0.009134176202636733,8.30778636586967e-05,0.026102288838050804,0.03531954290434623,110
23,0.0004547638550847908,0.03032653298563167,0.004535897664470626,0.03531719450518709,24
107,0.031881407581088664,0.0031963930603353787,0.00011789310032451164,0.03519569374174856,108
145,0.0006138669951534218,0.0023679462195570463,0.031881407581088664,0.034863220795799135,146
80,0.010612398691337153,0.022466448205861078,0.001668663498016304,0.03474751039521453,81
63,0.033516002301781964,0.00019437286217380653,3.2129618017777894e-05,0.03374250478197355,64
89,0.00027582822103803856,0.028847490519024334,0.0009157819444367089,0.03003910068449908,90
14,0.01933705117272506,0.008688697172522257,0.0018441583700620008,0.02986990671530932,15
17,0.026102288838050804,9.652270681138547e-05,0.003040503131260899,0.029239314676123087,18
120,0.018393972058572117,0.008264944411079327,0.002142606343352009,0.028801522813003452,121
87,3.5508719442127454e-05,0.026102288838050804,0.002616985297421619,0.02875478285491455,88
56,8.733735681305598e-05,0.027440581804701318,0.0005283602191926328,0.028056279380707004,57
73,0.020328482987029956,0.0074784309611317535,2.6305506355803187e-05,0.027833219454517513,74
35,0.0039040833000576584,0.01933705117272506,0.0039040833000576584,0.027145217772840378,36
54,0.006436745179390212,0.001668663498016304,0.017496887455557768,0.025602296132964282,55
1,0.007113703579325679,0.010612398691337153,0.007113703579325679,0.024839805849988513,2
43,0.017496887455557768,0.007113703579325679,7.902610843681085e-05,0.02468961714332026,44
137,0.022466448205861078,0.0010120955722902195,9.652270681138547e-05,0.023575066484962683,138
59,6.80184018773947e-05,0.005540157918116693,0.01664355418490398,0.022251730504898065,60
25,0.0005025917872316793,6.154559513367405e-05,0.020328482987029956,0.02089262036939531,26
104,0.008264944411079327,0.006436745179390212,0.006122821412649095,0.020824511003118634,105
103,0.011728514404689883,0.0067667641618306355,0.001509869171115925,0.020005147737636442,104
28,0.0004780800965271752,0.011728514404689883,0.0074784309611317535,0.019685025462348814,29
46,0.0001066740885018854,0.00011789310032451164,0.01933705117272506,0.01956161836155146,47
74,0.015059710595610107,0.004314679324968524,0.00011214338597429017,0.019486533306552922,75
117,0.005012942186140188,0.014325239843009504,5.297278464538051e-05,0.019391154813795074,118
91,3.2129618017777894e-05,0.018393972058572117,0.0007882208242427243,0.01921432250083262,92
19,0.01664355418490398,0.00021481523453761698,0.0019387103915861005,0.018797079811027698,20
58,7.517195964887862e-05,0.013626589651700629,0.004768458110777481,0.018470219722126986,59
97,0.0007132116954499628,0.017496887455557768,2.765421850739168e-05,0.018237753369515122,98
66,5.038927145242552e-05,0.005824207888674849,0.012329848197080325,0.0182044453572076,67
27,0.015831838468952662,0.000962735088769346,0.00111853859280828,0.017913112150530288,28
81,0.004314679324968524,0.012962013032294575,5.5688757392240165e-05,0.017332381114655338,82
53,0.0010639868219188583,0.00039141887746128867,0.015831838468952662,0.01728724416833281,54
10,0.012329848197080325,0.0002899702363421071,0.004314679324968524,0.016934497758390957,11
21,0.0005554498269121153,0.015831838468952662,2.9072080609687777e-05,0.016416360376474464,22
100,0.00015913903982548333,0.0014362319827119717,0.014325239843009504,0.01592061086554696,101
67,4.559409827772581e-05,0.002892216043741923,0.012962013032294575,0.015899823174314223,68
36,0.00023740754997057388,0.0003048373282757819,0.015059710595610107,0.015601955473856462,37
9,0.0018441583700620008,0.003040503131260899,0.010612398691337153,0.015497060192660053,10
119,0.0005283602191926328,0.012329848197080325,3.5508719442127454e-05,0.012893717135715086,120
131,0.00786185831568138,0.002616985297421619,0.00225246011967789,0.01273130373278089,132
15,0.001509869171115925,5.5688757392240165e-05,0.011156508007421491,0.012722065935929656,16
129,0.0067667641618306355,0.005269961228093216,0.0004547638550847908,0.012491489245008643,130
68,0.0017542177050422513,0.001509869171115925,0.009134176202636733,0.01239826307879491,69
8,0.011156508007421491,0.0006138669951534218,0.00021481523453761698,0.01198519023711253,9
76,0.009602495431037706,0.0019387103915861005,8.30778636586967e-05,0.011624283686282504,77
49,0.01009482589973277,0.0009157819444367089,0.00015913903982548333,0.011169746883994962,50
48,0.00353256065302148,0.0006784279506100467,0.0067667641618306355,0.010977752765462163,49
70,0.005269961228093216,0.005012942186140188,0.00039141887746128867,0.010674322291694693,71
125,0.0074784309611317535,0.0006453406290239936,0.0023679462195570463,0.010491717809712794,126
116,0.0006784279506100467,0.009602495431037706,4.3370447865350125e-05,0.010324293829513102,117
143,0.0001848931858241466,2.502257167203054e-05,0.01009482589973277,0.010304741657228946,144
111,0.000962735088769346,0.009134176202636733,4.125524616329523e-05,0.010138166537569373,112
38,0.00017587583874560642,5.8543981039558724e-05,0.009602495431037706,0.009836915250822871,39
92,9.181523885144535e-05,0.0005554498269121153,0.008688697172522257,0.009335962238285818,93
95,0.0007497788410238852,0.0003204666723128192,0.008264944411079327,0.00933518992441603,96
26,0.00041148735245100153,0.0039040833000576584,0.005012942186140188,0.009328512838648849,27
128,0.0024893534183931974,0.00015137773726879076,0.006436745179390212,0.009077476335052199,129
90,0.0008711187319746757,0.0001672982728735636,0.00786185831568138,0.00890027532052962,91
86,0.002892216043741923,0.0027511610028203614,0.0031963930603353787,0.008839770106897663,87
105,0.001587281818903397,0.0012361763235169694,0.005824207888674849,0.008647666031095215,106
6,0.0027511610028203614,7.902610843681085e-05,0.005540157918116693,0.008370345029373866,7
118,0.0008286337700880627,0.006122821412649095,0.0006453406290239936,0.007596795811761151,119
85,3.924320406554658e-05,0.0020381101989183107,0.005269961228093216,0.007347314631077073,86
