"ECR","Index","Molecule"
"0.109585154534019","3","118707521"
"0.0979172051475202","6","76325328"
"0.074005672452017","11","54758613"
"0.0724520203079591","4","91820057"
"0.0687506578428166","139","ZINC000257347638"
"0.0675363225099268","63","440271"
"0.0663460395106793","36","12600646"
"0.0629913185963106","1","134695375"
"0.0626693029245443","48","5284365"
"0.0622081215915549","140","ZINC000257347639"
"0.0591128931831972","64","440235"
"0.0530496211371537","18","46174147"
"0.0526628308044291","28","42612215"
"0.0511910103991344","58","446101"
"0.0464991779285494","41","7067772"
"0.0453286089440921","43","6713972"
"0.0450695477565888","15","51351654"
"0.044977694613017","21","45357367"
"0.0433950328141207","108","ZINC000019893747"
"0.0406548194289939","9","57339290"
"0.04033091028167","123","ZINC000101361998"
"0.0391424551741788","138","ZINC000257346903"
"0.0389620217721384","74","198515"
"0.035254452427597","75","198514"
"0.0334959578755161","104","ZINC000015205840"
"0.031927749173058","81","112106"
"0.0318838474234875","96","739"
"0.0299300278840175","23","45266741"
"0.028273864091914","142","ZINC000307565252"
"0.0276164941917307","50","3052142"
"0.0238685696091273","110","ZINC000032106887"
"0.0216413508212128","105","ZINC000015205946"
"0.0215971779586415","111","ZINC000032106889"
"0.0214574163926557","32","24779679"
"0.0212255060271545","130","ZINC000106382957"
"0.0193617878286401","77","129618"
"0.0193374987776381","115","ZINC000082114392"
"0.0177750282799289","2","129878031"
"0.0160845623618899","25","44341508"
"0.0159680721092021","132","ZINC000106384102"
"0.0158219876641631","76","193108"
"0.0151664409147993","137","ZINC000257346492"
"0.0151375479516492","118","ZINC000100815672"
"0.014211249303444","31","24847493"
"0.0141297730345882","17","49802606"
"0.013655757796971","71","312829"
"0.0129720191507","5","90659182"
"0.0123463617604548","78","127132"
"0.0119065744124716","131","ZINC000106382965"
"0.0119031138479074","126","ZINC000102974493"
"0.0117546172238661","129","ZINC000106382931"
"0.0117325141800023","91","24154"
"0.0112546885741238","82","102416"
"0.0112426548513017","16","49859685"
"0.0112311287380464","87","82398"
"0.011186029669522","8","57339292"
"0.0111653256033614","83","99461"
"0.0111043324261258","10","54758653"
"0.0106619630509207","7","57376616"
"0.0105665213305218","103","ZINC000015205814"
"0.010481005639899","85","90220"
"0.0104752262831471","20","45933887"
"0.0101392517005434","14","52944903"
"0.00964209942463366","12","52948856"
"0.00963324106447169","13","52944904"
"0.00954933696638272","27","44119773"
"0.00913745656420153","93","18897"
"0.00887079530726032","30","25243937"
"0.008555653050587","121","ZINC000101136391"
"0.00848669712591506","116","ZINC000100342293"
"0.00847755267010828","106","ZINC000015205949"
"0.00747977531366302","112","ZINC000044021353"
"0.00715651158674497","52","2733787"
"0.00678554978393992","154","ZINC000616589990"
"0.00676697378815495","136","ZINC000257346145"
"0.00660087250848975","49","4282259"
"0.00650532565219715","109","ZINC000019898298"
"0.00598708336345754","119","ZINC000101073479"
"0.00568612535376717","44","6420074"
"0.00500138302620954","51","2801971"
"0.00483983337635078","79","122253"
"0.00436936724820297","98","ZINC000003956714"
"0.00414907606519049","117","ZINC000100656214"
"0.004005634585868","55","449462"
"0.00395364987348959","19","45934204"
"0.0039225508978771","107","ZINC000015205956"
"0.00390431643786494","146","ZINC000575124622"
"0.00387741325339872","26","44229083"
"0.00376050538752392","102","ZINC000013545464"
"0.00363225184493523","53","2733335"
"0.00362743358304849","80","118328"
"0.00358053296388405","155","ZINC000616591357"
"0.00349814360186607","120","ZINC000101135603"
"0.00307516806830461","22","45266822"
"0.00286368387483599","29","25243963"
"0.00244024340083349","24","44630437"
"0.00191457738928104","97","ZINC000001471333"
"0.00141612905604099","94","5300"
"0.00119277082915005","54","644170"
"0.00117596519828022","148","ZINC000616582453"
"0.00106408019311181","135","ZINC000252694384"
"0.00101226481499758","152","ZINC000616583702"
"0.000992660059747523","33","22833605"
"0.000909543751752159","34","16738680"
"0.000898506750817787","35","12917651"
"0.000835247918891027","90","29327"
"0.00074299172856947","37","12302999"
"0.00073896739391528","99","ZINC000004027857"
"0.000671208777235048","100","ZINC000004027859"
"0.000643786712538897","144","ZINC000394934764"
"0.000610328329609219","101","ZINC000012364260"
"0.00060015115928067","38","11908605"
"0.000553505028617826","114","ZINC000077269504"
"0.000550397170856949","40","9816401"
"0.000545404994421708","39","11096158"
"0.000508979755605904","153","ZINC000616583781"
"0.000489845284183452","151","ZINC000616582904"
"0.000413724501003346","147","ZINC000575124647"
"0.000411562321831283","143","ZINC000383920275"
"0.000405963925148834","42","6971258"
"0.000378014841888419","149","ZINC000616582683"
"0.000346478167883341","46","5462244"
"0.000337040467308982","45","6323218"
"0.000237830913281287","47","5317448"
"0.000227009854271436","73","202260"
"0.000224876467798937","57","447448"
"0.000131339637054485","128","ZINC000106381125"
"0.000108356201081781","56","448882"
"0.000103534930840144","61","441038"
"9.80493394236111e-05","70","408523"
"8.37900777771276e-05","124","ZINC000102205030"
"7.94772006798552e-05","59","445621"
"7.72715422597266e-05","60","441477"
"7.18258395097713e-05","62","440552"
"6.55873535801303e-05","150","ZINC000616582813"
"6.15943997378663e-05","66","439281"
"5.73956955542591e-05","65","440049"
"4.65600619859608e-05","69","433580"
"4.59848893471241e-05","67","439213"
"4.59766362864365e-05","68","439174"
"4.45492747262579e-05","122","ZINC000101178654"
"3.83292748086934e-05","72","254124"
"1.46267912814479e-05","84","96523"
"1.29202394460371e-05","86","84265"
