,Label,Molecule,ECR,Molecule_primera,Molecule_segunda,Molecule_tercera
12,52944904,13,0.17057901583823312,39,38,37
5,76325328,6,0.1507280729155744,18,17,16
51,2733787,52,0.14205812191917913,156,155,154
2,118707521,3,0.13015403125455183,9,8,7
79,118328,80,0.12107231633540227,240,239,238
52,2733335,53,0.11593330377061035,159,158,157
13,52944903,14,0.11570609632017395,42,41,40
122,ZINC000101361998,123,0.10044724489500766,369,368,367
11,52948856,12,0.09855521602561437,36,35,34
23,44630437,24,0.09809720910405025,72,71,70
89,29327,90,0.09652656404782242,270,269,268
56,447448,57,0.09007123645424275,171,170,169
87,82313,88,0.0891889810075216,264,263,262
47,5284365,48,0.08628811848047109,144,143,142
40,7067772,41,0.08598858978470261,123,122,121
80,112106,81,0.08569620732172784,243,242,241
24,44341508,25,0.08274078457699491,75,74,73
0,134695375,1,0.08165719986052118,3,2,1
35,12600646,36,0.0809972052138408,108,107,106
91,24139,92,0.07591945885142874,276,275,274
97,ZINC000003956714,98,0.07103607528082581,294,293,292
22,45266741,23,0.0698959910641153,69,68,67
21,45266822,22,0.06590389030751882,66,65,64
139,ZINC000257347639,140,0.059083141196639814,420,419,418
117,ZINC000100815672,118,0.05885918498847313,354,353,352
58,445621,59,0.05809015865619143,177,176,175
81,102416,82,0.05707530761533391,246,245,244
119,ZINC000101135603,120,0.05376934565024471,360,359,358
28,25243963,29,0.052200463669099396,87,86,85
42,6713972,43,0.05050004512997152,129,128,127
1,129878031,2,0.05015356970666745,6,5,4
138,ZINC000257347638,139,0.049214450078759645,417,416,415
116,ZINC000100656214,117,0.048299680714895286,351,350,349
111,ZINC000044021353,112,0.045257036693247876,336,335,334
14,51351654,15,0.0448055205686366,45,44,43
120,ZINC000101136391,121,0.044453131640643066,363,362,361
20,45357367,21,0.043799522725741405,63,62,61
73,198515,74,0.04362603806936755,222,221,220
43,6420074,44,0.041351341198118355,132,131,130
103,ZINC000015205840,104,0.040960001186192856,312,311,310
104,ZINC000015205946,105,0.040646747394771296,315,314,313
118,ZINC000101073479,119,0.03897585083938171,357,356,355
66,439213,67,0.037901424252382826,201,200,199
59,441477,60,0.0375024519342582,180,179,178
129,ZINC000106382957,130,0.037441277601898235,390,389,388
70,312829,71,0.03738626390899962,213,212,211
7,57339292,8,0.03728149908422042,24,23,22
