,Time,Number of contacts
0,0.0,6.0
1,50.0,10.0
2,100.0,3.0
3,150.0,2.0
4,200.0,7.0
5,250.0,2.0
6,300.0,8.0
7,350.0,2.0
8,400.0,4.0
9,450.0,1.0
10,500.0,4.0
11,550.0,4.0
12,600.0,2.0
13,650.0,4.0
14,700.0,5.0
15,750.0,9.0
16,800.0,5.0
17,850.0,3.0
18,900.0,4.0
19,950.0,1.0
20,1000.0,10.0
21,1050.0,13.0
22,1100.0,13.0
23,1150.0,9.0
24,1200.0,3.0
25,1250.0,6.0
26,1300.0,7.0
27,1350.0,0.0
28,1400.0,5.0
29,1450.0,8.0
30,1500.0,0.0
31,1550.0,4.0
32,1600.0,13.0
33,1650.0,6.0
34,1700.0,4.0
35,1750.0,1.0
36,1800.0,6.0
37,1850.0,4.0
38,1900.0,3.0
39,1950.0,2.0
40,2000.0,3.0
41,2050.0,5.0
42,2100.0,5.0
43,2150.0,5.0
44,2200.0,0.0
45,2250.0,0.0
46,2300.0,3.0
47,2350.0,0.0
48,2400.0,0.0
49,2450.0,8.0
50,2500.0,2.0
51,2550.0,3.0
52,2600.0,0.0
53,2650.0,0.0
54,2700.0,0.0
55,2750.0,0.0
56,2800.0,1.0
57,2850.0,1.0
58,2900.0,0.0
59,2950.0,8.0
60,3000.0,8.0
61,3050.0,3.0
62,3100.0,5.0
63,3150.0,17.0
64,3200.0,7.0
65,3250.0,5.0
66,3300.0,7.0
67,3350.0,4.0
68,3400.0,0.0
69,3450.0,10.0
70,3500.0,4.0
71,3550.0,9.0
72,3600.0,4.0
73,3650.0,5.0
74,3700.0,12.0
75,3750.0,9.0
76,3800.0,9.0
77,3850.0,4.0
78,3900.0,13.0
79,3950.0,4.0
80,4000.0,7.0
81,4050.0,7.0
82,4100.0,3.0
83,4150.0,3.0
84,4200.0,3.0
85,4250.0,2.0
86,4300.0,0.0
87,4350.0,3.0
88,4400.0,3.0
89,4450.0,5.0
90,4500.0,4.0
91,4550.0,7.0
92,4600.0,9.0
93,4650.0,19.0
94,4700.0,8.0
95,4750.0,4.0
96,4800.0,9.0
97,4850.0,6.0
98,4900.0,10.0
99,4950.0,9.0
100,5000.0,13.0
101,5050.0,14.0
102,5100.0,8.0
103,5150.0,11.0
104,5200.0,8.0
105,5250.0,6.0
106,5300.0,5.0
107,5350.0,7.0
108,5400.0,14.0
109,5450.0,8.0
110,5500.0,9.0
111,5550.0,9.0
112,5600.0,13.0
113,5650.0,5.0
114,5700.0,7.0
115,5750.0,6.0
116,5800.0,2.0
117,5850.0,0.0
118,5900.0,3.0
119,5950.0,1.0
120,6000.0,0.0
121,6050.0,0.0
122,6100.0,0.0
123,6150.0,0.0
124,6200.0,0.0
125,6250.0,0.0
126,6300.0,0.0
127,6350.0,0.0
128,6400.0,0.0
129,6450.0,0.0
130,6500.0,0.0
131,6550.0,0.0
132,6600.0,0.0
133,6650.0,0.0
134,6700.0,0.0
135,6750.0,0.0
136,6800.0,0.0
137,6850.0,0.0
138,6900.0,0.0
139,6950.0,0.0
140,7000.0,0.0
141,7050.0,0.0
142,7100.0,0.0
143,7150.0,0.0
144,7200.0,0.0
145,7250.0,0.0
146,7300.0,0.0
147,7350.0,0.0
148,7400.0,0.0
149,7450.0,0.0
150,7500.0,0.0
151,7550.0,0.0
152,7600.0,0.0
153,7650.0,0.0
154,7700.0,0.0
155,7750.0,0.0
156,7800.0,0.0
157,7850.0,0.0
158,7900.0,0.0
159,7950.0,0.0
160,8000.0,0.0
161,8050.0,0.0
162,8100.0,0.0
163,8150.0,0.0
164,8200.0,0.0
165,8250.0,0.0
166,8300.0,0.0
167,8350.0,0.0
168,8400.0,0.0
169,8450.0,0.0
170,8500.0,0.0
171,8550.0,0.0
172,8600.0,0.0
173,8650.0,0.0
174,8700.0,0.0
175,8750.0,0.0
176,8800.0,0.0
177,8850.0,0.0
178,8900.0,0.0
179,8950.0,0.0
180,9000.0,0.0
181,9050.0,0.0
182,9100.0,0.0
183,9150.0,0.0
184,9200.0,0.0
185,9250.0,0.0
186,9300.0,0.0
187,9350.0,0.0
188,9400.0,0.0
189,9450.0,0.0
190,9500.0,0.0
191,9550.0,0.0
192,9600.0,0.0
193,9650.0,0.0
194,9700.0,0.0
195,9750.0,0.0
196,9800.0,0.0
197,9850.0,0.0
198,9900.0,0.0
199,9950.0,0.0
200,10000.0,0.0
201,10050.0,0.0
202,10100.0,0.0
203,10150.0,0.0
204,10200.0,0.0
205,10250.0,0.0
206,10300.0,0.0
207,10350.0,0.0
208,10400.0,0.0
209,10450.0,0.0
210,10500.0,0.0
211,10550.0,0.0
212,10600.0,0.0
213,10650.0,0.0
214,10700.0,0.0
215,10750.0,0.0
216,10800.0,0.0
217,10850.0,0.0
218,10900.0,0.0
219,10950.0,0.0
220,11000.0,0.0
221,11050.0,0.0
222,11100.0,0.0
223,11150.0,0.0
224,11200.0,0.0
225,11250.0,0.0
226,11300.0,0.0
227,11350.0,0.0
228,11400.0,0.0
229,11450.0,0.0
230,11500.0,0.0
231,11550.0,0.0
232,11600.0,0.0
233,11650.0,0.0
234,11700.0,0.0
235,11750.0,0.0
236,11800.0,0.0
237,11850.0,0.0
238,11900.0,0.0
239,11950.0,0.0
240,12000.0,0.0
241,12050.0,0.0
242,12100.0,0.0
243,12150.0,0.0
244,12200.0,0.0
245,12250.0,0.0
246,12300.0,0.0
247,12350.0,0.0
248,12400.0,0.0
249,12450.0,0.0
250,12500.0,0.0
251,12550.0,0.0
252,12600.0,0.0
253,12650.0,0.0
254,12700.0,0.0
255,12750.0,0.0
256,12800.0,0.0
257,12850.0,0.0
258,12900.0,0.0
259,12950.0,0.0
260,13000.0,0.0
261,13050.0,0.0
262,13100.0,0.0
263,13150.0,0.0
264,13200.0,0.0
265,13250.0,0.0
266,13300.0,0.0
267,13350.0,0.0
268,13400.0,0.0
269,13450.0,0.0
270,13500.0,0.0
271,13550.0,0.0
272,13600.0,0.0
273,13650.0,0.0
274,13700.0,0.0
275,13750.0,0.0
276,13800.0,0.0
277,13850.0,0.0
278,13900.0,0.0
279,13950.0,0.0
280,14000.0,0.0
281,14050.0,0.0
282,14100.0,0.0
283,14150.0,0.0
284,14200.0,0.0
285,14250.0,0.0
286,14300.0,0.0
287,14350.0,0.0
288,14400.0,0.0
289,14450.0,0.0
290,14500.0,0.0
291,14550.0,0.0
292,14600.0,0.0
293,14650.0,0.0
294,14700.0,0.0
295,14750.0,0.0
296,14800.0,0.0
297,14850.0,0.0
298,14900.0,0.0
299,14950.0,0.0
300,15000.0,0.0
301,15050.0,0.0
302,15100.0,0.0
303,15150.0,0.0
304,15200.0,0.0
305,15250.0,0.0
306,15300.0,0.0
307,15350.0,0.0
308,15400.0,0.0
309,15450.0,0.0
310,15500.0,0.0
311,15550.0,0.0
312,15600.0,0.0
313,15650.0,0.0
314,15700.0,0.0
315,15750.0,0.0
316,15800.0,0.0
317,15850.0,0.0
