,Enthalpy (dH),Interaction entropy (-TdS),Total free energy (dG)
0,-56.06453480000539,0.0,-56.06453480000539
1,-43.07256103999656,4.08613237563154,-38.986428664365015
2,-43.417917599997764,13.414443782199902,-30.00347381779786
3,-46.17257200000182,18.73181205344883,-27.44075994655299
4,-44.32877456000466,18.594373802620876,-25.734400757383785
5,-52.055153520010705,18.482078467752196,-33.57307505225851
6,-50.26350935999629,18.387134114951394,-31.876375245044898
7,-46.5742335200098,18.304889575611494,-28.269343944398305
8,-41.03669904000776,18.264266207364553,-22.772432832643208
9,-44.31762391999165,18.199376473392295,-26.11824744659935
10,-52.9443295999919,18.140673110247935,-34.80365648974397
11,-47.014504639996275,18.087081138523615,-28.92742350147266
12,-49.63326495999735,18.037781303579678,-31.59548365641767
13,-46.126495279996945,17.992136785752063,-28.134358494244882
14,-43.24748927999943,17.949642756283378,-25.29784652371605
15,-44.30037128000967,17.909893507351526,-26.390477772658144
16,-41.43818551999426,17.87255364294999,-23.565631877044275
17,-44.32613111999447,17.837348682354058,-26.488782437640413
18,-47.85580727999158,17.804047646400168,-30.051759633591413
19,-40.41702096000594,17.77245512508208,-22.644565834923863
20,-49.445071919992444,17.7424043295533,-31.702667590439145
21,-46.95115240000686,17.713751761938433,-29.23740063806843
22,-41.875865599996146,17.686373070953273,-24.189492529042873
23,-45.89087119999505,17.66015979021419,-28.230711409780856
24,-50.25481335999571,17.63501674281338,-32.61979661718233
25,-47.28835936000304,17.610859955241008,-29.677499404762035
26,-47.79059127999429,17.587614965216723,-30.202976314777565
27,-41.90588807999944,17.56521543741339,-24.340672642586053
28,-49.5473178400066,17.543602027377215,-32.00371581262938
29,-49.750111039996625,17.5227214131211,-32.22738962687552
30,-43.56901063999946,17.502525533934122,-26.06648510606534
31,-44.67575752000407,17.48297359918331,-27.19278392082076
32,-41.27202439999937,17.46402074720261,-23.808003652796756
33,-36.96522632001148,20.37617677980775,-16.58904954020373
34,-39.91481743999722,20.358322801279698,-19.556494638717524
35,-44.207639760002024,20.340971835024185,-23.86666792497784
36,-51.589009840014896,20.324096282645097,-31.2649135573698
37,-46.5313201599907,20.307670799070294,-26.223649360920405
38,-51.28020551999414,20.291672000051,-30.98853351994314
39,-44.244175520003765,20.276078277752163,-23.968097242251602
40,-41.88693864001303,20.260869625257207,-21.62606901475582
41,-48.262950240009545,20.24602748222338,-28.016922757786165
42,-46.94508471999477,20.231534598700613,-26.713550121294155
43,-46.62151592000619,20.217374914607802,-26.404141005398387
44,-38.662565359998524,20.203533452754694,-18.45903190724383
45,-50.01288679999689,20.189996223622646,-29.822890576374245
46,-43.4810486399934,20.1767901925866,-23.304258447406802
47,-41.009438720003246,20.16382299508367,-20.845615724919575
48,-46.379489600000284,20.151123181624175,-26.22836641837611
49,-42.98193616000661,20.13867994768427,-22.84325621232234
50,-41.925192159991425,20.126483130688584,-21.79870902930284
51,-43.249525679996125,20.11452316011695,-23.135002519879176
52,-39.88032184000808,20.1027910124278,-19.77753082758028
53,-44.26985496000107,20.09127817010181,-24.17857678989926
54,-44.83450672000167,20.079976584554114,-24.754530135447556
55,-43.4276068000063,20.068878642300476,-23.358728157705826
56,-38.51056087998781,20.05797765314596,-18.452583226841845
57,-45.76810575999559,20.047265770303444,-25.72083998969215
58,-42.14094976000533,20.126404100604866,-22.01454565940046
59,-42.02330504000655,20.11613314527787,-21.907171894728677
60,-39.58988647999848,20.105952561193394,-19.48393391880509
61,-48.58680575999158,20.09593739530438,-28.4908683646872
62,-50.72757239999868,20.086082478962574,-30.641489921036104
63,-49.99366280000089,20.076382764620142,-29.91728003538075
64,-31.057121679999142,20.066833461395,-10.990288218604142
65,-37.02295736000154,22.762250502989207,-14.260706857012334
66,-51.07502495999704,22.752988386626996,-28.322036573370042
67,-49.6155334400007,22.74386349186082,-26.871669948139882
68,-48.86721704000439,22.73487181200405,-26.13234522800034
69,-42.86814719999225,22.72600951333441,-20.14213768665784
70,-49.06479327999564,22.71727292527307,-26.347520354722572
71,-48.2869306400021,22.708658531266533,-25.578272108735565
72,-44.12622007999835,22.70016296028173,-21.426057119716617
73,-48.63306175999318,22.691782978887446,-25.941278781105737
74,-56.74783992000209,22.683515483865722,-34.064324436136374
75,-49.43289631999997,22.675357495312642,-26.757538824687327
76,-52.360958160007,22.66730615019005,-29.69365200981695
77,-51.01588384000368,22.65935869629335,-28.356525143710332
78,-45.13923304000788,22.651512486603547,-22.487720553404333
79,-44.70444407998653,22.64376497399451,-22.06067910599202
80,-46.20917872000615,22.636113706269064,-23.573065013737086
81,-48.94207016000412,22.628556321499573,-26.313513838504548
82,-51.2667655999865,22.621090543650926,-28.645675056335573
83,-58.126660160009436,22.613714178465745,-35.512945981543695
84,-50.99595664000877,22.60642510959299,-28.38953153041578
85,-56.78149072000694,22.59922129494298,-34.182269425063964
86,-45.87555712001189,22.592100763253175,-23.283456356758716
87,-55.84929192000517,22.58506161085017,-33.264230309155
88,-60.260864239996366,22.578101998594654,-37.68276224140171
89,-57.06580359999025,22.57122014899706,-34.49458345099319
90,-55.20962952000336,22.564414343492565,-32.645215176510796
91,-55.241479279996355,22.557682919865012,-32.68379636013134
92,-54.84389735999822,22.551024269810085,-32.29287309018814
93,-51.51688776000799,22.54443683662883,-28.97245092337916
94,-56.54090439999668,22.537919113043174,-34.0029852869535
95,-58.06239015999478,22.53146963912585,-35.53092052086893
96,-55.38618031999384,22.525087000337585,-32.861093319656256
97,-61.35378128000461,22.518769825664947,-38.835011454339664
98,-59.13441559999909,22.512516785852704,-36.621898814146384
99,-53.250776559980466,22.506326591725045,-30.74444996825542
100,-50.19010384000357,22.50019799259031,-27.689905847413264
101,-49.03890383999675,22.494129774724314,-26.544774065272435
102,-51.09687167999439,22.48812075992764,-28.608750920066754
103,-51.61708911999531,22.48216980415267,-29.134919315842644
104,-50.21787431999658,22.476275796196262,-27.74159852380032
105,-54.8919896000054,22.47043765645444,-32.421551943550966
106,-58.957315679999766,22.464654335735503,-36.49266134426426
107,-55.38368664000767,22.458924814128384,-32.92476182587929
108,-57.80802007999495,22.453248099923126,-35.35477198007182
109,-58.227160320002525,22.44762322858068,-35.779537091421844
110,-54.87127239999771,22.442049261749297,-32.42922313824841
111,-56.55704120000982,22.43652528632505,-34.12051591368477
112,-50.17552136000499,22.431050413554093,-27.7444709464509
113,-61.49601751999927,22.42562377817449,-39.07039374182478
114,-48.50396088001182,22.420244537595522,-26.083716342416295
115,-52.86013680000784,22.414911871112476,-30.44522492889536
116,-58.194958640016,22.409624979155197,-35.7853336608608
117,-58.274338400012766,22.404383082568604,-35.869955317444166
118,-50.75231431999093,22.399185421923512,-28.353128898067418
119,-63.62835583999964,22.394031256856362,-41.23432458314328
120,-53.21488023999164,22.38891986543632,-30.825960374555322
121,-56.405152879995,22.383850543558406,-34.02130233643659
122,-56.227009360008296,22.378822604361407,-33.84818675564689
123,-53.48207624000095,22.373835377669383,-31.108240862331566
124,-53.117148479995606,22.36888820945555,-30.748260270540055
125,-54.73583287999588,22.363980461327582,-32.3718524186683
126,-51.33583071998757,22.359111510033184,-28.976719209954386
127,-48.492948559998055,22.35428074698515,-26.138667813012905
128,-48.46295479999499,22.349487577804815,-26.113467222190174
129,-47.9863605599878,22.344731421885257,-25.641629138102545
130,-43.51959928000281,22.34001171200341,-21.1795875679994
131,-50.55700520000903,22.335327893756563,-28.221677306252467
132,-46.96646064000696,22.330679425418253,-24.635781214588704
133,-45.203055280011256,22.32606577739435,-22.876989502616905
134,-41.29201415999316,22.32148643363466,-18.970527726358497
135,-51.31735887999794,22.31694088435938,-29.00041799563856
136,-51.925668399995885,22.312428636110365,-29.61323976388552
137,-49.95467743999802,22.30794920450261,-27.646728235495413
138,-51.32531959999545,22.303502115643372,-29.02181748435208
139,-48.46010232000195,22.299086905831327,-26.161015414170624
140,-49.899567919991455,22.29470312126643,-27.604864798725025
141,-45.68708639998259,22.290350317769985,-23.396736082212605
142,-46.65369272000697,22.28602806051459,-24.367664659492384
143,-46.88839544000811,22.281735923763453,-24.606659516244658
144,-47.02238415999949,22.277473490618757,-24.744910669380733
145,-44.02725327999758,22.273240352778654,-21.754012927218927
146,-48.63947391998916,22.26903611030255,-26.370437809686607
147,-44.025373760007994,22.264860371387293,-21.7605133886207
148,-49.81969856000461,22.26071275213635,-27.55898580786826
149,-48.454289199988054,22.25659287636557,-26.197696323622484
150,-44.19398624000192,22.25250037538673,-21.94148586461519
151,-40.570936640000184,22.248434887812493,-18.32250175218769
152,-50.32172031998965,22.244396059364846,-28.077324260624806
153,-44.009336160002476,22.2403835426899,-21.768952617312575
154,-47.38222232000703,22.2363969971786,-25.145825322828433
155,-49.42729007999698,22.232436088793204,-27.194853991203775
156,-45.62809319999833,22.228500489899343,-23.39959271009899
157,-41.995304239992294,22.224589879103394,-19.7707143608889
158,-53.00169735999995,22.220703941094975,-30.780993418904977
159,-47.41860376000366,22.21684236649436,-25.2017613935093
160,-49.60571520000197,22.213004851704742,-27.392710348297225
161,-55.21492687999638,22.209191098768915,-33.00573578122747
162,-44.53855160000697,22.205400815230515,-22.333150784776453
163,-53.66429415999211,22.20163371399941,-31.4626604459927
164,-50.59147135999487,22.197889513221217,-28.393581846773653
165,-46.48169119998626,22.194167936150762,-24.287523263835496
166,-44.978894319997636,22.19046871102933,-22.788425608968307
167,-52.71200744000963,22.186791570965582,-30.525215869044047
168,-52.408379919999405,22.183136253820017,-30.225243666179388
169,-47.33742551999852,22.179502502092827,-25.15792301790569
170,-53.27697424000226,22.175890062815025,-31.101084177187236
171,-50.79718023999226,22.172298687442815,-28.624881552549443
172,-50.08345935999256,22.168728131754932,-27.914731228237628
173,-45.80574855999167,22.16517815575301,-23.64057040423866
174,-45.315892800001635,22.161648523564775,-23.15424427643686
175,-42.45949647998914,22.158139003350005,-20.301357476639136
176,-47.99780928001246,22.15464936720914,-25.843159912803323
177,-55.1252870400083,22.151179391094487,-32.974107648913815
178,-49.98069543998322,22.147728854723916,-27.832966585259307
179,-50.12038496001544,22.144297541496897,-27.976087418518546
180,-49.21403048000114,22.140885238412977,-27.073145241588165
181,-48.77371719999738,22.137491735992402,-26.636225464004976
182,-49.55377328000009,22.13411682819894,-27.419656451801146
183,-51.13353488000698,22.130760312364842,-29.002774567642135
184,-43.89458296000697,22.12742198911781,-21.76716097088916
185,-54.443094560007296,22.12410166230992,-32.31899289769738
186,-53.00272936000728,22.120799138948463,-30.881930221058816
187,-48.31565927999445,22.117514229128666,-26.198145050865783
188,-48.70871287999873,22.11424674603577,-26.594466133962957
189,-43.80776823999901,22.110996533836264,-21.696771706162743
190,-48.097957520003916,22.10776335511925,-25.990194164884667
191,-47.39814263999722,22.104547059918954,-25.293595580078264
192,-47.16870599999318,22.101347472821022,-25.067358527172157
193,-47.3386628000075,22.09816442113071,-25.240498378876786
194,-46.091003840005556,22.094997734817007,-23.99600610518855
195,-54.43461816001191,22.091847246458073,-32.342770913553835
196,-47.04515152000718,22.08871279148006,-24.95643872852712
197,-45.98571055999588,22.085594206937728,-23.900116353058152
198,-50.28382063999854,22.082491333215376,-28.201329306783162
199,-42.64342272001076,22.079404012810063,-20.5640187072007
200,-38.587629759994414,22.076334220514603,-16.51129553947981
201,-44.68316792000962,22.07327754361442,-22.609890376395203
202,-47.34251360001032,22.070235961476484,-25.272277638533836
203,-43.08097351999422,22.06720932613731,-21.013764193856908
204,-49.37093056000357,22.064197490643082,-27.30673306936049
205,-54.94433855998672,22.061200311340638,-32.88313824864608
206,-39.55378799999397,22.058217646284962,-17.49557035370901
207,-41.9538989600095,22.057059805263318,-19.89683915474618
208,-43.402600480004736,22.054105751009462,-21.348494728995274
209,-52.24652952000885,22.05116579730691,-30.195363722701938
210,-45.98948320000474,22.048239810182924,-23.941243389821818
211,-53.18538656000143,22.04532765756509,-31.140058902436344
212,-47.130305119996834,22.04242920924557,-25.087875910751265
213,-60.205739919990094,22.039544336846152,-38.166195583143946
214,-51.99835647999997,22.036672913784145,-29.961683566215825
215,-46.50132367999046,22.033814815239033,-24.46750886475143
216,-51.253365920004896,22.030969918119933,-29.222396001884963
217,-44.70285103999339,22.02813810103378,-22.674712938959612
218,-48.18240471998887,22.025319244254234,-26.157085475734632
219,-41.4250671199935,22.022513229691334,-19.402553890302165
220,-53.624699599990535,22.019719940861783,-31.60497965912875
221,-51.41257904000176,22.016939262859946,-29.395639777141813
222,-40.261197440007095,22.014171082330257,-18.247026357676837
223,-48.80233135999396,22.01141528743645,-26.790916072557508
224,-43.22107879999737,22.008671767838976,-21.212407032158396
225,-47.99349632000313,22.00594041466549,-25.987555905337643
