,time,rhoeq_lig1
0,0.0,994.388367
1,2.0,994.170349
2,4.0,993.612671
3,6.0,992.846863
4,8.0,992.332031
5,10.0,992.402405
6,12.0,992.867065
7,14.0,993.996704
8,16.0,995.376648
9,18.0,996.051025
10,20.0,996.159546
11,22.0,995.79834
12,24.0,995.15387
13,26.0,994.35144
14,28.0,993.547852
15,30.0,992.810242
16,32.0,992.480164
17,34.0,992.917664
18,36.0,993.929382
19,38.0,994.944763
20,40.0,995.562134
21,42.0,995.749695
22,44.0,995.39325
23,46.0,994.869019
24,48.0,994.280884
25,50.0,993.737061
26,52.0,993.513306
27,54.0,993.498291
28,56.0,993.719727
29,58.0,994.037292
30,60.0,994.449036
31,62.0,994.964783
32,64.0,995.151306
33,66.0,994.928894
34,68.0,994.519348
35,70.0,994.096741
36,72.0,994.078552
37,74.0,994.022705
38,76.0,994.250549
39,78.0,994.56958
40,80.0,994.651978
41,82.0,994.835205
42,84.0,995.175537
43,86.0,995.293518
44,88.0,995.133667
45,90.0,994.523987
46,92.0,993.58551
47,94.0,993.021545
48,96.0,992.856995
49,98.0,993.018921
50,100.0,993.186401
51,102.0,993.390442
52,104.0,993.804626
53,106.0,994.216797
54,108.0,994.619202
55,110.0,994.886536
56,112.0,995.173462
57,114.0,995.11322
58,116.0,994.763489
59,118.0,994.249451
60,120.0,994.109497
61,122.0,994.2724
62,124.0,994.347229
63,126.0,994.173645
64,128.0,993.955566
65,130.0,993.978333
66,132.0,994.216003
67,134.0,994.167358
68,136.0,994.099976
69,138.0,994.034424
70,140.0,993.976746
71,142.0,994.122986
72,144.0,994.457642
73,146.0,994.807251
74,148.0,995.062622
75,150.0,995.031433
76,152.0,994.780029
77,154.0,994.559448
78,156.0,994.552856
79,158.0,994.283508
80,160.0,993.854797
81,162.0,993.481812
82,164.0,993.28772
83,166.0,993.404541
84,168.0,993.629578
85,170.0,993.965759
86,172.0,994.526001
87,174.0,994.932556
88,176.0,995.193604
89,178.0,995.04248
90,180.0,994.659668
91,182.0,994.100891
92,184.0,993.312073
93,186.0,992.90802
94,188.0,992.799072
95,190.0,992.692688
96,192.0,992.950806
97,194.0,993.78717
98,196.0,994.848755
99,198.0,995.563782
100,200.0,995.759277
101,202.0,995.642517
102,204.0,995.547546
103,206.0,995.117188
104,208.0,994.350525
105,210.0,993.760925
106,212.0,993.358154
107,214.0,993.279236
108,216.0,993.356445
109,218.0,993.55249
110,220.0,993.826172
111,222.0,994.206299
112,224.0,994.530945
113,226.0,995.025513
114,228.0,995.314453
115,230.0,995.24646
116,232.0,994.890503
117,234.0,994.564575
118,236.0,994.144775
119,238.0,993.703491
120,240.0,993.6604
121,242.0,993.8573
122,244.0,994.407227
123,246.0,995.155212
124,248.0,995.531067
125,250.0,995.466431
126,252.0,995.317505
127,254.0,994.937988
128,256.0,994.384583
129,258.0,993.920654
130,260.0,993.600464
131,262.0,993.625122
132,264.0,994.015686
133,266.0,994.48761
134,268.0,994.964478
135,270.0,995.308411
136,272.0,995.363037
137,274.0,995.112854
138,276.0,994.903076
139,278.0,994.607239
140,280.0,994.383545
141,282.0,994.03418
142,284.0,993.625854
143,286.0,993.279968
144,288.0,993.327759
145,290.0,993.737366
146,292.0,994.334351
147,294.0,994.746155
148,296.0,994.887817
149,298.0,994.948853
150,300.0,995.230042
151,302.0,995.239746
152,304.0,994.888855
153,306.0,994.258789
154,308.0,993.441223
155,310.0,992.843994
156,312.0,992.671814
157,314.0,993.007019
158,316.0,993.437988
159,318.0,994.164612
160,320.0,995.031433
161,322.0,995.718994
162,324.0,995.926636
163,326.0,995.526794
164,328.0,994.709778
165,330.0,994.069458
166,332.0,993.549316
167,334.0,993.051697
168,336.0,992.75592
169,338.0,992.773926
170,340.0,993.299133
171,342.0,994.073181
172,344.0,994.858948
173,346.0,995.430664
174,348.0,995.62616
175,350.0,995.357605
176,352.0,994.615601
177,354.0,993.843994
178,356.0,993.06781
179,358.0,992.666077
180,360.0,992.859741
181,362.0,993.445801
182,364.0,993.898865
183,366.0,994.027405
184,368.0,994.28656
185,370.0,994.53479
186,372.0,995.143799
187,374.0,995.496582
188,376.0,995.376526
189,378.0,994.893005
190,380.0,994.174194
191,382.0,993.481812
192,384.0,993.004272
193,386.0,992.716125
194,388.0,992.50177
195,390.0,992.799377
196,392.0,993.634827
197,394.0,994.837646
198,396.0,995.789856
199,398.0,996.220337
200,400.0,995.871399
201,402.0,994.967712
202,404.0,994.194702
203,406.0,993.71344
204,408.0,993.705566
205,410.0,993.692688
206,412.0,993.719971
207,414.0,993.671692
208,416.0,994.077209
209,418.0,995.02887
210,420.0,995.804993
211,422.0,995.972473
212,424.0,995.312256
213,426.0,994.347656
214,428.0,993.525146
215,430.0,993.033813
216,432.0,992.800232
217,434.0,992.893799
218,436.0,993.325623
219,438.0,994.04895
220,440.0,994.811462
221,442.0,995.191406
222,444.0,995.230591
223,446.0,995.040955
224,448.0,994.878174
225,450.0,994.724915
226,452.0,994.439453
227,454.0,993.694336
228,456.0,993.201904
229,458.0,993.532959
230,460.0,994.439819
231,462.0,995.189758
232,464.0,995.551147
233,466.0,995.810486
234,468.0,996.140991
235,470.0,996.669006
236,472.0,996.846619
237,474.0,996.322754
238,476.0,995.426208
239,478.0,994.547485
240,480.0,993.997253
241,482.0,993.719727
242,484.0,993.478333
243,486.0,993.006226
244,488.0,992.626343
245,490.0,992.60199
246,492.0,992.941772
247,494.0,993.75415
248,496.0,994.524658
249,498.0,994.974731
250,500.0,995.203003
251,502.0,995.362
252,504.0,995.514771
253,506.0,995.614563
254,508.0,994.9953
255,510.0,994.135742
256,512.0,993.334412
257,514.0,993.003479
258,516.0,993.386353
259,518.0,993.613525
260,520.0,993.487305
261,522.0,993.358704
262,524.0,993.34198
263,526.0,993.689514
264,528.0,994.263062
265,530.0,995.078674
266,532.0,995.548035
267,534.0,995.605774
268,536.0,995.052002
269,538.0,994.34552
270,540.0,994.026489
271,542.0,994.023865
272,544.0,993.946289
273,546.0,994.078552
274,548.0,994.278137
275,550.0,994.334717
276,552.0,994.609314
277,554.0,994.922363
278,556.0,994.883545
279,558.0,994.549866
280,560.0,994.271729
281,562.0,994.376648
282,564.0,994.65332
283,566.0,994.733398
284,568.0,994.630371
285,570.0,994.284973
286,572.0,994.116516
287,574.0,994.256287
288,576.0,994.500122
289,578.0,994.641235
290,580.0,994.412415
291,582.0,993.864868
292,584.0,993.5271
293,586.0,993.402893
294,588.0,993.645752
295,590.0,994.167725
296,592.0,994.500488
297,594.0,994.458008
298,596.0,994.273621
299,598.0,994.260681
300,600.0,994.243164
301,602.0,993.953552
302,604.0,993.387939
303,606.0,993.143738
304,608.0,992.856445
305,610.0,992.699829
306,612.0,992.955688
307,614.0,993.385254
308,616.0,993.763855
309,618.0,994.072815
310,620.0,994.578186
311,622.0,994.902649
312,624.0,994.726074
313,626.0,993.917603
314,628.0,992.809998
315,630.0,992.207458
316,632.0,991.989258
317,634.0,992.273193
318,636.0,992.954407
319,638.0,993.596313
320,640.0,993.956543
321,642.0,993.902344
322,644.0,994.174377
323,646.0,994.30072
324,648.0,994.165161
325,650.0,993.897278
326,652.0,993.658936
327,654.0,993.697998
328,656.0,994.047302
329,658.0,994.336548
330,660.0,994.418518
331,662.0,994.019104
332,664.0,993.589478
333,666.0,993.429138
334,668.0,993.589111
335,670.0,993.831299
336,672.0,994.056458
337,674.0,994.108215
338,676.0,994.022949
339,678.0,993.923645
340,680.0,993.771057
341,682.0,993.461426
342,684.0,992.924805
343,686.0,992.745911
344,688.0,993.287964
345,690.0,994.05365
346,692.0,994.595337
347,694.0,995.074524
348,696.0,995.303406
349,698.0,995.221436
350,700.0,994.638977
351,702.0,993.584717
352,704.0,992.404358
353,706.0,991.74292
354,708.0,991.777039
355,710.0,992.517944
356,712.0,993.512024
357,714.0,994.557678
358,716.0,995.48761
359,718.0,996.109131
360,720.0,996.125
361,722.0,995.393616
362,724.0,994.270996
363,726.0,993.375366
364,728.0,992.846313
365,730.0,992.740723
366,732.0,993.037598
367,734.0,993.840088
368,736.0,994.640869
369,738.0,995.348755
370,740.0,995.723755
371,742.0,995.869202
372,744.0,995.495911
373,746.0,994.640564
374,748.0,993.662537
375,750.0,992.87915
376,752.0,992.598633
377,754.0,992.883667
378,756.0,993.435791
379,758.0,994.035095
380,760.0,994.31366
381,762.0,994.537231
382,764.0,994.625671
383,766.0,994.180603
384,768.0,993.544983
385,770.0,993.075195
386,772.0,992.791809
387,774.0,992.877197
388,776.0,993.005493
389,778.0,993.568054
390,780.0,994.112061
391,782.0,994.637512
392,784.0,995.223083
393,786.0,995.710266
394,788.0,995.45636
395,790.0,994.598755
396,792.0,993.839844
397,794.0,993.58728
398,796.0,993.473145
399,798.0,993.390991
400,800.0,993.184937
401,802.0,993.226074
402,804.0,993.749756
403,806.0,994.641418
404,808.0,995.42157
405,810.0,995.484497
406,812.0,994.855408
407,814.0,994.057739
408,816.0,993.270752
409,818.0,992.921204
410,820.0,993.083801
411,822.0,993.297119
412,824.0,993.634277
413,826.0,993.977661
414,828.0,994.814758
415,830.0,995.636597
416,832.0,995.650269
417,834.0,995.067993
418,836.0,994.087097
419,838.0,993.268311
420,840.0,992.899536
421,842.0,992.877747
422,844.0,993.13501
423,846.0,993.451843
424,848.0,994.037048
425,850.0,994.815247
426,852.0,995.732178
427,854.0,996.217529
428,856.0,995.900818
429,858.0,995.024231
430,860.0,993.995605
431,862.0,993.28363
432,864.0,993.029724
433,866.0,993.005005
434,868.0,993.262329
435,870.0,993.586975
436,872.0,993.909973
437,874.0,993.953552
438,876.0,994.072815
439,878.0,994.303101
440,880.0,994.309204
441,882.0,994.284607
442,884.0,994.067322
443,886.0,993.993591
444,888.0,993.614441
445,890.0,993.266785
446,892.0,993.242126
447,894.0,993.284546
448,896.0,993.34668
449,898.0,993.799377
450,900.0,994.377075
451,902.0,994.90448
452,904.0,995.238831
453,906.0,995.255859
454,908.0,995.091614
455,910.0,994.617004
456,912.0,994.002258
457,914.0,993.495667
458,916.0,993.219971
459,918.0,993.201782
460,920.0,993.246155
461,922.0,993.727478
462,924.0,994.300903
463,926.0,994.814758
464,928.0,995.225952
465,930.0,995.403503
466,932.0,995.106018
467,934.0,994.639465
468,936.0,994.026855
469,938.0,993.742798
470,940.0,993.960205
471,942.0,994.329468
472,944.0,994.763123
473,946.0,995.089111
474,948.0,995.280273
475,950.0,995.346863
476,952.0,995.199097
477,954.0,994.781738
478,956.0,994.202515
479,958.0,993.700256
480,960.0,993.635742
481,962.0,993.923645
482,964.0,994.474976
483,966.0,994.638428
484,968.0,994.713318
485,970.0,994.845886
486,972.0,995.049194
487,974.0,995.054199
488,976.0,995.003662
489,978.0,994.546448
490,980.0,993.953918
491,982.0,993.079285
492,984.0,992.473816
493,986.0,992.258362
494,988.0,992.572266
