,time,Peq_lig3
0,0.0,78.681229
1,1.0,53.258942
2,2.0,82.009293
3,3.0,61.41539
4,4.0,-34.935753
5,5.0,-74.247673
6,6.0,56.311539
7,7.0,-15.155807
8,8.0,1.844025
9,9.0,45.177368
10,10.0,-51.472801
11,11.0,4.166977
12,12.0,7.335312
13,13.0,24.825912
14,14.0,27.961823
15,15.0,60.162018
16,16.0,79.151642
17,17.0,77.385071
18,18.0,122.509613
19,19.0,-24.207832
20,20.0,-67.603386
21,21.0,31.59375
22,22.0,33.311966
23,23.0,51.537949
24,24.0,41.736267
25,25.0,26.677612
26,26.0,-79.625114
27,27.0,-66.185921
28,28.0,44.55162
29,29.0,-37.970161
30,30.0,17.735214
31,31.0,-57.074715
32,32.0,-5.831299
33,33.0,106.668274
34,34.0,-61.519958
35,35.0,63.555954
36,36.0,89.24324
37,37.0,31.576263
38,38.0,-86.506393
39,39.0,62.705109
40,40.0,-2.450256
41,41.0,-33.112846
42,42.0,-101.883469
43,43.0,24.880829
44,44.0,41.265945
45,45.0,-35.060669
46,46.0,-60.002983
47,47.0,-18.22493
48,48.0,-1.384613
49,49.0,-97.425873
50,50.0,-50.558556
51,51.0,-31.291161
52,52.0,-20.171234
53,53.0,-84.988205
54,54.0,18.795624
55,55.0,-4.68512
56,56.0,63.658905
57,57.0,2.869644
58,58.0,62.543808
59,59.0,22.193253
60,60.0,85.351257
61,61.0,-37.305565
62,62.0,-56.09465
63,63.0,126.417145
64,64.0,-26.584686
65,65.0,46.099136
66,66.0,-42.824242
67,67.0,-86.629288
68,68.0,-2.600266
69,69.0,-98.016266
70,70.0,-96.287155
71,71.0,-3.081284
72,72.0,-55.798271
73,73.0,-1.22316
74,74.0,19.453415
75,75.0,105.300766
76,76.0,-27.688011
77,77.0,-89.92778
78,78.0,-46.920288
79,79.0,25.509399
80,80.0,79.309937
81,81.0,-7.350143
82,82.0,-34.931091
83,83.0,1.510925
84,84.0,-7.729858
85,85.0,-102.878967
86,86.0,59.522186
87,87.0,44.320938
88,88.0,-44.003395
89,89.0,-10.546509
90,90.0,-0.123657
91,91.0,87.975067
92,92.0,4.404999
93,93.0,-11.856735
94,94.0,-8.496796
95,95.0,29.237213
96,96.0,-52.152512
97,97.0,14.843399
98,98.0,-45.27169
99,99.0,44.452423
100,100.0,-18.714767
