,time,Peq_xtal
0,0.0,70.00824
1,1.0,17.737839
2,2.0,28.731583
3,3.0,-87.177734
4,4.0,8.017792
5,5.0,-67.884819
6,6.0,36.978806
7,7.0,75.289169
8,8.0,-1.909912
9,9.0,42.196091
10,10.0,-30.582909
11,11.0,62.561508
12,12.0,75.229904
13,13.0,42.534927
14,14.0,1.172577
15,15.0,-33.88842
16,16.0,130.766769
17,17.0,10.509354
18,18.0,-0.206543
19,19.0,-76.115196
20,20.0,-22.638046
21,21.0,20.920502
22,22.0,61.964111
23,23.0,-90.336258
24,24.0,-47.14827
25,25.0,-26.25145
26,26.0,-41.086555
27,27.0,42.397964
28,28.0,70.631073
29,29.0,41.582794
30,30.0,76.728149
31,31.0,-70.439659
32,32.0,101.451294
33,33.0,69.421097
34,34.0,-4.149277
35,35.0,36.266327
36,36.0,6.750854
37,37.0,-27.179527
38,38.0,-48.360352
39,39.0,10.409821
40,40.0,-26.323563
41,41.0,-77.08004
42,42.0,-6.781448
43,43.0,27.213974
44,44.0,-31.780411
45,45.0,7.976135
46,46.0,-38.903648
47,47.0,22.239212
48,48.0,3.429092
49,49.0,-22.774513
50,50.0,70.016083
51,51.0,23.873413
52,52.0,82.367218
53,53.0,58.559387
54,54.0,58.276596
55,55.0,-5.830963
56,56.0,-46.446472
57,57.0,-0.387253
58,58.0,-100.594299
59,59.0,-0.352295
60,60.0,63.103531
61,61.0,41.815567
62,62.0,-5.181763
63,63.0,-7.379852
64,64.0,83.336243
65,65.0,-12.696594
66,66.0,-112.059792
67,67.0,1.637451
68,68.0,0.733261
69,69.0,70.751358
70,70.0,-49.322624
71,71.0,-56.725807
72,72.0,99.610062
73,73.0,78.728119
74,74.0,-21.519478
75,75.0,14.36702
76,76.0,-42.402809
77,77.0,37.125122
78,78.0,51.663864
79,79.0,109.320389
80,80.0,-15.267136
81,81.0,8.202103
82,82.0,-28.410652
83,83.0,78.187012
84,84.0,-30.429779
85,85.0,7.587067
86,86.0,-48.369415
87,87.0,63.285385
88,88.0,49.935867
89,89.0,18.053787
90,90.0,56.970947
91,91.0,83.831512
92,92.0,52.570999
93,93.0,4.997925
94,94.0,-8.934158
95,95.0,52.221527
96,96.0,-11.636703
97,97.0,12.544357
98,98.0,-57.459358
99,99.0,2.626846
100,100.0,-6.754608
