,time,Teq_decoy
0,0.0,309.380188
1,1.0,303.144592
2,2.0,307.682678
3,3.0,310.266876
4,4.0,309.595337
5,5.0,309.602936
6,6.0,310.424622
7,7.0,310.137299
8,8.0,310.063324
9,9.0,309.950317
10,10.0,309.433472
11,11.0,308.652954
12,12.0,309.163757
13,13.0,309.751099
14,14.0,310.890594
15,15.0,310.56073
16,16.0,309.801361
17,17.0,310.703156
18,18.0,309.627716
19,19.0,309.487549
20,20.0,308.688629
21,21.0,308.918823
22,22.0,309.630768
23,23.0,310.293701
24,24.0,309.797852
25,25.0,308.552826
26,26.0,309.709839
27,27.0,311.493408
28,28.0,307.842438
29,29.0,309.970245
30,30.0,309.993927
31,31.0,309.628998
32,32.0,310.003754
33,33.0,310.28775
34,34.0,309.724579
35,35.0,310.317596
36,36.0,308.583191
37,37.0,310.113281
38,38.0,310.481018
39,39.0,309.845947
40,40.0,309.614532
41,41.0,309.65744
42,42.0,309.861786
43,43.0,310.528198
44,44.0,309.975433
45,45.0,310.214386
46,46.0,308.954102
47,47.0,310.513062
48,48.0,311.125793
49,49.0,311.238617
50,50.0,309.698029
51,51.0,310.090729
52,52.0,310.096588
53,53.0,310.116852
54,54.0,310.387939
55,55.0,309.915649
56,56.0,310.994232
57,57.0,309.138092
58,58.0,309.747955
59,59.0,309.952972
60,60.0,309.198181
61,61.0,310.875763
62,62.0,309.884186
63,63.0,310.505737
64,64.0,308.550751
65,65.0,310.72821
66,66.0,310.279602
67,67.0,308.684082
68,68.0,309.907043
69,69.0,310.759094
70,70.0,309.468109
71,71.0,309.704865
72,72.0,309.488037
73,73.0,310.023773
74,74.0,309.943756
75,75.0,310.255981
76,76.0,308.606445
77,77.0,309.848999
78,78.0,310.141418
79,79.0,309.463287
80,80.0,311.087402
81,81.0,309.510956
82,82.0,310.61264
83,83.0,310.514526
84,84.0,309.415405
85,85.0,310.586334
86,86.0,310.101501
87,87.0,310.083069
88,88.0,309.066833
89,89.0,309.665619
90,90.0,309.638794
91,91.0,311.322174
92,92.0,310.082092
93,93.0,309.554718
94,94.0,309.173248
95,95.0,308.586182
96,96.0,309.743927
97,97.0,309.067108
98,98.0,311.822083
99,99.0,310.607971
100,100.0,310.67981
