,time,Teq_lig3
0,0.0,310.361237
1,1.0,302.211365
2,2.0,308.248657
3,3.0,310.40625
4,4.0,309.453979
5,5.0,311.013031
6,6.0,311.122833
7,7.0,310.986389
8,8.0,310.166046
9,9.0,309.377045
10,10.0,310.689087
11,11.0,310.938934
12,12.0,309.258209
13,13.0,310.139252
14,14.0,309.372925
15,15.0,309.389374
16,16.0,309.623199
17,17.0,310.502838
18,18.0,310.675751
19,19.0,310.303955
20,20.0,310.185272
21,21.0,310.042664
22,22.0,309.508942
23,23.0,310.325592
24,24.0,310.45697
25,25.0,309.767059
26,26.0,310.247284
27,27.0,310.701996
28,28.0,310.045502
29,29.0,309.393707
30,30.0,310.054962
31,31.0,310.411285
32,32.0,310.452698
33,33.0,309.958618
34,34.0,309.720459
35,35.0,309.492157
36,36.0,310.604279
37,37.0,310.16626
38,38.0,310.194122
39,39.0,309.542572
40,40.0,308.337921
41,41.0,309.775238
42,42.0,311.258575
43,43.0,309.50592
44,44.0,309.686127
45,45.0,309.390442
46,46.0,310.015594
47,47.0,309.573303
48,48.0,309.709747
49,49.0,310.158569
50,50.0,309.448273
51,51.0,310.718933
52,52.0,311.008026
53,53.0,310.071991
54,54.0,309.592529
55,55.0,310.545593
56,56.0,309.250793
57,57.0,309.323975
58,58.0,310.290314
59,59.0,310.581329
60,60.0,309.52066
61,61.0,310.239594
62,62.0,308.58847
63,63.0,309.894714
64,64.0,309.123718
65,65.0,309.833923
66,66.0,310.746307
67,67.0,309.178192
68,68.0,308.563324
69,69.0,311.239319
70,70.0,310.411438
71,71.0,309.925903
72,72.0,308.986786
73,73.0,310.144684
74,74.0,310.751862
75,75.0,309.508026
76,76.0,309.37619
77,77.0,309.304565
78,78.0,310.13501
79,79.0,309.554535
80,80.0,311.219391
81,81.0,308.777039
82,82.0,310.764191
83,83.0,310.141022
84,84.0,310.304596
85,85.0,310.189209
86,86.0,309.745087
87,87.0,310.638641
88,88.0,308.908051
89,89.0,309.890228
90,90.0,309.534851
91,91.0,310.412354
92,92.0,309.187256
93,93.0,310.295746
94,94.0,309.19342
95,95.0,308.799103
96,96.0,309.690918
97,97.0,309.19986
98,98.0,310.03186
99,99.0,310.28775
100,100.0,309.216309
