,time,Teq_xtal
0,0.0,310.703613
1,1.0,304.041687
2,2.0,309.735077
3,3.0,309.32132
4,4.0,308.573395
5,5.0,310.483673
6,6.0,310.589111
7,7.0,308.899353
8,8.0,309.439667
9,9.0,307.864594
10,10.0,309.83197
11,11.0,310.446838
12,12.0,312.115234
13,13.0,309.777985
14,14.0,309.792206
15,15.0,311.046356
16,16.0,310.730072
17,17.0,309.874023
18,18.0,309.344513
19,19.0,310.346008
20,20.0,310.596588
21,21.0,310.464233
22,22.0,309.823029
23,23.0,309.670898
24,24.0,309.991547
25,25.0,310.284943
26,26.0,309.69165
27,27.0,309.41037
28,28.0,309.595734
29,29.0,309.528839
30,30.0,310.496246
31,31.0,309.963165
32,32.0,310.046265
33,33.0,309.682495
34,34.0,310.413208
35,35.0,311.056274
36,36.0,310.420502
37,37.0,310.118286
38,38.0,310.556061
39,39.0,309.785278
40,40.0,311.104614
41,41.0,309.660034
42,42.0,310.330963
43,43.0,310.040375
44,44.0,309.227356
45,45.0,311.189331
46,46.0,310.049286
47,47.0,308.096893
48,48.0,309.048553
49,49.0,309.737823
50,50.0,309.666748
51,51.0,310.353394
52,52.0,310.810272
53,53.0,309.477478
54,54.0,309.841217
55,55.0,311.519836
56,56.0,310.896393
57,57.0,309.917053
58,58.0,310.203918
59,59.0,310.548462
60,60.0,309.969452
61,61.0,310.769714
62,62.0,309.224823
63,63.0,310.437714
64,64.0,311.021118
65,65.0,309.109711
66,66.0,309.967255
67,67.0,310.009369
68,68.0,310.841156
69,69.0,310.077576
70,70.0,310.621429
71,71.0,308.820068
72,72.0,309.531921
73,73.0,308.760834
74,74.0,311.064514
75,75.0,310.000702
76,76.0,309.535858
77,77.0,310.992218
78,78.0,309.357117
79,79.0,309.404327
80,80.0,308.274994
81,81.0,310.269348
82,82.0,310.113037
83,83.0,310.553253
84,84.0,310.089203
85,85.0,309.234344
86,86.0,309.953674
87,87.0,310.222626
88,88.0,310.167694
89,89.0,309.123779
90,90.0,309.716919
91,91.0,310.163422
92,92.0,309.389343
93,93.0,310.539276
94,94.0,310.127472
95,95.0,309.61911
96,96.0,309.716949
97,97.0,310.059662
98,98.0,309.907043
99,99.0,309.867218
100,100.0,309.215546
