,Label,Molecule,Index,Score,Aromatic,Hydrophobic,Donors,Aceptors,Negatives
417,ZINC000257347639,140,0,29.4428,0.9200879999999999,0.736071,0.613392,2.26483,1.40204
362,ZINC000101136391,121,1,25.7445,1.35497,1.07269,0.887742,2.34041,1.60903
423,ZINC000307565252,142,2,25.7535,1.11972,0.953833,0.830758,1.9810400000000001,1.51491
463,ZINC000616591357,155,3,25.7408,1.11916,0.9193129999999999,0.7800229999999999,2.34007,1.6088
321,ZINC000019893747,108,4,25.7658,1.03063,0.7807810000000001,0.628434,1.8404099999999999,1.17117
299,ZINC000004027859,100,5,25.7516,1.1705299999999998,1.03007,0.919701,2.14597,1.71678
259,82398,87,6,25.7513,1.07297,0.830686,0.677665,2.14594,1.35533
437,ZINC000575124622,146,7,25.7488,1.11951,0.9536600000000001,0.830607,2.14574,1.6093
341,ZINC000077269504,114,8,25.7501,1.17046,1.03,0.919645,2.14584,1.7166700000000001
415,ZINC000257347638,139,9,25.7522,0.804757,0.6603140000000001,0.5598310000000001,1.83945,1.2263
389,ZINC000106382957,130,10,25.7594,1.11998,0.8882559999999999,0.735984,1.8399599999999998,1.28797
15,76325328,6,11,25.7537,0.7358210000000001,0.6281399999999999,0.547952,1.28769,0.9905290000000001
7,118707521,3,12,25.7606,0.736017,0.628307,0.5480970000000001,1.28803,0.990792
267,29327,90,13,22.0973,1.22763,1.05225,0.9207209999999999,1.6997900000000001,1.3810799999999999
261,82313,88,14,22.0969,1.4731299999999998,1.163,0.960736,1.8414099999999998,1.38106
71,44630437,24,15,22.0969,1.38106,1.16299,1.0044,1.57835,1.29982
141,5284365,48,16,22.0965,1.10483,0.883861,0.73655,1.84138,1.29979
158,2733335,53,17,22.0962,1.22757,0.9607049999999999,0.789151,1.47308,1.10481
107,12600646,36,19,22.095,1.10475,0.8838020000000001,0.7365010000000001,1.84125,1.2997100000000001
122,7067772,41,20,22.0868,1.22704,0.9602940000000001,0.788813,1.47245,1.1043399999999999
