,Label,Molecule,Index,Score,Aromatic,Hydrophobic,Donors,Aceptors,Negatives
227,ZINC000077269504,114,0.0,14.7109,0.668678,0.588436,0.5253899999999999,1.22591,0.980727
103,2733787,52,1.0,14.7095,0.544797,0.459672,0.397554,0.817195,0.639544
159,118328,80,2.0,14.7093,0.54479,0.445737,0.377162,0.8652549999999999,0.639536
272,ZINC000257346492,137,3.0,14.7093,0.639536,0.5253329999999999,0.445737,1.4709299999999998,0.9806219999999999
4,118707521,3,4.0,14.7105,0.4203,0.358793,0.31299,0.735525,0.565789
10,76325328,6,5.0,14.7133,0.42038000000000003,0.358861,0.31304899999999997,0.7356659999999999,0.565897
270,ZINC000257346145,136,6.0,11.0359,0.501631,0.424457,0.367863,1.00326,0.735726
290,ZINC000575124622,146,7.0,11.0358,0.47981899999999994,0.408735,0.355995,0.919653,0.6897399999999999
230,ZINC000100342293,116,8.0,11.0299,0.5252359999999999,0.424229,0.35580500000000004,0.848458,0.612775
157,122253,79,9.0,11.0305,0.5013880000000001,0.393947,0.324427,0.8485020000000001,0.580554
219,ZINC000032106887,110,10.0,11.0357,0.5016229999999999,0.424451,0.367857,1.22619,0.848901
49,44341508,25,11.0,11.0318,0.408586,0.334298,0.282867,0.689489,0.501447
276,ZINC000257347638,139,14.0,11.0362,0.344882,0.28298,0.239918,0.788303,0.5255350000000001
24,52944904,13,20.0,11.0272,0.315064,0.22973400000000002,0.180775,0.73515,0.39383
26,52944903,14,24.0,11.0371,0.32461999999999996,0.23993699999999998,0.19029400000000002,0.788363,0.42450299999999996
188,899,95,26.0,7.3643600000000005,0.490957,0.40913099999999997,0.350684,0.566489,0.460272
46,44630437,24,27.0,7.367660000000001,0.46047899999999997,0.35084099999999996,0.28337199999999996,0.566743,0.409314
73,12302999,37,28.0,7.36764,0.61397,0.5262600000000001,0.460477,0.6697850000000001,0.5667409999999999
180,24154,91,29.0,7.367539999999999,0.613962,0.526253,0.46047200000000005,0.6697770000000001,0.566734
131,439281,66,30.0,7.36763,0.491175,0.38777,0.320332,0.613969,0.460477
19,54758653,10,31.0,7.36757,0.38776700000000003,0.294703,0.237664,0.6139640000000001,0.40931
31,49859685,16,32.0,7.36672,0.38772199999999996,0.30694699999999997,0.254025,0.56667,0.409262
29,51351654,15,33.0,7.36764,0.460478,0.36838200000000004,0.306985,0.61397,0.460478
287,ZINC000394934764,144,34.0,7.36715,0.49114399999999997,0.387745,0.320311,0.736715,0.526225
170,84265,86,36.0,7.36762,0.491175,0.409312,0.350839,0.5667399999999999,0.460476
84,6713972,43,37.0,7.367660000000001,0.409314,0.320333,0.263131,0.49117700000000003,0.368383
44,45266741,23,38.0,7.36768,0.613974,0.526263,0.46048,0.6697890000000001,0.5667449999999999
2,129878031,2,40.0,7.36765,0.43339099999999997,0.35084,0.29470599999999997,0.49117700000000003,0.387771
33,49802606,17,41.0,7.3677399999999995,0.409319,0.334897,0.283375,0.6139789999999999,0.460484
174,82313,88,42.0,7.36769,0.491179,0.387773,0.320334,0.613974,0.46048
134,439174,68,43.0,7.3676699999999995,0.49117799999999995,0.409315,0.350842,0.5667439999999999,0.46048
138,408523,70,44.0,7.3676699999999995,0.30698600000000004,0.216696,0.167447,0.49117799999999995,0.294707
184,18897,93,45.0,7.3676699999999995,0.613973,0.526262,0.46047899999999997,0.669788,0.5667439999999999
116,445621,59,46.0,7.367660000000001,0.6139720000000001,0.526262,0.46047899999999997,0.669788,0.566743
92,5317448,47,47.0,7.367610000000001,0.6139680000000001,0.526258,0.460476,0.669783,0.5667399999999999
56,25243963,29,48.0,7.36769,0.387773,0.294707,0.23766700000000002,0.613974,0.409316
125,440271,63,49.0,7.36712,0.387743,0.294685,0.23764899999999997,0.613926,0.40928400000000004
21,54758613,11,50.0,7.36712,0.387743,0.294685,0.23764899999999997,0.613926,0.40928400000000004
142,254124,72,51.0,7.36702,0.46043900000000004,0.35081100000000004,0.28334699999999996,0.613919,0.433354
191,739,96,52.0,7.3676699999999995,0.6139720000000001,0.526262,0.46047899999999997,0.669788,0.5667439999999999
129,440049,65,54.0,7.36758,0.613965,0.5262560000000001,0.460474,0.66978,0.5667369999999999
119,441477,60,55.0,7.36753,0.613961,0.526252,0.460471,0.669776,0.566733
55,42612215,28,56.0,7.3677600000000005,0.40931999999999996,0.320337,0.26313400000000003,0.566751,0.40931999999999996
108,449462,55,57.0,7.3647100000000005,0.613726,0.526051,0.46029499999999995,0.669519,0.566516
214,ZINC000019893747,108,58.0,7.36828,0.294731,0.23025900000000002,0.18893,0.49121899999999996,0.334922
77,11096158,39,59.0,7.3679,0.49119300000000005,0.409328,0.350852,0.566762,0.46049399999999996
106,644170,54,60.0,7.3677600000000005,0.491184,0.40931999999999996,0.350846,0.566751,0.46048500000000003
75,11908605,38,61.0,7.3677600000000005,0.491184,0.40931999999999996,0.350846,0.566751,0.46048500000000003
160,112106,81,62.0,7.366280000000001,0.294651,0.23762199999999997,0.19908900000000002,0.566637,0.38769899999999996
68,12917651,35,64.0,7.36751,0.368375,0.27287100000000003,0.216691,0.491167,0.334887
264,ZINC000164373873,133,65.0,7.36717,0.566705,0.46044799999999997,0.387746,0.6697420000000001,0.526226
95,5284365,48,66.0,7.36759,0.36838000000000004,0.272874,0.216694,0.5262560000000001,0.350838
223,ZINC000044021353,112,67.0,7.3674,0.35082800000000003,0.28336100000000003,0.23765799999999998,0.566723,0.4093
115,446101,58,69.0,7.36775,0.387776,0.30699,0.25406,0.56675,0.40931999999999996
86,6420074,44,70.0,7.3677,0.409317,0.35084299999999996,0.306987,0.566746,0.46048100000000003
