,Label,Molecule,Index,Score,Aromatic,Hydrophobic,Donors,Aceptors,Negatives
10,76325328,6,0,29.4325,0.8409270000000001,0.717865,0.6262220000000001,1.4716200000000002,1.13202
282,ZINC000307565252,142,1,25.7517,1.11964,0.953766,0.830699,1.9809,1.5148
274,ZINC000257346903,138,2,25.7596,0.990756,0.757637,0.613325,1.71731,1.11998
49,44341508,25,3,25.7573,0.953974,0.780524,0.6604439999999999,1.6098299999999999,1.17079
259,ZINC000106382957,130,4,25.7498,1.11956,0.887926,0.7357100000000001,1.8392700000000002,1.28749
227,ZINC000077269504,114,5,25.75,1.17045,1.03,0.919642,2.14583,1.7166599999999999
276,ZINC000257347638,139,6,25.7505,0.804703,0.660269,0.559793,1.83932,1.22621
4,118707521,3,8,25.7521,0.735775,0.6281,0.547917,1.2876100000000001,0.990466
174,82313,88,9,22.0967,1.4731100000000001,1.16298,0.960725,1.84139,1.38104
178,29327,90,10,22.0966,1.22759,1.0522200000000002,0.92069,1.69973,1.38103
94,5284365,48,11,22.0963,1.1048200000000001,0.8838520000000001,0.736544,1.8413599999999999,1.29978
29,51351654,15,12,22.0937,1.38085,1.1046799999999999,0.9205700000000001,1.8411400000000002,1.38085
71,12600646,36,13,22.092,1.1046,0.8836799999999999,0.7364,1.69938,1.22733
56,25243963,29,14,22.0976,1.16303,0.883906,0.712827,1.8414700000000002,1.22765
46,44630437,24,15,22.0917,1.38073,1.05199,0.8496809999999999,1.6993599999999998,1.22732
104,2733335,53,16,22.0845,1.22692,1.05164,0.9201870000000001,1.69881,1.38028
166,96523,84,18,22.0967,1.38104,1.10484,0.920696,1.69975,1.2998100000000001
58,25243937,30,19,22.0864,1.16244,0.920268,0.761601,1.6989599999999998,1.22702
223,ZINC000044021353,112,20,22.0819,1.05152,0.8493040000000001,0.7123189999999999,1.69861,1.2267700000000001
218,ZINC000032106887,110,21,22.0708,1.00322,0.8488760000000001,0.735692,2.4523099999999998,1.69775
199,ZINC000004027859,100,22,22.0853,1.0038799999999999,0.8834120000000001,0.7887609999999999,1.84044,1.47235
217,ZINC000019898298,109,23,22.0872,1.05177,0.849506,0.712489,1.69901,1.22706
230,ZINC000100342293,116,24,22.0827,1.05155,0.849333,0.712344,1.6986700000000001,1.22681
2,129878031,2,27,22.0809,1.29888,1.0514700000000001,0.883236,1.4720600000000001,1.16215
35,46174147,18,28,22.0868,1.22704,0.920283,0.736226,1.69898,1.16246
273,ZINC000257346492,137,29,22.0736,0.95972,0.788341,0.668895,2.20736,1.47157
270,ZINC000257346145,136,30,22.0774,1.00352,0.8491290000000001,0.735912,2.00703,1.4718200000000001
213,ZINC000015205956,107,32,22.0774,1.05131,0.849131,0.712175,1.6982599999999999,1.22652
220,ZINC000032106889,111,34,22.0674,1.00306,0.8487469999999999,0.735581,2.45194,1.6974900000000002
238,ZINC000101135603,120,35,22.0726,0.761124,0.580858,0.46963,1.6978900000000001,1.0033
14,57339292,8,36,22.0855,1.10427,0.81798,0.649573,1.38034,0.9602379999999999
308,ZINC000616591357,155,39,22.0687,0.959508,0.7881670000000001,0.668748,2.00624,1.37929
263,ZINC000106384102,132,40,22.0761,1.00346,0.817632,0.6898770000000001,1.47174,1.1038
234,ZINC000100815672,118,41,22.0729,0.882918,0.689779,0.565973,1.8394099999999998,1.16173
278,ZINC000257347639,140,43,22.0764,0.689886,0.5660609999999999,0.479921,1.5768799999999998,1.05126
89,6323218,45,44,22.098000000000003,1.1049,0.818446,0.649942,1.4732,1.0044600000000001
250,ZINC000102974493,126,46,22.0706,1.00321,0.8174279999999999,0.689705,1.69773,1.22614
237,ZINC000101073479,119,47,22.0692,1.05091,0.848815,0.711909,1.69763,1.22607
90,5462244,46,48,22.0758,1.10379,0.849068,0.689868,1.37974,1.0034399999999999
172,82398,87,50,22.0963,0.9206799999999999,0.712784,0.5814819999999999,1.8413599999999999,1.16296
214,ZINC000019893747,108,52,22.0867,0.883468,0.690209,0.566325,1.47245,1.00394
67,16738680,34,53,22.0762,1.10381,0.8490850000000001,0.689882,1.37976,1.00346
193,ZINC000001471333,97,54,22.0673,1.00306,0.817308,0.689604,1.47115,1.10337
16,57339290,9,55,22.0974,0.960757,0.6905439999999999,0.5389609999999999,1.29985,0.8499
197,ZINC000004027857,99,58,22.0732,1.0033299999999998,0.8829290000000001,0.78833,1.8394400000000002,1.47155
257,ZINC000106382931,129,59,22.075,1.0034100000000001,0.7883939999999999,0.649266,1.83959,1.2263899999999999
97,4282259,49,60,22.0709,1.051,0.848881,0.711965,1.69776,1.2261600000000001
233,ZINC000100656214,117,61,22.0691,1.00314,0.788181,0.64909,1.6976200000000001,1.16153
261,ZINC000106382965,131,62,22.0677,0.959465,0.760955,0.630506,1.57626,1.10338
62,24779679,32,63,22.0958,1.05218,0.7619239999999999,0.597184,1.38099,0.920658
9,90659182,5,67,22.0807,1.22671,0.960032,0.7885979999999999,1.5772,1.16214
161,112106,81,68,22.0745,0.8829799999999999,0.735817,0.6307,1.57675,1.16182
208,ZINC000015205946,105,70,22.0735,0.919731,0.735785,0.613154,1.69796,1.16177
206,ZINC000015205840,104,71,22.0679,0.9194969999999999,0.735598,0.6129979999999999,1.69753,1.16147
296,ZINC000616582683,149,73,22.0729,1.22627,0.9197040000000001,0.7357630000000001,1.69792,1.16173
100,2801971,51,75,22.0749,1.0034100000000001,0.761204,0.613192,1.83958,1.16184
195,ZINC000003956714,98,76,22.0695,1.00316,0.761017,0.613042,1.83913,1.16155
162,102416,82,77,22.0752,0.919799,0.712102,0.580925,1.8396,1.16185
255,ZINC000106381125,128,79,22.0747,1.1037299999999999,0.81758,0.649255,1.47164,1.00339
202,ZINC000013545464,102,80,22.0736,1.05112,0.848984,0.712052,1.69797,1.22631
205,ZINC000015205814,103,81,22.0771,0.9198790000000001,0.735904,0.6132529999999999,1.6982400000000002,1.16195
60,24847493,31,82,22.0753,1.1037700000000001,0.8830129999999999,0.7358439999999999,1.8396099999999997,1.29855
247,ZINC000102205030,124,83,22.0788,1.10394,0.817734,0.6493770000000001,1.6983700000000002,1.10394
248,ZINC000102863660,125,85,22.0814,1.16218,0.920056,0.761426,1.47209,1.10407
305,ZINC000616583781,153,86,22.0795,1.16208,0.817759,0.630842,1.57711,1.0036100000000001
210,ZINC000015205949,106,87,22.0767,0.9198629999999999,0.7358899999999999,0.613242,1.6982099999999998,1.16193
152,129618,77,89,22.0771,0.7884680000000001,0.56608,0.441542,1.37982,0.817671
102,2733787,52,91,22.0759,0.817625,0.689871,0.596645,1.22644,0.9598209999999999
144,202260,73,93,22.0757,0.9198219999999999,0.6492859999999999,0.501721,1.4717200000000001,0.8830290000000001
24,52944904,13,95,22.0802,0.630862,0.460004,0.36196999999999996,1.47201,0.788578
22,52948856,12,97,22.0703,0.613064,0.441406,0.344848,1.47135,0.7610439999999999
165,99461,83,98,22.0793,0.817752,0.581034,0.45059799999999994,1.2987799999999998,0.788547
26,52944903,14,99,22.0742,0.649241,0.47987399999999997,0.38059,1.57673,0.849008
245,ZINC000101361998,123,101,22.0776,0.7612979999999999,0.58099,0.469737,1.57697,0.9598969999999999
126,440235,64,103,18.4154,0.969233,0.736617,0.594046,1.53462,1.02308
40,45357367,21,104,18.4145,1.0230299999999999,0.876883,0.7672720000000001,1.4165,1.15091
84,6713972,43,105,18.4132,1.02296,0.8005760000000001,0.657616,1.22755,0.9206629999999999
134,439174,68,106,18.4129,1.22753,1.02294,0.8768040000000001,1.41638,1.15081
116,445621,59,107,18.4127,1.53439,1.3151899999999999,1.15079,1.67388,1.41636
44,45266741,23,108,18.4122,1.53435,1.31516,1.15076,1.6738400000000002,1.41632
1,134695375,1,109,18.4092,1.02274,0.8766299999999999,0.7670520000000001,1.31495,1.0829
52,44119773,27,110,18.4056,1.22704,1.02254,0.876459,1.41582,1.15035
241,ZINC000101136391,121,113,18.3918,0.967992,0.7663270000000001,0.634202,1.67199,1.14949
80,7067772,41,116,18.4052,1.02251,0.87644,0.766885,1.4157899999999999,1.1503299999999999
19,54758653,10,117,18.4013,0.96849,0.736053,0.593591,1.53344,1.0223
123,440552,62,118,18.4011,1.22674,1.0222799999999999,0.876243,1.41547,1.1500700000000001
177,35717,89,119,18.3983,1.22655,0.968332,0.799926,1.53319,1.1498899999999999
13,57376616,7,120,18.3968,1.22645,0.968253,0.7998609999999999,1.5330700000000002,1.1498
182,24139,92,121,18.3957,1.22638,0.968197,0.7998149999999999,1.53298,1.14973
151,193108,76,122,18.3941,1.14963,0.8759120000000001,0.707467,1.6722,1.14963
72,12302999,37,123,18.4121,1.53435,1.31515,1.15076,1.67383,1.41632
39,45933887,20,124,18.3943,1.5328600000000001,1.31388,1.14964,1.6722099999999998,1.4149399999999999
125,440271,63,126,18.4026,0.9685600000000001,0.736105,0.593633,1.53355,1.02237
83,6971258,42,127,18.404,1.2269299999999999,1.02245,0.876382,1.41569,1.15025
33,49802606,17,128,18.4028,1.0223799999999998,0.836493,0.707802,1.53357,1.15018
171,84265,86,129,18.4007,1.22672,1.02226,0.8762260000000001,1.41544,1.15005
189,899,95,130,18.3987,1.22658,1.02215,0.8761260000000001,1.4152799999999999,1.14992
252,ZINC000105341667,127,133,18.3976,1.4152,1.14985,0.9682959999999999,1.67251,1.3141200000000002
190,739,96,135,18.4086,1.53405,1.3149,1.15054,1.6735099999999998,1.41604
110,448882,56,136,18.412,1.15075,0.920602,0.7671680000000001,1.41631,1.0830600000000001
266,ZINC000196304985,134,137,18.4007,1.15005,0.876225,0.70772,1.53339,1.0824
142,254124,72,138,18.3986,1.14991,0.876122,0.707637,1.53321,1.08227
106,644170,54,139,18.4134,1.22756,1.0229700000000002,0.8768299999999999,1.41642,1.1508399999999999
77,11096158,39,143,18.3938,1.22625,1.02188,0.8758940000000001,1.4149100000000001,1.14961
30,49859685,16,145,18.4162,0.969276,0.767343,0.635043,1.4166299999999998,1.02312
87,6420074,44,149,18.396,1.022,0.876001,0.766501,1.41508,1.14975
55,42612215,28,151,18.3969,1.02205,0.799866,0.657033,1.41515,1.02205
113,447448,57,153,18.4,1.08235,0.8761899999999999,0.735999,1.2266700000000001,0.9684200000000001
131,439281,66,156,18.4136,1.22757,0.9691360000000001,0.8005909999999999,1.53447,1.15085
286,ZINC000394934764,144,161,18.4089,1.22726,0.968888,0.8003859999999999,1.8408900000000001,1.31492
114,446101,58,163,18.4008,0.968464,0.7667010000000001,0.6345109999999999,1.41545,1.02227
186,5300,94,165,18.3988,1.02215,0.8761329999999999,0.766616,1.41529,1.14992
300,ZINC000616582904,151,166,18.4004,1.02224,0.766682,0.6133460000000001,1.41541,0.968441
159,118328,80,167,18.3978,0.6814,0.557509,0.471738,1.0822200000000002,0.799904
75,11908605,38,169,18.3969,1.22646,1.02205,0.876044,1.41515,1.14981
69,12917651,35,170,18.4031,0.920156,0.707813,0.575098,1.1502,0.836506
139,408523,70,172,18.407,0.766957,0.541381,0.41834,1.2271299999999998,0.736278
201,ZINC000012364260,101,173,18.4043,0.836558,0.736171,0.657296,1.53369,1.22695
299,ZINC000616582813,150,178,18.4005,1.08238,0.8363870000000001,0.681501,1.4154200000000001,1.02225
281,ZINC000307008534,141,179,18.4134,1.31524,1.0229700000000002,0.8369719999999999,1.53445,1.1508399999999999
65,22833605,33,184,18.4028,1.0825200000000001,0.836492,0.6815859999999999,1.31449,0.968569
78,9816401,40,185,18.4134,1.08314,0.8369709999999999,0.681976,1.31524,0.969124
51,44229083,26,187,18.4055,0.9687110000000001,0.766896,0.6346729999999999,1.41581,1.02253
21,54758613,11,189,18.395,0.96816,0.7358020000000001,0.593388,1.53292,1.02195
242,ZINC000101178654,122,193,18.3961,1.02201,0.7998310000000001,0.657004,1.3140100000000001,0.968217
288,ZINC000396869768,145,198,18.3967,1.22645,0.9198370000000001,0.73587,1.6724299999999999,1.1498
120,441038,61,203,18.4003,1.08237,0.836376,0.681491,1.31431,0.968435
293,ZINC000575124647,147,206,18.4019,1.02233,0.766745,0.613396,1.3144200000000001,0.9200940000000001
169,90220,85,211,18.3947,0.766447,0.593378,0.484072,1.5328899999999999,0.968143
156,122253,79,212,18.4156,0.837073,0.6577,0.5416350000000001,1.41658,0.969242
290,ZINC000575124622,146,213,18.3984,0.7999310000000001,0.681422,0.593497,1.5332,1.1499
225,ZINC000056871016,113,217,18.3952,1.1497,0.919758,0.766465,1.41501,1.08207
307,ZINC000616589990,154,220,18.3957,1.22638,0.968195,0.799813,1.53298,1.14973
148,198514,75,221,18.4161,0.657718,0.44917299999999993,0.341039,1.22774,0.657718
98,3052142,50,224,18.4054,0.657335,0.460134,0.35394899999999996,1.15034,0.657335
43,45266822,22,233,18.4149,0.736596,0.5261399999999999,0.40922,1.15093,0.7082649999999999
146,198515,74,234,18.4049,0.657316,0.448899,0.340831,1.22699,0.657316
155,127132,78,235,18.4027,0.681581,0.484281,0.375565,1.08251,0.657239
140,312829,71,236,18.4015,0.681538,0.47183400000000003,0.36081399999999997,1.1501,0.657197
36,45934204,19,239,18.4034,0.920172,0.707825,0.5751069999999999,1.15021,0.83652
303,ZINC000616583702,152,240,18.4023,0.920114,0.657224,0.511174,1.15014,0.7667619999999999
294,ZINC000616582453,148,250,18.4024,0.8763059999999999,0.613414,0.47185699999999997,1.0825,0.7077859999999999
185,18897,93,257,14.7265,1.2272100000000001,1.05189,0.9204040000000001,1.33877,1.13281
92,5317448,47,260,14.7318,1.22765,1.05227,0.920739,1.3392600000000001,1.1332200000000001
180,24154,91,261,14.7233,1.22694,1.05167,0.920208,1.33848,1.13256
128,440049,65,262,14.7242,1.22702,1.0517299999999998,0.9202620000000001,1.33856,1.13263
108,449462,55,263,14.7147,1.22622,1.05105,0.919667,1.3377,1.1319
118,441477,60,266,14.7236,1.2269700000000001,1.05169,0.920228,1.33851,1.13259
229,ZINC000082114392,115,268,14.7295,1.13304,0.9205959999999999,0.775239,1.33905,1.05211
284,ZINC000383920275,143,271,14.725999999999999,0.9817319999999999,0.81811,0.701237,1.4726,1.13277
132,439213,67,272,14.7237,1.2269700000000001,1.05169,0.9202290000000001,1.3385200000000002,1.13259
265,ZINC000164373873,133,277,14.7277,1.1329,0.92048,0.775141,1.3388799999999998,1.05198
6,91820057,4,287,14.7272,0.7751170000000001,0.613635,0.507836,1.13286,0.818179
137,433580,69,300,14.7276,0.8663280000000001,0.669435,0.545466,1.05197,0.775135
