TotalEnergy,ElectronicEnergy,CoreRepulsion,FinalHeat,IonisationPotential,HomoEnergy,LumoEnergy,DipolPointCharge,DipolHybrid,DipolSum,ElectronNuclear,ElectronElectron,ResonanceEnergy,ExchangeEnergy,ElectronElectronRepulsion,ElectronNuclearAttraction,NuclearNuclearRepulsion,TotalElectrostaticInteraction,PrincipalMomentsInertiaA,PrincipalMomentsInertiaB,PrincipalMomentsInertiaC,CosmoArea,CosmoVolume,NumberFilledLevels,MullikenElectronegativity,AbsoluteHardness:,AbsoluteSoftness:,SchuurmannMOShiftAlpha,TotalElectrophilicDelocalizability,TotalNucleophilicDelocalizability,TotalSelfPolarizability,HomoLumoGap,HomoLumoFraction,Electrophilicity,PolarizabilityAnisotropy
-4560.0,-32300.0,27700.0,-247.0,9.85,-9.85,-1.34,1.56,1.58,2.73,-6940.0,2940.0,-561.0,-234.0,27100.0,-54600.0,27700.0,232.0,1460.0,14700.0,15200.0,354.0,400.0,66.0,5.59,4.25,0.118,-5.59,-11.7,-8.76,-4.11,8.51,1.31,3.68,0.0117
-4580.0,-35200.0,30600.0,-220.0,9.54,-9.54,-0.637,4.7,0.794,4.91,-6840.0,2940.0,-667.0,-281.0,30000.0,-60400.0,30600.0,277.0,1650.0,11300.0,11500.0,360.0,413.0,69.0,5.09,4.45,0.112,-5.09,-12.0,-10.4,-4.69,8.9,1.14,2.91,0.00489
-4580.0,-35500.0,30900.0,-221.0,9.54,-9.54,-0.575,1.85,1.54,2.83,-6840.0,2940.0,-667.0,-281.0,30300.0,-61000.0,30900.0,276.0,1920.0,9880.0,10400.0,358.0,414.0,69.0,5.06,4.48,0.112,-5.06,-12.0,-10.4,-4.72,8.97,1.13,2.85,0.00154
-6380.0,-49100.0,42800.0,-346.0,10.0,-10.1,-1.6,4.9,1.25,4.33,-9760.0,4120.0,-744.0,-310.0,42000.0,-84500.0,42800.0,310.0,3670.0,15000.0,17500.0,419.0,487.0,85.0,5.82,4.23,0.118,-5.82,-15.0,-12.1,-5.47,8.45,1.38,4.01,0.00994
-5500.0,-38800.0,33300.0,-439.0,9.77,-9.77,-0.19,2.02,1.12,2.95,-8500.0,3610.0,-605.0,-252.0,32700.0,-65700.0,33300.0,252.0,1660.0,11200.0,11600.0,342.0,399.0,72.0,4.98,4.79,0.104,-4.98,-11.3,-8.86,-3.95,9.58,1.04,2.59,0.00253
-5360.0,-38400.0,33100.0,-296.0,9.75,-9.75,-0.631,3.85,2.02,4.61,-8250.0,3490.0,-609.0,-253.0,32400.0,-65200.0,33100.0,259.0,3110.0,9920.0,11800.0,378.0,433.0,73.0,5.19,4.56,0.11,-5.19,-12.6,-9.5,-4.38,9.12,1.14,2.95,0.00329
-6410.0,-52300.0,45900.0,-216.0,9.32,-9.32,-0.532,5.4,1.96,7.35,-9350.0,3920.0,-908.0,-397.0,45100.0,-90700.0,45900.0,316.0,3260.0,26500.0,27500.0,486.0,555.0,92.0,4.93,4.39,0.114,-4.93,-14.7,-14.6,-6.25,8.79,1.12,2.76,9.56E-4
-7930.0,-67400.0,59500.0,-229.0,9.45,-9.45,-1.0,1.92,0.998,2.88,-11700.0,4870.0,-1000.0,-433.0,58500.0,-118000.0,59500.0,358.0,6060.0,38500.0,40600.0,557.0,649.0,108.0,5.23,4.22,0.118,-5.23,-17.9,-16.5,-7.05,8.45,1.24,3.23,0.00299
-6750.0,-51200.0,44400.0,-249.0,9.58,-9.58,-1.1,3.71,2.08,5.71,-10000.0,4170.0,-839.0,-364.0,43600.0,-87800.0,44400.0,291.0,2670.0,37800.0,38300.0,499.0,567.0,92.0,5.34,4.24,0.118,-5.34,-15.4,-13.1,-5.74,8.48,1.26,3.37,0.00881
-6920.0,-53800.0,46900.0,-261.0,10.3,-10.3,-0.948,2.37,2.19,4.54,-10500.0,4380.0,-807.0,-334.0,46000.0,-92500.0,46900.0,298.0,2950.0,18900.0,20600.0,429.0,504.0,90.0,5.63,4.69,0.107,-5.63,-14.7,-11.2,-5.08,9.37,1.2,3.39,0.00486
-5840.0,-53300.0,47500.0,-208.0,9.43,-9.43,-0.436,4.37,1.08,5.35,-8610.0,3700.0,-918.0,-387.0,46700.0,-93800.0,47500.0,379.0,6620.0,13600.0,17800.0,478.0,557.0,91.0,4.93,4.5,0.111,-4.93,-15.7,-14.6,-6.47,9.0,1.1,2.71,6.19E-4
-8180.0,-68400.0,60200.0,-423.0,9.26,-9.26,-1.49,7.99,0.461,8.13,-12600.0,5350.0,-908.0,-367.0,59200.0,-119000.0,60200.0,375.0,6210.0,28700.0,32200.0,497.0,581.0,107.0,5.38,3.89,0.129,-5.38,-18.4,-14.7,-6.34,7.77,1.38,3.72,0.00163
-7330.0,-75200.0,67800.0,-333.0,9.54,-9.54,-0.806,7.68,0.953,7.48,-11100.0,4690.0,-890.0,-365.0,67000.0,-134000.0,67800.0,371.0,5920.0,10600.0,12300.0,408.0,592.0,104.0,5.17,4.37,0.114,-5.17,-18.7,-14.7,-6.52,8.74,1.18,3.06,6.83E-4
