SMILES,TotalEnergy,ElectronicEnergy,CoreRepulsion,FinalHeat,IonisationPotential,HomoEnergy,LumoEnergy,DipolPointCharge,DipolHybrid,DipolSum,ElectronNuclear,ElectronElectron,ResonanceEnergy,ExchangeEnergy,ElectronElectronRepulsion,ElectronNuclearAttraction,NuclearNuclearRepulsion,TotalElectrostaticInteraction,PrincipalMomentsInertiaA,PrincipalMomentsInertiaB,PrincipalMomentsInertiaC,CosmoArea,CosmoVolume,NumberFilledLevels,MullikenElectronegativity,AbsoluteHardness:,AbsoluteSoftness:,SchuurmannMOShiftAlpha,TotalElectrophilicDelocalizability,TotalNucleophilicDelocalizability,TotalSelfPolarizability,HomoLumoGap,HomoLumoFraction,Electrophilicity,PolarizabilityAnisotropy
C\[N+](=N/O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(N=O)C(\O)=N\[C@H]1[C@@H](O)O[C@@H](CO)[C@@H](O)[C@@H]1O,-3810.0,-24500.0,20700.0,-250.0,10.2,-10.2,-0.635,2.31,1.55,2.78,-5870.0,2490.0,-435.0,-176.0,20200.0,-40700.0,20700.0,183.0,953.0,3900.0,4330.0,252.0,279.0,52.0,5.39,4.76,0.105,-5.39,-8.82,-6.29,-2.89,9.52,1.13,3.06,0.0095
CN(N=O)C(\O)=N\[C@H]1[C@@H](O)O[C@@H](CO)[C@@H](O)[C@@H]1O,-3810.0,-24900.0,21100.0,-253.0,9.94,-9.94,-0.464,5.39,2.38,6.38,-5870.0,2490.0,-435.0,-176.0,20600.0,-41600.0,21100.0,183.0,963.0,3520.0,3850.0,249.0,278.0,52.0,5.2,4.74,0.106,-5.2,-8.67,-6.39,-2.88,9.48,1.1,2.86,0.00533
[2H]CCCC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3440.0,-22400.0,19000.0,-284.0,9.81,-9.81,1.18,3.3,0.999,4.28,-5250.0,2260.0,-450.0,-188.0,18500.0,-37300.0,19000.0,187.0,1140.0,3590.0,3860.0,270.0,298.0,50.0,4.31,5.5,0.091,-4.31,-7.5,-6.44,-2.74,11.0,0.785,1.69,9.35E-4
[2H]CC\C=C(/O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3440.0,-22500.0,19000.0,-270.0,8.52,-8.52,0.988,3.0,0.678,3.54,-5260.0,2260.0,-449.0,-187.0,18600.0,-37400.0,19000.0,187.0,995.0,3610.0,4120.0,267.0,291.0,50.0,3.76,4.75,0.105,-3.76,-7.17,-6.95,-2.83,9.5,0.792,1.49,0.00367
[2H]CCC\C(O)=N/[C@@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-3440.0,-22600.0,19100.0,-271.0,9.94,-9.94,1.04,2.87,0.611,3.12,-5260.0,2260.0,-446.0,-187.0,18700.0,-37700.0,19100.0,186.0,986.0,3490.0,3610.0,266.0,294.0,50.0,4.45,5.49,0.0911,-4.45,-7.72,-6.21,-2.79,11.0,0.81,1.8,0.00158
CN1C(=NC(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1)C1=CN(N=N1)[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-6190.0,-52500.0,46300.0,-117.0,8.61,-8.61,-0.652,6.39,1.34,6.71,-9190.0,3860.0,-875.0,-362.0,45500.0,-91500.0,46300.0,370.0,3690.0,20900.0,23000.0,460.0,533.0,91.0,4.63,3.98,0.126,-4.63,-14.8,-15.5,-6.35,7.96,1.16,2.7,0.00852
CN1C(=NC(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1)C1=CN(N=N1)[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-6190.0,-52500.0,46300.0,-118.0,8.64,-8.64,-0.672,5.72,0.957,5.55,-9190.0,3860.0,-875.0,-362.0,45500.0,-91500.0,46300.0,370.0,3690.0,20900.0,23000.0,454.0,528.0,91.0,4.65,3.98,0.126,-4.65,-14.8,-15.5,-6.43,7.96,1.17,2.72,0.00838
CN1C(=NC(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1)C1=CN(N=N1)[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-6190.0,-52500.0,46300.0,-117.0,8.68,-8.68,-0.717,4.16,1.72,4.36,-9190.0,3860.0,-875.0,-362.0,45500.0,-91500.0,46300.0,370.0,3690.0,21000.0,23000.0,457.0,525.0,91.0,4.7,3.98,0.126,-4.7,-14.8,-15.5,-6.36,7.97,1.18,2.77,0.0084
CC(=O)N[C@H]1[C@H](O)O[C@H](CO[S]([O-])(=O)=O)[C@H](O)[C@@H]1O,-4190.0,-26700.0,22500.0,-324.0,14.3,-9.85,-8.89,4.18,0.789,4.63,-6580.0,2840.0,-428.0,-175.0,21900.0,-44300.0,22500.0,155.0,1190.0,5350.0,5600.0,274.0,305.0,55.0,9.37,0.477,1.05,-9.37,-20.4,-9.61,-3.24,0.955,19.6,91.9,0.0
C\C(O)=N\[C@H]1[C@@H](O)O[C@H](CO[S]([O-])(=O)=O)[C@H](O)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C\C(O)=N\[C@H]1[C@@H](O)O[C@H](CO[S]([O-])(=O)=O)[C@H](O)[C@@H]1O,-4190.0,-27200.0,23000.0,-315.0,14.3,-10.1,-8.85,0.605,0.952,0.655,-6580.0,2840.0,-424.0,-174.0,22500.0,-45300.0,23000.0,155.0,966.0,4920.0,5410.0,267.0,298.0,55.0,9.49,0.65,0.769,-9.49,-21.7,-8.28,-3.16,1.3,14.6,69.4,0.0
CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO)[C@@H](OC(C)=O)[C@@H]1O,-3710.0,-24700.0,21000.0,-326.0,9.73,-9.73,0.606,5.21,0.325,5.35,-5720.0,2460.0,-454.0,-187.0,20500.0,-41400.0,21000.0,186.0,1320.0,2990.0,3480.0,266.0,296.0,52.0,4.56,5.17,0.0968,-4.56,-8.15,-6.69,-2.89,10.3,0.883,2.01,9.74E-4
CC(=O)O[C@@H]1[C@@H](CO)O[C@H](O)[C@@H](\N=C(\C)O)[C@H]1O,-3710.0,-24900.0,21200.0,-321.0,10.0,-10.0,0.375,3.87,1.54,4.74,-5720.0,2460.0,-451.0,-186.0,20700.0,-41700.0,21200.0,185.0,1550.0,2650.0,3160.0,262.0,295.0,52.0,4.82,5.19,0.0963,-4.82,-8.28,-6.6,-2.87,10.4,0.928,2.24,4.47E-4
CC(=O)O[C@@H]1[C@@H](CO)O[C@H](O)[C@@H](\N=C(\C)O)[C@H]1O,-3710.0,-24900.0,21200.0,-320.0,10.1,-10.1,0.604,2.98,1.11,3.06,-5720.0,2460.0,-450.0,-186.0,20700.0,-41600.0,21200.0,185.0,1560.0,2630.0,3210.0,263.0,295.0,52.0,4.74,5.34,0.0936,-4.74,-8.28,-6.56,-2.87,10.7,0.887,2.1,4.82E-4
CN1C(=NC(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1)C1=CN(N=N1)[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-6190.0,-52800.0,46600.0,-122.0,8.7,-8.7,-0.73,3.61,0.523,3.33,-9190.0,3870.0,-875.0,-362.0,45800.0,-92000.0,46600.0,370.0,3690.0,20200.0,23100.0,452.0,529.0,91.0,4.72,3.99,0.125,-4.72,-14.9,-15.4,-6.38,7.97,1.18,2.79,0.00978
CN1C(=NC(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1)C1=CN(N=N1)[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-6190.0,-52700.0,46500.0,-120.0,8.89,-8.89,-0.962,1.78,0.614,1.96,-9190.0,3860.0,-875.0,-362.0,45700.0,-91700.0,46500.0,371.0,3650.0,21000.0,23300.0,454.0,532.0,91.0,4.93,3.97,0.126,-4.93,-15.1,-15.2,-6.42,7.93,1.24,3.06,0.00968
CN1C(=NC(=C1C1=CC=NC=C1)C1=CC=C(F)C=C1)C1=CN(N=N1)[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,-6190.0,-53100.0,46900.0,-124.0,8.71,-8.71,-0.752,5.02,0.616,4.48,-9190.0,3870.0,-874.0,-362.0,46100.0,-92600.0,46900.0,370.0,4200.0,18700.0,21500.0,454.0,530.0,91.0,4.73,3.98,0.126,-4.73,-14.9,-15.4,-6.41,7.96,1.19,2.81,0.0082
CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19500.0,16300.0,-279.0,10.1,-10.1,0.803,4.8,1.42,4.87,-4850.0,2090.0,-380.0,-156.0,15900.0,-32100.0,16300.0,156.0,1120.0,1670.0,1990.0,221.0,244.0,44.0,4.66,5.47,0.0915,-4.66,-6.91,-5.46,-2.35,10.9,0.853,1.99,4.58E-4
C\C(O)=N\[C@@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19500.0,16300.0,-269.0,10.0,-10.0,0.937,2.9,0.902,3.33,-4850.0,2080.0,-377.0,-156.0,15900.0,-32100.0,16300.0,156.0,979.0,1830.0,2050.0,223.0,245.0,44.0,4.55,5.48,0.0912,-4.55,-6.88,-5.48,-2.38,11.0,0.829,1.88,3.07E-4
C\C(O)=N/[C@@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,-3140.0,-19200.0,16100.0,-272.0,10.1,-10.1,0.553,3.28,1.67,3.09,-4850.0,2080.0,-376.0,-156.0,15700.0,-31600.0,16100.0,156.0,836.0,2070.0,2320.0,225.0,248.0,44.0,4.76,5.31,0.0941,-4.76,-7.05,-5.32,-2.4,10.6,0.896,2.13,0.00123
N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4280.0,-28100.0,23800.0,-386.0,9.99,-9.99,0.172,3.07,1.04,3.89,-6640.0,2830.0,-471.0,-193.0,23300.0,-47000.0,23800.0,199.0,2080.0,3650.0,4100.0,281.0,340.0,57.0,4.91,5.08,0.0984,-4.91,-9.14,-7.63,-3.2,10.2,0.966,2.37,5.37E-4
[NH3+][C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4280.0,-27200.0,22900.0,-383.0,10.1,-10.1,0.173,3.36,1.05,4.18,-6630.0,2820.0,-471.0,-193.0,22400.0,-45100.0,22900.0,200.0,2540.0,4370.0,4600.0,301.0,351.0,57.0,4.94,5.11,0.0978,-4.94,-9.2,-7.56,-3.2,10.2,0.966,2.39,0.00118
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4840.0,-33900.0,29100.0,-431.0,9.68,-9.68,0.238,4.18,0.911,3.69,-7500.0,3200.0,-545.0,-224.0,28500.0,-57300.0,29100.0,228.0,3620.0,4450.0,5760.0,330.0,390.0,65.0,4.72,4.96,0.101,-4.72,-10.2,-9.12,-3.68,9.92,0.952,2.25,3.63E-4
C\C(O)=N/[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4840.0,-35000.0,30100.0,-428.0,9.6,-9.6,0.458,3.28,1.57,2.22,-7510.0,3200.0,-541.0,-222.0,29500.0,-59400.0,30100.0,225.0,2900.0,4160.0,5010.0,308.0,384.0,65.0,4.57,5.03,0.0994,-4.57,-10.2,-9.08,-3.7,10.1,0.909,2.08,0.00123
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H](CC([O-])=O)C([O-])=O,-4840.0,-33300.0,28500.0,-426.0,9.67,-9.67,0.119,5.75,1.17,5.68,-7500.0,3200.0,-544.0,-223.0,27900.0,-56200.0,28500.0,227.0,3010.0,5510.0,7110.0,336.0,394.0,65.0,4.78,4.9,0.102,-4.78,-10.3,-9.01,-3.65,9.79,0.976,2.33,0.00548
CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-26000.0,21800.0,-401.0,9.77,-9.77,-0.78,3.13,1.05,3.54,-6470.0,2730.0,-476.0,-170.0,21400.0,-43000.0,21800.0,194.0,1120.0,5270.0,5600.0,272.0,301.0,55.0,5.27,4.49,0.111,-5.27,-9.07,-6.51,-3.03,8.99,1.17,3.09,0.00199
CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-26500.0,22300.0,-404.0,10.2,-10.2,-0.557,3.86,0.225,3.77,-6470.0,2730.0,-476.0,-170.0,21900.0,-44000.0,22300.0,194.0,1160.0,4680.0,4880.0,267.0,301.0,55.0,5.38,4.82,0.104,-5.38,-9.07,-6.49,-3.07,9.64,1.12,3.0,0.00217
CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO[P]([O-])([O-])=O)[C@@H](O)[C@@H]1O,-4190.0,-26000.0,21800.0,-401.0,9.77,-9.77,-0.78,3.13,1.05,3.54,-6470.0,2730.0,-476.0,-170.0,21400.0,-43000.0,21800.0,194.0,1120.0,5270.0,5600.0,272.0,301.0,55.0,5.27,4.49,0.111,-5.27,-9.07,-6.51,-3.03,8.99,1.17,3.09,0.00199
C\C(O)=N\[C@H]1[C@H](O)O[C@H](CO[S]([O-])(=O)=O)[C@H](O)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C\C(O)=N\[C@H]1[C@H](O)O[C@H](CO[S]([O-])(=O)=O)[C@H](O)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C\C(O)=N/[C@H]1[C@H](O)O[C@H](CO[S]([O-])(=O)=O)[C@H](O)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC[C@H]1O[C@@H](OCCC2=CC=CC=C2)[C@H](NCCCN)[C@@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,-5920.0,-62700.0,56800.0,-160.0,8.7,-8.7,-0.373,4.28,0.512,4.69,-8590.0,3670.0,-1000.0,-431.0,56000.0,-112000.0,56800.0,424.0,5930.0,10600.0,14100.0,456.0,619.0,97.0,4.54,4.16,0.12,-4.54,-16.1,-14.8,-6.82,8.33,1.09,2.47,1.8E-4
COC[C@H]1O[C@@H](OCCC2=CC=CC=C2)[C@H]([NH2+]CCCN)[C@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC[C@H]1O[C@@H](OCCC2=CC=CC=C2)[C@H]([NH2+]CCCN)[C@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC[C@H]1O[C@H](OCCC2=CC=CC=C2)[C@H]([NH2+]CC[NH3+])[C@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,-5800.0,-61900.0,56100.0,-159.0,9.0,-9.0,-0.653,1.87,1.02,1.05,-8420.0,3610.0,-982.0,-422.0,55400.0,-111000.0,56100.0,415.0,7080.0,7680.0,11000.0,442.0,619.0,95.0,4.83,4.18,0.12,-4.83,-16.1,-14.0,-6.64,8.35,1.16,2.79,5.42E-4
COC[C@H]1O[C@H](OCCC2=CC=CC=C2)[C@H]([NH2+]CCN)[C@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC[C@H]1O[C@@H](OCCC2=CC=CC=C2)[C@H]([NH2+]CC[NH3+])[C@@H](OCC2=CC=C3C=CC=CC3=C2)[C@@H]1O,-5800.0,-61000.0,55200.0,-162.0,8.94,-8.94,-0.582,1.79,1.91,1.94,-8420.0,3610.0,-980.0,-422.0,54500.0,-109000.0,55200.0,414.0,4010.0,12400.0,13400.0,451.0,624.0,95.0,4.76,4.18,0.12,-4.76,-16.2,-14.0,-6.63,8.36,1.14,2.71,3.59E-4
COC[C@H]1O[C@H](OCC2=CC=C3C=CC=CC3=C2)[C@H](NCCN)[C@H](OCC2=CC=CC=C2)[C@@H]1O,-5620.0,-58200.0,52500.0,-149.0,8.66,-8.65,-0.336,2.5,0.964,2.89,-8170.0,3490.0,-935.0,-401.0,51900.0,-104000.0,52500.0,396.0,5100.0,8830.0,10600.0,426.0,575.0,91.0,4.5,4.16,0.12,-4.5,-15.2,-14.0,-6.46,8.32,1.08,2.43,0.00286
