"ECR","Index","Molecule"
"0.102987715498939","3","118707521"
"0.0877188203235018","6","76325328"
"0.0847486293811661","58","446101"
"0.0704013208548588","4","91820057"
"0.0596793514049593","63","440271"
"0.0591908290240155","48","5284365"
"0.0577671150638129","139","ZINC000257347638"
"0.054279319942693","64","440235"
"0.0500720908576283","108","ZINC000019893747"
"0.0497206368646311","140","ZINC000257347639"
"0.0492358429492832","21","45357367"
"0.0490445665270496","1","134695375"
"0.0436763660257705","18","46174147"
"0.0417405127001481","41","7067772"
"0.0399924305596604","43","6713972"
"0.0391840829648896","138","ZINC000257346903"
"0.0352496270434173","123","ZINC000101361998"
"0.0352348647812116","74","198515"
"0.0350401711984567","15","51351654"
"0.031900896754871","121","ZINC000101136391"
"0.0316900030905082","44","6420074"
"0.0312423150002305","20","45933887"
"0.030596265731926","28","42612215"
"0.0303269082386213","75","198514"
"0.0282634323865123","142","ZINC000307565252"
"0.0280279137574267","53","2733335"
"0.0280245102199614","23","45266741"
"0.0257363845162155","11","54758613"
"0.024691659775182","104","ZINC000015205840"
"0.0244273903597889","9","57339290"
"0.0226276661007856","81","112106"
"0.0203391780449793","50","3052142"
"0.0193373437138339","77","129618"
"0.0166587335530356","110","ZINC000032106887"
"0.0143383048484979","111","ZINC000032106889"
"0.0133644867742627","105","ZINC000015205946"
"0.0107268635740202","132","ZINC000106384102"
"0.00994794943282858","126","ZINC000102974493"
"0.00913793750104173","2","129878031"
"0.00877101033042768","130","ZINC000106382957"
"0.00869350280710269","55","449462"
"0.00826929273052243","137","ZINC000257346492"
"0.00814606630376002","25","44341508"
"0.00802102985500368","32","24779679"
"0.00711443927039288","71","312829"
"0.00698273137068257","118","ZINC000100815672"
"0.00694276490797324","154","ZINC000616589990"
"0.00677369971265575","5","90659182"
"0.00612752216314177","82","102416"
"0.00612307319358335","78","127132"
"0.0059460565158306","36","12600646"
"0.00590109537658629","13","52944904"
"0.00571035286878221","49","4282259"
"0.00537199669855212","31","24847493"
"0.00527503839880306","85","90220"
"0.00527008014315867","83","99461"
"0.0051448225334755","87","82398"
"0.00501394985041656","7","57376616"
"0.00471644218726281","17","49802606"
"0.00458352104001588","129","ZINC000106382931"
"0.00455436939400908","8","57339292"
"0.00413752721416184","80","118328"
"0.00410671442833719","131","ZINC000106382965"
"0.00392057584625382","103","ZINC000015205814"
